Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,493300.8567,529920.2009,557267.6627,614750.7538,674336.6852,706537.0031,734585.2307,779399.1834,859196.0172,897161.2485,939585.6673,977852.8375,1018028.125,1055417.512,1091246.419,1124859.925,1154593.986,1180808.707,1201711.121,1218081.894,1231770.541,1242870.343,1240821.206,1237749.401,1233901.458,1229800.596,1225121.931,1219797.48
Barrow-in-Furness,378542.3082,406642.7482,427628.2607,471738.8308,517463.0489,542172.4783,563695.7346,598084.4385,659317.8162,688451.0441,721006.1009,750371.0265,781200.1761,809891.5208,837385.4061,863179.2681,885996.1759,906112.4614,922152.2633,934714.6384,945218.8403,953736.4515,952164.0129,949806.8147,946854.0338,943707.1715,940116.9236,936031.1207
Blackburn with Darwen,588155.724,653865.1156,695246.4406,749578.7992,826282.4581,871792.3243,906902.097,965137.2666,1017078.052,1071209.382,1120646.147,1166116.713,1213181.993,1256647.708,1297849.105,1336111.082,1369946.621,1400304.432,1424986.619,1446055.663,1464069.358,1479232.903,1478795.573,1477391.859,1475111.828,1472440.454,1469213.331,1465201.049
Blackpool,645442.0351,705987.7988,776814.9227,845714.0205,885044.5526,934294.0646,973972.4249,1034280.568,1108439.579,1174672.34,1222453.498,1269758.976,1320605.099,1367190.247,1411627.104,1453277.672,1490454.979,1523352.884,1551410.815,1575968.121,1597442.997,1616254.891,1617693.795,1617595.051,1616595.331,1615214.011,1613247.452,1610405.634
Bolton,1168348.099,1266775.561,1331799.538,1431262.642,1521481.379,1578666.79,1651142.078,1755108.187,1860012.844,1955973.163,2049422.738,2141816.537,2235440.609,2323977.787,2406402.4,2481710.511,2546731.902,2603609.515,2652123.393,2693363.93,2727881.349,2757759.382,2761953.05,2763851.355,2764094.041,2763597.603,2761890.26,2759168.739
Burnley,359621.0175,390315.1495,414486.3063,437250.1228,467770.0732,491956.6856,520156.4761,555631.1987,591779.1105,638140.044,677053.337,712296.1901,751561.8332,786592.7897,820318.4354,852154.1219,881520.048,901911.5794,919425.5401,934687.9372,947953.0519,959631.8915,959411.225,958537.3393,957134.719,955538.3542,953611.5824,951155.0801
Bury,780126.53,846927.2966,891119.5569,957715.3401,1018063.923,1056234.48,1104560.906,1173812.352,1243649.296,1307944.413,1370240.208,1431711.337,1494115.438,1552988.318,1607792.313,1657860.685,1701095.221,1738902.297,1771146.785,1798560.06,1821504.173,1841357.642,1844110.948,1845343.108,1845475.727,1845119.796,1843960.199,1842119.974
Carlisle,539347.5246,579385.0644,609285.2472,672134.0392,737281.9588,772487.9828,803154.3436,852151.4093,939396.7976,980905.8549,1027290.338,1069129.518,1113054.927,1153934.389,1193107.708,1229858.833,1262368.39,1291030.097,1313883.626,1331782.513,1346748.912,1358884.814,1356644.402,1353285.863,1349078.738,1344595.085,1339479.695,1333658.238
Cheshire East,539318.0541,567422.361,597672.1269,634744.6489,660771.7907,687378.9885,721450.9305,800772.1681,854807.5582,950406.9518,989365.3443,1026651.988,1089645.9,1126259.572,1160763.285,1192954.266,1221510.386,1246728.031,1268379.209,1287605.355,1303760.797,1317837.961,1318753.147,1318454.351,1317460.918,1316261.905,1314514.442,1312113.996
Chorley,416341.7199,455468.6057,500544.7519,544854.3677,570544.2464,601994.1704,627635.7526,666513.2358,714054.3507,756519.1234,787414.2975,817996.1271,850801.4553,880881.3218,909548.7711,936394.9511,960328.8707,981499.1182,999555.715,1015347.704,1029139.898,1041217.714,1042162.758,1042122.99,1041502.773,1040636.636,1039391.421,1037589.019
Copeland,369076.6294,396474.4009,416935.1579,459942.7166,504523.5731,528615.1283,549600.1826,583128.9762,642831.1763,671235.9103,702976.9083,731607.5462,761665.7943,789639.6946,816446.0787,841594.9496,863841.3068,883454.5725,899093.2894,911341.5348,921583.0728,929887.696,928354.5772,926056.3221,923177.3773,920109.2042,916608.7326,912625.0976
Craven,79711.06429,85339.99092,89458.12182,95199.02625,102789.2292,106660.7435,110999.836,117455.1329,126571.5564,135216.6499,142249.935,148087.1842,155006.4097,160695.3375,166101.8522,171179.6801,175715.8387,179717.7406,183036.6085,185792.9114,188132.2141,190111.2555,189820.1713,189386.8082,188842.818,188262.8956,187605.9093,186845.7486
Derbyshire Dales,62.06305347,69.10823754,76.79888985,85.93285873,88.93934706,92.95775137,96.31590816,101.5129976,107.3490258,112.8037895,117.2197077,121.6352483,126.3858386,130.6315388,134.6213138,138.3252939,141.632927,144.5476653,146.9811181,149.0696269,150.8023222,152.3133806,152.5097044,152.6071345,152.5114034,152.3101374,152.061522,151.7417735
Eden,275243.1408,295675.3439,310934.1888,343007.5703,376254.2567,394220.8111,409870.6566,434875.1401,479398.7424,500581.8994,524253.1137,545604.7411,568021.0253,588882.8832,608874.0524,627629.1121,644219.5888,658846.4072,670509.1603,679643.4301,687281.1748,693474.4431,692331.1021,690617.1519,688470.1458,686182.0204,683571.5034,680600.6618
Fylde,326892.6047,357753.297,393205.5483,427945.9528,448624.8384,473588.1783,493663.1076,524269.4375,561542.3964,594975.9018,619283.9965,643285.2593,669050.3485,692662.3956,715181.3159,736282.1474,755111.5053,771781.5026,785976.2524,798390.275,809238.8176,818730.6173,819426.1893,819350.9798,818818.4003,818091.7268,817068.2674,815601.5712
High Peak,384529.6311,428172.4739,475818.9041,532494.6969,551182.5054,576097.5954,596906.5298,629156.1823,665318.0045,699091.2956,726441.9121,753790.3501,783212.7691,809510.5349,834222.8306,857164.6961,877649.5008,895701.4867,910772.4735,923707.2912,934438.5444,943796.4743,945009.0687,945608.3284,945013.0301,943765.3095,942224.0798,940242.3116
Hyndburn,370163.0873,396559.81,415198.9159,429866.1452,458993.6404,473150.2626,492770.8926,520516.5703,548605.6301,597181.7632,630350.9229,656351.5864,689794.3113,715035.8182,738850.1492,761216.3561,781348.9563,799148.3096,814363.5351,827597.9536,838955.7866,848836.1616,847712.8138,846015.0164,843852.7885,841534.5347,838917.1459,835823.057
Lancaster,569675.1749,612186.9287,656553.0231,728836.0548,797154.8321,849032.6254,899059.3341,954173.9672,1018595.673,1076697.035,1136615.56,1550191.348,1598262.38,1641569.246,1682301.102,1720634.727,1749308.6,1772662.387,1795725.472,1817337.049,1832182.684,1850909.888,1848396.137,1841625.171,1838743.938,1827575.047,1813890.217,1804895.122
Manchester,2092185.728,2303899.996,2490118.048,2720341.976,2846311.084,2968340.064,3099240.8,3312091.004,3520668.723,3688754.412,3830152.089,3966274.863,4103676.888,4232449.817,4353101.414,4461724.73,4556171.928,4638590.803,4707987.091,4766032.369,4814406.197,4855235.114,4859596.01,4859452.705,4856122.218,4851278.959,4844696.124,4836006.129
Northumberland,11.06235539,11.8835504,12.49682187,13.78588994,15.12211456,15.84421215,16.47319841,17.4781589,19.26761644,20.11899319,21.07036798,21.92851576,22.82945339,23.66791674,24.47138606,25.22517463,25.891966,26.47983556,26.94857574,27.31569311,27.62266333,27.87157828,27.82562602,27.75674029,27.67044951,27.57848698,27.47356714,27.35416541
Oldham,909684.2336,1016372.57,1101556.074,1187154.436,1241777.717,1286285.908,1334767.845,1406473.894,1478041.506,1545907.332,1609542.415,1673729.544,1738636.527,1799829.645,1856933.952,1908911.472,1954396.473,1993727.663,2026767.404,2054529.623,2077645.171,2097296.985,2100533.075,2102177.827,2102411.47,2101992.168,2100810.238,2098580.292
Pendle,322764.0885,345035.8126,361171.7415,373141.4619,397260.4583,409266.6952,426848.8873,450990.8405,475780.3742,519131.2177,548676.4532,571868.205,601790.2667,624393.8074,645757.3116,665852.1786,684017.3234,699658.9235,713095.6894,724803.6125,734865.8559,743653.0169,742676.8953,741195.4218,739309.9597,737292.1275,735014.2683,732317.7266
Preston,575273.7937,639785.8571,680415.7307,733533.2301,809356.1312,854340.0971,888593.7502,945699.5925,996451.3209,1049527.707,1097949.707,1142409.1,1188446.999,1230954.754,1271274.19,1308737.855,1341896.138,1371669.659,1395842.098,1416476.307,1434130.042,1448978.665,1448479.927,1447039.138,1444738.48,1442053.289,1438825.84,1434820.965
Ribble Valley,224867.7233,243526.9015,256152.1343,268448.9143,289556.7292,300723.6461,313062.9022,331480.0861,349336.3026,376341.6966,396142.274,412389.7823,432042.7054,447742.8146,462579.2488,476468.3685,488907.4431,499956.0738,509257.8355,517304.9251,524204.8635,530150.4167,529607.263,528709.6415,527514.4618,526208.6325,524712.4421,522922.5787
Richmondshire,283.7363289,304.7990093,320.5286969,353.591768,387.8643486,406.3852976,422.5180511,448.2940988,494.1915676,516.0283741,540.4300119,562.4404874,585.5484717,607.0540648,627.6621022,646.9958875,664.0982972,679.1764559,691.1990869,700.6152133,708.4886362,714.8730104,713.6943893,711.9275517,709.7142953,707.3555651,704.6644953,701.6019824
Rochdale,760713.5624,840832.9035,905490.503,972403.7397,1037689.627,1100630.598,1167883.185,1251459.239,1335683.841,1419372.404,1502706.399,1585553.371,1669498.608,1751980.639,1831621.133,1906448.691,1975491.806,2020165.81,2058375.91,2091427.444,2120117.325,2145323.462,2147009.396,2147188.428,2146160.698,2144645.96,2142385.333,2138978.39
Rossendale,308310.0385,330131.4656,346113.1386,358428.0663,381803.5439,394261.4157,411843.6454,435691.3658,460152.5368,501364.9365,530127.674,553138.8343,582254.7033,604743.4661,626054.0604,646108.6023,664289.5621,679499.7823,692565.577,703950.1271,713747.5832,722312.0198,721461.0533,720119.0582,718383.9779,716518.1812,714400.2126,711876.7589
Salford,947353.9361,1013789.947,1074840.48,1192445.602,1277198.38,1341494.71,1397556.238,1504945.266,1586462.273,1697513.522,1773770.233,1849949.533,1928455.953,2002365.657,2070923.648,2132246.531,2185943.958,2232932.107,2272937.811,2306790.031,2335310.043,2359779.926,2363880.084,2365602.024,2365900.46,2365684.835,2364341.565,2362016.739
Sefton,9.941940179,10.73261364,11.57696274,12.48400405,12.87635702,13.26074967,13.72583384,15.47175698,16.16847568,16.86917064,17.56134975,18.25977459,18.97700997,19.6711479,20.32888284,20.93428998,21.46560767,21.93222506,22.32551931,22.65227757,22.92839589,23.15470819,23.13697283,23.08697539,23.02206486,22.94991723,22.8684281,22.77381704
