Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,493300.8567,526984.891,546328.1023,575932.8934,610694.577,630380.7033,656180.8295,682826.2683,708786.7511,739593.6655,766596.0467,801123.17,857215.3426,919202.1127,957901.7792,994325.011,1029279.746,1062303.465,1084972.157,1110070.593,1124997.074,1139113.133,1157707.375,1170935.707,1182944.79,1194714.707,1204073.933,1199619.655
Barrow-in-Furness,378542.3082,404390.2911,419233.6139,441951.3242,468626.2585,483732.7226,503530.8625,523977.6664,543898.8584,567539.0372,588259.7467,614754.6874,657797.9139,705364.4541,735061.2625,763011.2125,789834.2879,815175.5669,832570.751,851830.4373,863284.5113,874116.6954,888385.2847,898536.257,907751.6192,916783.453,923965.4052,920547.3436
Blackburn with Darwen,588155.724,645369.3015,678855.1602,711956.7393,764661.4394,795206.0765,824968.9005,857677.3307,893966.6431,927741.5843,965665.7746,997656.123,1048333.478,1093075.233,1136587.547,1182922.448,1218229.043,1250981.645,1278317.002,1301993.786,1330547.465,1349933.417,1368409.572,1386110.776,1402737.766,1418183.661,1431519.946,1428072.839
Blackpool,645442.0351,701200.7677,743950.705,770829.1347,801980.9413,843111.3843,876343.9568,905895.2836,936790.194,977681.4854,1006533.761,1043981.095,1093506.661,1141966.607,1186952.046,1228783.775,1266200.21,1308932.365,1339097.997,1365527.779,1389210.525,1411603.303,1433111.36,1453698.132,1473313.104,1491858.255,1508023.253,1505606.567
Bolton,1168348.099,1258281.576,1314907.498,1399488.524,1480645.6,1532764.535,1588761.624,1650713.504,1714458.028,1773496.433,1831698.648,1897021.028,1992220.571,2082069.294,2165485.146,2241929.02,2309084.855,2372574.914,2426490.176,2473232.366,2514227.275,2552736.289,2589474.385,2624381.4,2657075.671,2687255.109,2713301.86,2709571.749
Burnley,359621.0175,387773.1783,411049.2762,431027.6992,451987.1302,474199.0134,504487.2505,526205.9567,549270.2632,577091.5425,599629.2883,625286.5536,664438.2279,705084.9238,739756.1358,772388.1576,803454.9496,835174.14,854251.6035,870971.0049,885956.8579,900370.4382,914034.1946,927144.2323,939527.0706,951109.7118,961234.3968,959037.6393
Bury,780126.53,840976.2255,879220.6384,935501.891,989507.8929,1024233.197,1061725.561,1102880.468,1145227.724,1184620.364,1223235.872,1266616.242,1330021.666,1389982.363,1445507.413,1496406.096,1541133.461,1583800.435,1619715.244,1650857.238,1678176.167,1703849.114,1728334.448,1751600.56,1773389.173,1793499.036,1810848.112,1808340.976
Carlisle,539347.5246,576175.761,597324.5447,629692.7649,667699.2426,689222.9504,717431.3632,746563.9934,774947.7312,808630.2857,838153.1768,875903.1995,937231.239,1005004.101,1047316.149,1087139.27,1125356.82,1161463.104,1186247.782,1213689.006,1230008.784,1245442.493,1265772.395,1280235.513,1293365.571,1306234.139,1316466.993,1311596.935
Cheshire East,539318.0541,568338.1324,594781.0878,621622.0234,643978.8857,668240.0652,693673.1038,719221.1659,744387.5959,768215.2127,791090.2643,823110.9996,864509.8995,934301.6083,997166.3654,1031554.544,1061513.48,1091547.966,1117949.589,1139531.925,1158849.712,1177147.715,1195605.961,1212496.686,1228536.527,1243625.096,1256703.215,1254674.311
Chorley,416341.7199,452332.8583,479745.1968,497596.0109,518057.0041,544364.3785,565773.9087,584943.168,604964.4562,631170.0091,649838.951,673956.8366,705951.5141,737219.6392,766244.8788,793222.2817,817336.6239,844742.4159,864182.7939,881211.863,896461.1745,910877.4227,924720.9881,937968.5226,950584.227,962503.4881,972888.6302,971337.5567
Copeland,369076.6294,394278.2679,408750.4244,430900.0646,456907.9761,471636.694,490939.7694,510875.2886,530298.3392,553347.3811,573549.9567,599382.3755,641349.2801,687726.3903,716680.6121,743931.6567,770084.0049,794791.6099,811751.8169,830529.9032,841697.5611,852258.88,866170.6746,876067.8157,885052.7422,893858.7295,900861.0926,897528.5018
Craven,79711.06429,84909.85067,88328.12072,91886.60086,95762.74135,98658.73198,103705.5673,107212.4378,110831.0348,116043.3042,119636.4995,124133.5203,131976.9574,140794.0611,146591.1011,152042.1302,157098.4243,164486.4346,168155.1519,171749.0221,174407.0082,176968.8192,179743.3749,182057.1052,184198.5222,186232.6659,187927.5139,187258.468
Derbyshire Dales,62.06305347,68.20466342,71.27766382,73.35546312,75.868332,78.43761176,81.07928256,84.61736316,88.92929247,91.60199734,94.20902209,97.23518636,103.1869976,107.5822283,111.9675024,115.829671,119.3151147,122.6817168,125.5202229,128.0063427,130.1692165,132.2222681,134.2207775,136.1343803,137.7976729,139.2718326,140.5233489,140.2242594
Eden,275243.1408,294037.5525,304830.3297,321348.6786,340744.3777,351728.4884,366123.9789,380991.1216,395476.085,412665.173,427731.4761,446996.2995,478293.6012,512879.8645,534472.8084,554795.5883,574299.0027,592724.9833,605373.2527,619377.2265,627705.6358,635581.8608,645956.7416,653337.6484,660038.2607,666605.427,671827.5198,669342.2019
Fylde,326892.6047,355252.3522,376805.1957,390567.3143,406792.4912,427499.2218,444320.9038,459393.6152,475191.3991,495839.9988,510669.7715,529596.5008,554782.2516,579335.8358,602166.4646,623507.1633,642480.4837,664009.7938,679285.1537,692663.7042,704789.7831,716112.4443,726985.1483,737392.5126,747304.281,756670.5128,764832.3698,763584.8909
High Peak,384529.6311,422581.6433,441715.544,454746.876,470351.042,486316.2439,502689.9375,524617.6501,551315.9218,567873.8635,584034.8726,602793.0722,639661.1484,666895.449,694054.4937,717986.4279,739574.4382,760424.7565,778005.7079,793404.1226,806801.103,819517.3203,831907.569,843758.6468,854061.6165,863195.9295,870949.0879,869094.9509
Hyndburn,370163.0873,394436.5557,411788.87,424292.5904,437379.7982,450301.9793,476468.9964,490274.0845,505538.7144,530337.1988,544898.4279,561869.536,593579.2993,629191.1243,654530.6191,678633.4344,699906.6104,740370.5123,757442.7752,772341.1656,786042.4636,798963.7487,810925.5059,822330.4501,833033.4915,842973.9282,851538.1572,848687.4181
Lancaster,569675.1749,609906.6213,659283.3798,690880.7498,726119.6355,762944.8582,804875.9416,857329.5134,893575.3534,924987.193,956428.1121,991284.1057,1042957.226,1092774.67,1483407.29,1530365.762,1558776.675,1580804.808,1605572.57,1633119.981,1649861.861,1672362.536,1689605.955,1702738.919,1719849.136,1727915.473,1731695.014,1724714.587
Manchester,2092185.728,2277761.344,2403369.393,2525349.568,2626177.038,2718201.834,2816986.571,2914212.614,3019266.486,3113050.833,3205892.032,3330288.059,3483536,3635421.688,3776961.646,3893448.77,3993218.621,4099554.84,4188643.501,4258705.506,4320265.492,4378019.948,4436200.444,4488579.851,4536841.389,4581147.964,4618355.388,4610125.539
Northumberland,11.06235539,11.81772558,12.25150037,12.91539283,13.69492949,14.13639421,14.71496641,15.3124949,15.89466313,16.58551341,17.19104639,17.96532299,19.22319947,20.61326331,21.48110989,22.29790704,23.08177291,23.8223354,24.33068467,24.89352135,25.22825021,25.54480524,25.96178428,26.25843186,26.52773759,26.79167997,27.0015622,26.90167426
