Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,493300.8567,507549.9652,519659.2631,543758.9007,569554.1155,584816.6688,603099.9591,624310.985,641395.352,659378.7282,678212.9354,697962.0299,719700.1102,740957.7884,763325.272,783945.6179,803937.4855,823967.9309,844703.8077,869229.7284,884041.5154,907988.2574,924686.3602,934420.8407,954048.2071,969709.2008,975907.4428,980866.1187
Barrow-in-Furness,378542.3082,389476.5897,398768.8532,417262.0959,437056.4669,448768.4314,462798.4069,479075.0272,492184.9897,505984.8212,520437.5516,535592.3354,552273.3992,568585.8188,585749.8653,601573.2179,616914.2974,632284.9804,648196.9873,667017.3451,678383.4069,696759.3227,709572.8792,717042.7886,732104.1624,744121.8765,748878.1967,752683.316
Blackburn with Darwen,588155.724,609215.363,621234.3394,635904.9342,675128.2674,691349.9314,710291.9354,732503.1503,752766.2928,772558.5782,793153.045,814357.2479,836083.5143,858196.867,881930.3865,911061.8378,931704.9515,952135.99,970961.5733,988387.7376,1011948.228,1026153.456,1038106.682,1048028.215,1056650.668,1064028.256,1070248.094,1075207.657
Blackpool,645442.0351,666589.5654,686527.114,700117.7208,717210.3695,739832.3209,764721.7861,791618.7833,813460.1079,835903.8243,858941.8448,882755.6388,907045.3507,932253.4709,956854.7396,980644.643,1003502.02,1028783.807,1049833.113,1069374.366,1087512.881,1104161.215,1120844.612,1133003.03,1146979.468,1163154.296,1170632.895,1176787.89
Bolton,1168348.099,1203127.947,1225390.786,1278512.197,1337449.752,1368673.592,1406339.239,1450133.653,1488600.452,1528990.895,1570566.125,1613334.158,1658185.828,1702858.491,1747353.758,1790737.523,1832689.831,1875738.201,1914425.628,1950447.417,1983513.138,2013862.892,2039764.579,2061479.994,2080864.087,2097987.48,2113035.459,2127083.849
Burnley,359621.0175,371056.3474,378831.0617,385763.5559,394105.3366,404185.6628,416390.043,430844.157,442905.7397,455498.294,468531.0218,482028.2024,497825.885,511965.431,526075.4466,539935.2373,554279.3197,567771.4115,579991.4783,591391.2653,601962.2129,615585.6029,628660.7585,635281.391,641384.3167,648824.1979,653269.7837,658109.9837
Bury,780126.53,803538.4074,818600.6236,853883.9687,892865.0722,913727.921,938869.2835,968101.9832,993746.1688,1020657.175,1048345.268,1076812.046,1106722.07,1136436.642,1166024.187,1194866.297,1222746.961,1251356.903,1277065.752,1301003.823,1322981.003,1343313.348,1360732.677,1375171.156,1388075.714,1399564.672,1409587.546,1418980.658
Carlisle,539347.5246,554926.7017,568166.3297,594515.5235,622718.5665,639405.7873,659395.7128,682586.6604,701265.7504,720927.7666,741520.0337,763112.5874,786879.7867,810121.7413,834577.095,857122.2262,878980.2143,900880.3814,923551.8276,950367.0954,966561.4736,992743.5,1011000.27,1021643.406,1043102.869,1060225.722,1067002.533,1072424.071
Cheshire East,539318.0541,553246.3631,566201.1455,580007.2752,596531.6372,614521.1263,635300.2164,659271.0045,677695.3547,697303.1903,716035.3088,734810.1496,753708.2762,775188.4215,819840.5645,838082.0561,855105.2105,874809.668,892225.5696,906982.6661,920489.3779,932886.0986,943563.9024,959214.5528,966907.1849,973761.631,982605.0543,991354.9436
Chorley,416341.7199,429986.6856,442708.1892,451862.6049,463270.8423,477761.752,493740.4825,511040.5258,525115.9585,539587.1534,554439.9919,569787.3109,585454.6005,601689.7553,617542.0956,632873.9648,647606.6037,663869.7668,677436.8366,690033.1758,701721.5118,712450.1921,723155.597,730986.8133,739930.8101,750225.9631,755064.1777,759067.9201
Copeland,369076.6294,379737.4926,388797.3974,406828.2054,426127.6062,437546.706,451225.8534,467095.467,479877.607,493332.3654,507423.6965,522199.5258,538463.4695,554367.9873,571102.8365,586530.5165,601487.9831,616474.3129,631988.4305,650338.1739,661420.0205,679336.4354,691829.5811,699112.7009,713797.456,725514.66,730152.0455,733862.0155
Craven,79711.06429,81906.98403,83669.20529,86206.53169,88992.43187,91199.62481,93852.48767,96960.37172,99481.87968,102118.8176,104855.0765,107693.5203,111207.7415,114196.2812,117256.5784,120169.3451,122966.2718,125844.0806,128582.9983,131515.8116,133653.7948,137382.1422,140754.4297,142111.2631,144179.9553,146414.286,147285.2906,148285.6218
Derbyshire Dales,62.06305347,64.50199566,66.19757847,67.68907057,69.42421397,71.39070527,73.66613991,76.74479866,78.84241643,81.00870399,83.26554525,85.51628469,87.83297366,90.14407169,92.42518078,94.63528052,96.76425882,98.86813106,100.8425868,105.5501347,107.1949716,108.7272101,110.0278917,111.1649169,112.0889526,112.8409868,113.5053679,114.0631017
Eden,275243.1408,283193.6021,289950.1303,303396.8127,317789.5628,326305.4878,336506.8693,348341.8162,357874.244,367908.2849,378417.0571,389436.3017,401565.3248,413426.3018,425906.508,437411.8779,448566.5806,459742.8083,471312.64,484997.1721,493261.5867,506622.9591,515939.8662,521371.3366,532322.6615,541060.9012,544519.2848,547286.0375
Fylde,326892.6047,337636.6444,347622.3694,354538.9441,363630.5321,375007.856,387545.2341,401125.7132,412194.6992,423549.4418,435210.1155,447262.0163,459556.1347,472307.7248,484792.5589,496981.6495,508554.9336,521311.4654,531965.8156,541855.864,551174.7677,559588.3885,567977.9464,574114.3339,581117.489,589174.5936,592950.7326,596054.9249
High Peak,384529.6311,399652.1979,410181.3885,419455.3439,430237.5409,442437.9098,456546.3588,475622.4785,488620.0857,502043.1196,516019.3033,529958.5189,544305.6516,558622.199,572749.2086,586436.3765,599620.9767,612653.0042,624880.4724,653985.4912,664172.3611,673661.4179,681728.0785,688768.4733,694491.6066,699150.6682,703269.6611,706732.3254
Hyndburn,370163.0873,380239.4187,387679.6718,394399.4185,403411.2722,412736.6747,423950.0874,437208.0182,448155.6447,459461.5387,471097.0959,483037.5007,499141.0587,511435.1356,523739.9427,536189.4563,547636.7927,559681.3081,570151.9487,579885.3916,589326.4607,605437.8794,622814.872,628341.2872,633674.7644,642516.1819,646083.8003,651306.5114
Lancaster,569675.1749,589977.0215,603723.6991,618192.0478,635130.7351,653498.1442,676101.3521,700904.1966,722731.5293,744065.5438,766320.4012,789779.4415,814456.0397,839954.2297,865586.2645,899678.8847,924201.8072,948668.8558,971623.1346,997131.7328,1016697.292,1034978.599,1049940.958,1065254.415,1076964.789,1090647.231,1098602.62,1112875.105
Manchester,2092185.728,2161713.466,2217452.73,2283137.549,2348993.349,2409142.202,2476215.747,2555606.271,2618576.126,2687039.724,2752483.433,2818011.018,2885782.583,2957144.488,3023794.63,3090235.345,3152179.893,3226874.95,3292206.776,3361426.654,3409947.613,3454637.783,3498395.937,3530556.801,3571297.796,3595903.616,3630433.613,3665230.751
Northumberland,11.06235539,11.38189407,11.65344713,12.19388559,12.77234766,13.114613,13.52461889,14.00027974,14.38339957,14.78667983,15.20904013,15.65191692,16.13939706,16.6161041,17.11769871,17.58011347,18.02843449,18.47762063,18.94262618,19.49262411,19.82478095,20.3617907,20.73624849,20.95454586,21.39469288,21.74589333,21.88488995,21.9960891
Oldham,909684.2336,941221.4415,966836.5912,993027.974,1014793.482,1039928.249,1069092.687,1103953.318,1133460.128,1164027.251,1195413.343,1227394.407,1260137.101,1293372.498,1326286.618,1358154.991,1388833.325,1419289.944,1447700.281,1479346.334,1503627.619,1526205.749,1544897.787,1561382.552,1576132.018,1589261.203,1601014.546,1611132.195
Pendle,322764.0885,331432.6288,337949.7323,343674.8787,350347.8782,358486.8598,368306.2812,379925.9082,389439.8216,399328.895,409500.6749,419944.2425,434174.9573,444931.9708,455619.2343,466158.6321,476256.1772,486827.1321,496001.8646,504537.0497,512464.2728,526893.574,542496.3732,547352.6076,552063.1048,559999.1601,563156.0192,567850.0588
Preston,575273.7937,595925.7856,607688.2397,621596.1668,660171.6099,676047.0628,694568.5079,716294.3267,736145.576,755495.8898,775640.989,796387.678,817622.0382,839263.3044,862542.8046,891282.54,911486.7178,931456.0218,949876.2452,966923.9653,990199.0086,1004063.249,1015713.688,1025401.321,1033810.843,1040988.087,1047036.549,1051819.9
Ribble Valley,224867.7233,231546.5391,236088.5612,240557.694,248776.8222,254596.2253,261530.3838,269709.5842,276677.0017,283743.9079,291042.6299,298540.8171,307899.8781,315651.4359,323590.6563,332202.6118,339426.266,346882.7706,353483.3796,359610.8198,366307.0397,374846.3279,383687.4589,387167.3913,390420.8127,395058.6604,397282.2101,400082.6068
Richmondshire,283.7363289,291.9321179,298.8971325,312.7587397,327.5956075,336.3743087,346.8904746,359.0906128,368.9171832,379.2608448,390.0938867,401.4531525,413.9564413,426.183413,439.0487214,450.9091128,462.4080166,473.9291097,485.855952,499.9627483,508.4821782,522.255843,531.8602423,537.4593118,548.7485622,557.756438,561.3215371,564.1736636
Rochdale,760713.5624,787966.6997,806486.9736,824173.523,843369.8629,865989.0815,893161.039,925260.4791,952674.0963,981318.4749,1010997.298,1041789.482,1073463.231,1105976.535,1138447.6,1170170.439,1203816.358,1234068.893,1262301.457,1288671.414,1313061.946,1335569.339,1353593.765,1369325.654,1383382.692,1395823.255,1406777.012,1416023.1
Rossendale,308310.0385,316754.5289,323026.4506,328558.6687,335029.625,342896.9704,352392.4948,363629.6343,372851.7683,382442.6467,392314.9295,402461.4943,416047.0328,426519.7906,436930.3134,447191.6898,457119.7461,467374.3954,476321.3247,484647.4692,492379.0148,505931.0532,520432.3703,525182.3349,529760.2104,537209.1794,540310.2458,544757.611
Salford,947353.9361,971275.0499,993082.778,1047229.854,1097413.627,1124218.881,1153088.951,1186888.653,1217205.445,1249308.805,1282684.794,1317442.581,1355496.943,1392660.106,1429537.97,1465752.425,1500927.758,1536343.859,1568903.81,1599244.958,1627140.863,1652617.23,1683122.23,1701278.45,1745760.206,1759416.946,1771209.165,1781506.892
Sefton,9.941940179,10.17519443,10.36858052,10.52046789,10.70744453,10.92854533,11.2035073,11.52661998,11.82462531,12.14327921,12.46970316,12.81030286,13.16048036,13.51612119,13.87061546,14.21785238,14.55438489,14.97156003,15.2781222,15.56032035,15.818535,16.04638437,16.23837374,16.39787097,16.53440976,16.64878811,16.74297649,16.81425393
