Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,493300.8567,531008.0689,556549.1483,593822.9896,628938.268,648641.6827,673919.4704,704178.0485,728099.2903,755309.91,794568.6147,849205.3451,925760.4652,992816.7466,1031341.821,1065718.251,1095861.752,1126766.572,1149302.215,1166768.306,1180964.987,1193687.991,1205006.586,1216415.336,1226533.71,1235891.581,1243219.03,1236933.118
Barrow-in-Furness,378542.3082,407477.5411,427076.8972,455679.5759,482625.8468,497745.5774,517142.8925,540362.2967,558718.6445,579599.149,609724.9445,651651.3141,710397.1108,761853.8217,791416.6543,817795.9577,840927.0557,864642.3643,881935.4507,895338.3349,906232.3853,915995.5862,924681.0911,933435.7784,941200.2748,948381.1866,954004.0215,949180.4266
Blackburn with Darwen,588155.724,653286.1325,693655.984,737353.6948,799039.3446,835616.5203,865196.1367,897344.4479,931403.1069,963165.1049,1006945.913,1039022.196,1098937.266,1146461.643,1189530.211,1230543.739,1265374.196,1296282.413,1323232.091,1346202.027,1366105.893,1384117.128,1400863.92,1416506.041,1430843.987,1443811.496,1454615.802,1449645.155
Blackpool,645442.0351,707561.7661,777883.1248,845990.2072,881162.1506,924774.4214,958100.2887,1009086.509,1037379.948,1064560.98,1095277.187,1132712.632,1185237.717,1237332.439,1292989.433,1340624.76,1377861.802,1411696.164,1441390.855,1467071.922,1489697.606,1510766.987,1530715.084,1549392.457,1566958.617,1583333.471,1597314.113,1592908.868
Bolton,1168348.099,1270940.91,1335499.997,1427894.753,1513590.801,1572166.836,1635888.43,1704398.338,1772995.42,1833154.358,1894609.599,1962376.366,2060254.939,2151592.663,2236356.417,2313705.396,2381039.77,2442114.359,2494687.744,2539489.477,2577557.505,2612373.719,2644463.816,2673820.676,2700297.586,2723694.756,2742838.436,2736960.611
Burnley,359621.0175,391390.019,415400.9828,436383.5931,458211.0659,481126.3876,508446.4809,529946.2897,551093.666,572246.3938,602001.7134,627185.5003,675022.4253,714690.3056,749535.7186,784031.7048,813964.1431,835501.9432,854181.3433,870510.6413,884715.0855,897980.5714,910514.8579,922406.66,933466.6628,943641.4513,952333.4841,949004.5059
Bury,780126.53,849576.9586,893433.8662,955375.8279,1012467.355,1051540.236,1094078.713,1139672.877,1185267.682,1225269.485,1266412.989,1311502.122,1377029.726,1437956.9,1494375.369,1545923.24,1590732.838,1631374.768,1666351.536,1696167.737,1721499.233,1744665.844,1766012.349,1785535.269,1803132.435,1818670.849,1831368.436,1827429.852
Carlisle,539347.5246,580574.4783,608499.6638,649252.7941,687645.8724,709188.4824,736825.7996,769908.834,796062.9798,825813.5471,868736.8158,928473.5564,1012174.636,1085490.218,1127611.377,1165196.639,1198153.855,1231943.454,1256582.664,1275679.109,1291200.965,1305111.585,1317486.703,1329960.392,1341023.255,1351254.627,1359266.048,1352393.385
Cheshire East,539318.0541,571681.2834,602831.2419,635615.4173,660796.5076,685852.9464,713011.9774,739360.016,765791.9722,789435.3482,847007.3713,874047.0449,921412.1434,1084503.893,1120466.701,1178781.491,1208319.635,1234381.303,1258208.157,1278663.037,1296636.053,1313368.978,1329272.927,1344105.681,1357854.615,1370447.896,1381052.707,1377727.374
Chorley,416341.7199,456475.3413,501225.8747,544950.8821,567986.6542,595934.2647,617510.2527,650173.3126,668647.578,686311.7477,706198.0531,730343.956,764247.8622,797803.0511,833510.0189,864119.8673,888117.689,909924.5023,929048.7855,945582.1122,960132.1309,973674.6145,986485.8506,998472.3213,1009732.173,1020213.123,1029150.041,1026332.706
