Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,493300.8567,513430.7255,528162.0332,553851.2838,582839.8179,597999.8625,621038.7016,644301.0169,667201.5855,695892.5499,721820.5311,752894.8514,797109.6552,848480.1087,877077.4015,904068.6849,930162.6606,954423.7412,968805.772,987052.1491,996140.1527,1004340.617,1014842.756,1018668.207,1020850.762,1022738.132,1023242.474,1021369.656
Barrow-in-Furness,378542.3082,393989.2852,405293.59,425006.6476,447251.4633,458884.7662,476563.9881,494414.6981,511987.816,534004.2867,553900.5381,577745.9152,611674.8526,651094.7923,673039.3827,693751.576,713775.2059,732392.3344,743428.616,757430.2655,764404.0905,770696.848,778755.8324,781691.3537,783366.1719,784814.4755,785201.4908,783764.3541
Blackburn with Darwen,588155.724,622751.266,649003.466,676582.9503,722133.0064,748059.4358,775445.3252,804588.2288,837577.6025,869108.1523,905931.0484,933298.3363,967711.5912,997590.9334,1026753.48,1059461.306,1082074.866,1102531.529,1118419.221,1132299.93,1151806.846,1161898.579,1169265.788,1174792.346,1179059.168,1182290.627,1184575.11,1185027.431
Blackpool,645442.0351,682045.5095,717640.7311,738225.8072,761628.0545,798030.3398,829046.8118,854949.2294,882611.9625,921468.1631,949421.496,982131.3791,1014734.033,1047568.962,1077327.181,1104634.03,1128601.016,1158118.719,1175904.394,1191584.722,1205286.96,1217469.336,1226611.232,1233457.68,1238969.919,1243481.355,1246926.699,1248093.691
Bolton,1168348.099,1223150.104,1266276.046,1339973.805,1407198.396,1450561.346,1502160.437,1557546.247,1615471.171,1670703.183,1727125.544,1783938.338,1848893.095,1911272.019,1968218.864,2019690.987,2063907.26,2105420.206,2139216.285,2169236.112,2194999.036,2217902.384,2235869.883,2250126.366,2262009.399,2271918.109,2279834.719,2284626.103
Burnley,359621.0175,376606.3359,395769.6973,412320.0282,428708.2849,447926.9194,476746.9314,496335.4737,517514.9326,544125.788,566153.2402,588539.1314,615517.8938,644840.1694,668481.5677,690548.3905,711698.7866,733732.554,743733.9165,752558.916,760225.21,767150.629,772212.9977,776069.0686,779148.94,781588.6401,783414.8013,784072.0957
Bury,780126.53,817087.4016,846251.3393,895292.8183,940022.1292,968916.744,1003491.988,1040302.445,1078811.668,1115709.737,1153176.386,1190900.465,1234116.624,1275732.537,1313577.56,1347795.015,1377197.408,1405183.308,1427661.08,1447636.444,1464790.546,1480058.598,1492033.048,1501539.688,1509467.645,1516081.678,1521369.897,1524572.836
Carlisle,539347.5246,561356.3956,577462.7823,605549.9699,637244.4093,653819.5529,679008.9291,704442.6416,729480.8405,760849.9339,789198.1361,823173.0574,871515.0472,927680.6235,958947.3016,988458.0589,1016987.75,1043513.457,1059237.964,1079187.53,1089123.844,1098089.773,1109572.223,1113754.757,1116141.04,1118204.585,1118756.005,1116708.371
Cheshire East,539318.0541,557609.691,578549.8388,599928.3989,615594.4232,635904.4082,659620.6135,682370.9312,705294.7245,727943.2136,750480.768,778687.4622,805655.5295,862021.5995,911699.4252,933481.0868,951768.0611,970468.455,986389.0035,999139.7272,1010472.406,1020679.59,1029518.027,1035712.638,1040854.976,1045230.649,1048681.969,1050363.777
Chorley,416341.7199,439908.1528,462687.2916,476486.5739,491953.8138,515214.2255,535196.6225,552020.5087,569965.6991,594865.4127,612959.6002,634027.2244,655114.6794,676315.9072,695533.3644,713158.2535,728614.7644,747520.5846,759003.3534,769130.9718,777976.5494,785842.5874,791754.4586,796191.7921,799769.8231,802701.1044,804943.9603,805729.4226
Copeland,369076.6294,384137.3454,395158.9792,414379.0999,436067.6705,447410.0757,464647.218,482051.5602,499185.2517,520651.1873,540049.9209,563299.0299,596379.5538,634813.7741,656209.6268,676403.8992,695926.8262,714078.4221,724838.7348,738490.2647,745289.705,751425.1082,759282.5729,762144.6897,763777.6281,765189.716,765567.0537,764165.8534
Craven,79711.06429,82881.00004,85565.34322,88475.02757,91441.62129,93698.25936,98419.88098,101486.641,104710.619,109668.0157,113152.214,117044.6007,122663.1519,129437.9049,133265.3126,136848.5131,140149.589,145819.793,147873.5921,150088.4294,151513.3711,152821.2605,154063.4754,154687.7317,155109.451,155441.8957,155607.0847,155470.9548
Derbyshire Dales,62.06305347,65.7151311,67.98710544,69.5485197,71.37376549,73.49603957,75.92380813,79.1878509,83.28530256,85.84980105,88.44304098,91.07799077,95.45115107,98.39464567,101.3694721,103.8949231,106.1453845,108.3254916,110.0802311,111.6698333,113.0245349,114.263472,115.2745067,116.1038299,116.6789476,117.0939134,117.4075979,117.5572907
Eden,275243.1408,286474.8429,294694.3531,309027.9792,325202.4801,333661.2092,346516.0063,359495.4947,372273.1421,388281.6105,402748.4391,420086.7296,444756.9106,473419.6725,489375.8756,504435.9865,518995.4338,532532.1953,540556.8222,550737.6076,555808.3684,560383.9159,566243.7105,568378.1671,569595.9496,570649.0304,570930.4344,569885.4732
Fylde,326892.6047,345455.5631,363371.8152,373950.36,386248.789,404554.9896,420247.5169,433467.4509,447621.3634,467231.7596,481600.8165,498122.3242,514721.2561,531349.3931,546458.7993,560435.4816,572588.5648,587419.9328,596421.5366,604355.1206,611426.5395,617577.3503,622188.9709,625642.5869,628419.6146,630687.4847,632415.8947,632994.6749
High Peak,384529.6311,407163.9797,421335.6155,431166.8259,442510.8217,455707.1519,470755.8809,490985.0911,516353.7578,532240.6266,548315.5689,564649.1628,591735.6781,609974.6695,628394.2713,644043.6055,657979.5239,671478.3098,682344.1797,692187.3152,700576.3757,708248.0056,714520.4952,719654.254,723215.8084,725788.4247,727731.6833,728658.8107
Hyndburn,370163.0873,385183.483,399072.3283,408467.0414,417389.6076,427674.53,452762.0705,464884.6849,478650.2445,502554.5022,516822.9631,530810.7634,551107.4829,576081.3989,591082.7367,605295.4057,617278.9109,648709.7524,657323.6747,664868.8856,671814.3739,677847.8663,681901.7229,684868.1846,687130.125,688809.6989,689927.7351,689961.0833
Lancaster,569675.1749,598992.8639,643602.1456,670260.7016,698756.5102,730378.8193,768822.9486,816980.8723,849233.6055,877677.4113,907453.8626,937503.7894,972865.151,1007986.263,1384629.111,1418503.043,1434820.046,1445003.774,1458657.062,1476597.682,1484435.726,1497803.466,1503394.801,1503398.547,1507008.765,1501621.942,1493345.021,1489686.877
Manchester,2092185.728,2199733.779,2299751.966,2404995.679,2484296.005,2562077.34,2653043.88,2740109.529,2837006.005,2926011.178,3017080.36,3128907.891,3234930.842,3343727.932,3443590.618,3520899.998,3584959.94,3657255.91,3715554.883,3760484.101,3799536.64,3834684.739,3865460.062,3887138.778,3904445.467,3918786.976,3929847.156,3935840.445
Northumberland,11.06235539,11.51377111,11.84412319,12.42020899,13.07028179,13.41024836,13.92689823,14.4485596,14.96210874,15.60550848,16.18694786,16.88379476,17.87531924,19.02731037,19.66860951,20.27389362,20.85905545,21.4031143,21.72563378,22.13481188,22.33861191,22.52250871,22.75802095,22.84380735,22.8927515,22.9350761,22.94638606,22.90438781
Oldham,909684.2336,960986.1264,1003992.098,1041364.39,1078603.374,1107836.507,1140612.741,1177266.712,1217943.804,1254664.825,1291567.494,1329309.132,1375465.15,1418254.389,1458501.425,1495000.258,1527260.584,1555452.117,1580510.157,1603093.112,1622855.806,1640866.762,1655462.98,1667408.377,1677384.551,1685794.743,1692826.789,1697372.098
Pendle,322764.0885,335532.9252,347851.5876,356009.6542,362884.6615,372064.4548,394830.5218,405501.7061,417544.2197,438920.9872,451280.5891,463868.2827,481980.5824,504569.7646,518049.2163,530553.8335,541514.2215,569673.1995,577200.1035,583799.8364,589522.0946,594837.3675,598411.7743,601032.5901,603039.1687,604537.8167,605544.4303,605602.489
Preston,575273.7937,609221.1371,634965.5129,661524.2289,706327.9008,731782.3861,758558.7465,787084.085,819456.8751,850393.4691,886673.9171,913420.4993,947143.3062,976325.7131,1004886.893,1037104.176,1059254.149,1079214.244,1094734.341,1108284.596,1127569.47,1137401.378,1144560.965,1149919.195,1154042.063,1157150.094,1159333.507,1159715.577
Ribble Valley,224867.7233,235176.7467,244078.4863,251121.3643,259997.3957,267302.9902,281179.2123,289625.3493,299214.1229,313041.5355,323285.0212,332341.6857,344915.0901,359010.755,368709.9335,378475.3427,386148.9833,402016.1896,407487.2454,412274.5693,417442.2831,421158.3537,423716.981,425602.5927,427044.5311,428120.4291,428849.4031,428906.5374
Richmondshire,283.7363289,295.3146081,303.787748,318.5636673,335.2372654,343.9570058,357.2084639,370.5884608,383.7603886,400.2628309,415.176063,433.0493618,458.4807916,488.0280013,504.4765656,520.001387,535.0100957,548.9645615,557.2368047,567.7317389,572.9589684,577.6757037,583.7163143,585.9166338,587.1719935,588.2575693,588.5476565,587.4704509
Rochdale,760713.5624,802491.0982,850074.8286,895699.2422,942760.0135,992303.8715,1049261.355,1098870.314,1151670.542,1205184.622,1259749.669,1315214.881,1376818.44,1437913.183,1496176.652,1550523.813,1603671.377,1630136.913,1653615.3,1674501.953,1692710.735,1708950.037,1721650.414,1731675.858,1739977.244,1746851.023,1752371.772,1755358.605
Rossendale,308310.0385,320763.511,333026.3854,341516.3347,348895.065,358485.9794,380536.9925,391437.0396,403651.7355,424317.8229,436879.0918,449667.2898,467586.4476,489534.8607,503197.4761,515883.9276,527167.7526,553195.2434,560533.977,566973.9538,572559.0879,577728.7687,581243.0002,583833.2116,585828.3138,587331.4497,588358.5709,588469.5662
Salford,947353.9361,984843.3831,1017711.011,1081023.488,1135288.37,1168390.527,1207379.343,1247521.104,1297040.082,1348863.885,1408345.681,1453693.772,1511819.151,1566794.448,1644494.801,1686508.177,1722813.495,1757356.678,1785139.184,1809646.596,1830711.401,1849195.939,1863792.976,1875088.557,1884414.21,1892117.84,1898306.123,1901938.945
Sefton,9.941940179,10.31370391,10.65076497,10.89136249,11.11289843,11.3804044,11.70496362,12.0480577,12.89937795,13.298975,13.69780469,14.51932556,15.00717051,15.48419734,15.92495216,16.32428875,16.66666585,17.04309151,17.30204464,17.52556949,17.7170897,17.87636824,17.98942837,18.05614711,18.1014346,18.12924935,18.1416759,18.12569457
South Lakeland,599486.0984,623949.0125,641851.3009,673070.2789,708298.7262,726722.039,754720.0925,782989.7264,810819.746,845686.5703,877195.6668,914958.8752,968691.1156,1031119.292,1065872.281,1098673.56,1130384.382,1159867.77,1177345.598,1199519.591,1210563.828,1220529.48,1233292.251,1237941.148,1240593.508,1242887.143,1243500.047,1241224.097
South Ribble,454387.4075,480737.9133,503166.4546,521269.3349,548274.7151,570827.6104,592281.2225,612908.1745,635776.3774,661505.8141,686183.1332,708152.0631,733155.4075,756234.5387,778080.4194,800769.186,817988.5643,835976.9691,848351.9635,859203.7437,871960.1432,880085.2342,886086.3881,890579.1011,894112.2224,896886.7665,898922.0345,899454.2032
St. Helens,219989.2981,227210.9959,233724.6628,242547.8646,250581.6449,259210.5452,267203.4924,275596.4941,287673.7489,298042.9953,308775.8877,321846.5439,334729.8291,347448.0098,359187.4592,369887.1939,379253.5385,387537.5225,394418.2206,400349.1374,405366.2048,409657.3498,412808.6513,415082.8706,416848.366,418203.786,419208.8739,419572.4479
Staffordshire Moorlands,23.81201928,24.21405528,24.70706727,25.17823764,25.74641163,26.5494815,27.53440326,28.581304,29.63289686,30.68367851,31.73007262,32.77717629,34.09668942,37.94896291,41.5708757,42.67559529,43.65657781,44.48394729,45.23894478,45.92004545,46.53369765,47.08911039,47.52890785,47.87510596,48.16696354,48.41275899,48.6169932,48.71752677
Stockport,1185466.033,1258588.762,1381454.55,1543045.004,1606775.536,1686305.33,1739632.443,1804051.963,1862371.461,1909316.995,1964605.053,2025052.271,2096206.322,2154970.12,2200263.431,2248986.548,2284104.443,2318723.009,2347214.634,2371647.908,2392932.402,2411886.748,2437431.75,2448651.223,2457768.99,2466824.219,2472471.529,2474999.803
Tameside,1004640.961,1063763.961,1100631.809,1126055.955,1155638.396,1190034.618,1229338.909,1282175.944,1348478.269,1389988.502,1431972.97,1474632.915,1545407.604,1593056.609,1641199.236,1682081.534,1718503.611,1753784.422,1782183.284,1807909.357,1829834.461,1849885.45,1866258.974,1879679.353,1888988.091,1895707.741,1900786.279,1903210.114
Trafford,1039859.532,1091487.481,1140179.145,1243716.974,1323747.278,1363256.86,1408861.218,1447142.468,1507684.643,1576929.427,1665429.511,1716047.822,1783643.707,1849234.946,1988737.917,2028873.177,2062829.327,2101779.046,2130698.116,2154537.038,2175370.342,2193674.44,2208667.531,2219690.192,2228845.972,2236485.952,2242747.372,2246654.386
Warrington,105176.8271,111682.5847,113923.2568,116601.6606,119239.0174,122558.0916,126205.628,130254.6535,134996.6239,140020.3111,145261.5975,150664.6676,156935.6447,163125.2429,168798.833,174425.5722,178972.9521,182824.837,186134.9538,188989.1916,191419.7054,193471.0273,194936.0024,195968.6771,196751.1961,197336.3605,197754.2149,197854.0242
West Lancashire,378180.6605,394627.9445,409985.3616,420055.6711,430150.7478,443846.7085,458031.8988,471753.8364,499031.8428,516620.3119,532172.4862,559608.1258,578337.4328,596828.0701,613805.457,629251.2698,642596.6142,657854.8563,667885.3065,676604.1095,684123.9263,690523.3284,695157.248,698160.2659,700358.6279,701917.0434,702877.7043,702677.4834
Wigan,1320875.548,1377978.969,1426489.168,1486091.765,1540910.731,1587422.033,1639418.398,1693750.544,1777895.108,1837905.424,1897285.471,1980483.647,2050637.512,2118855.079,2181442.91,2238167.977,2287028.815,2336294.595,2373242.114,2405602.687,2433342.524,2457344.959,2475354.689,2488274.022,2498410.887,2506273.687,2511986.718,2513985.863
Wyre,448403.7112,473860.8166,498467.1782,512971.0872,529800.6389,554926.3511,576468.1528,594623.2012,614032.3085,640932.3952,660625.3175,683294.1762,706060.5313,728875.6838,750048.3682,769216.1913,785878.3033,806215.3062,818560.9404,829449.2503,839129.1833,847571.9301,853896.3504,858627.597,862437.0657,865537.8772,867896.1813,868685.6373
