Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,493300.8567,514333.7448,534916.179,587289.2378,642567.2589,673285.5351,700758.0758,743313.7693,822274.6788,859430.1877,900560.3546,936935.0902,975418.5478,1010969.774,1044488.552,1075357.197,1102325.918,1125931.601,1144679.52,1159217.623,1171387.102,1181170.674,1178206.921,1174382.144,1169641.943,1164491.459,1158616.645,1151965.241
Barrow-in-Furness,378542.3082,394682.2316,410476.4919,450665.7969,493084.2711,516656.4321,537737.9259,570393.7184,630985.6362,659497.5107,691059.4026,718972.1382,748503.0353,775783.8376,801505.0089,825192.5576,845887.4369,864001.6362,878388.1517,889544.198,898882.642,906390.2224,904115.9391,901180.9356,897543.4666,893591.1598,889083.0274,883978.9659
Blackburn with Darwen,588155.724,627704.6235,660027.63,708577.6962,778832.9493,822901.5279,857566.105,912939.2308,963216.6339,1016192.407,1063948.683,1107337.344,1152494.894,1194131.136,1233059.883,1268568.205,1299625.097,1327338.246,1349834.521,1368984.819,1385331.864,1398958.944,1397394.428,1395000.866,1391515.974,1387417.684,1382564.39,1376752.76
Blackpool,645442.0351,682022.2949,743184.0003,804951.1266,836103.7012,882639.4728,920665.5802,976271.1322,1047157.765,1110721.119,1155446.87,1199549.062,1247732.535,1291999.146,1333741.424,1372201.719,1406185.73,1436047.004,1461587.168,1483885.026,1503332.089,1520217.126,1520071.417,1518511.539,1515761.763,1512343.674,1508088.92,1502743.158
Bolton,1168348.099,1228018.02,1276471.719,1364462.549,1445376.492,1500430.574,1572191.8,1670549.261,1771061.616,1862932.29,1951520.421,2038567.59,2127473.703,2211653.503,2288969.262,2358283.153,2417675.261,2469178.894,2513186.273,2550396.953,2581327.453,2607840.763,2609266.868,2608609.731,2605822.809,2601815.302,2596163.218,2589119.434
Burnley,359621.0175,377222.0019,396149.0002,415262.0941,442778.1028,466193.9753,494210.7445,527960.5042,563160.124,608634.0647,646376.0385,680259.7103,718337.6196,752272.2476,784644.3265,814826.1968,842504.2686,861265.6501,877400.8245,891410.5456,903537.6257,914106.524,913092.6125,911488.3411,909200.5653,906561.6154,903448.5118,899680.0848
Bury,780126.53,820695.7026,853767.7362,912715.3275,966853.8376,1003582.644,1051408.505,1116894.988,1183794.109,1245354.427,1304408.683,1362326.358,1421606.576,1477604.024,1529037.467,1575148.134,1614663.721,1648919.976,1678187.728,1702937.157,1723507.65,1741130.964,1742049.776,1741586.179,1739705.694,1737014.912,1733230.771,1728513.862
Carlisle,539347.5246,562343.7063,584847.387,642109.1558,702547.0477,736132.6902,766169.6273,812697.6389,899029.0743,939652.8265,984622.2471,1024392.345,1066468.002,1105337.721,1141985.277,1175735.324,1205221.412,1231030.544,1251528.468,1267423.616,1280729.042,1291425.852,1288185.45,1284003.654,1278820.984,1273189.732,1266766.54,1259494.267
Cheshire East,539318.0541,555058.3182,578085.3553,608923.1943,629776.9408,654867.4229,688162.6739,763894.1212,815434.9911,908781.6802,945356.3983,980425.9443,1041948.905,1077598.308,1110941.813,1141605.209,1168630.175,1192406.179,1212978.275,1231245.652,1246533.686,1259731.984,1259980.013,1259061.363,1257161.674,1254783.079,1251619.307,1247601.019
Chorley,416341.7199,439993.273,478829.8774,518552.4989,539024.7619,568750.6539,593345.0743,629213.3769,674651.6859,715394.8328,744320.5982,772837.9398,803926.1989,832509.9426,859439.0556,884227.8107,906107.3503,925323.6964,941759.7302,956097.1157,968583.5768,979420.4703,979344.3915,978362.5177,976613.9748,974434.6622,971714.0515,968296.9972
