Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,3257.445568,4758.585371,7091.484267,10148.75486,13869.60837,18038.71185,22507.28416,27819.87458,32945.37635,37934.25238,42731.8595,47294.73299,51536.84349,55556.16593,59246.14422,62618.34044,65609.46826,68249.53531,70385.43426,72149.13258,73599.9879,74797.84095,75753.74194,76449.10328,77096.99551,77637.82692,78104.20342,78529.09164
Barrow-in-Furness,2013.216157,2939.815578,4360.702469,6203.138574,8419.655316,10872.78778,13484.32936,16586.83204,19568.70279,22469.01513,25256.68346,27906.41178,30352.39568,32668.78301,34794.17189,36735.60001,38455.96484,39972.82808,41196.55867,42204.57949,43006.19656,43638.69525,44147.85582,44515.35473,44863.50135,45181.4025,45468.96735,45700.50625
Blackburn with Darwen,4798.751055,6961.243575,10200.69009,14210.63947,18784.17928,23732.40234,28984.28904,35263.28268,41280.11867,47115.17906,52710.54837,58016.51722,62793.60771,67300.79137,71426.48329,75186.42767,78381.45082,81184.65672,83415.8336,85208.52401,86564.37058,87600.58148,88407.97662,88938.98144,89413.08088,89749.5004,90060.67907,90378.88004
Blackpool,4109.857731,6021.474421,8919.012623,12611.30922,16957.76278,21727.04346,26792.96876,32816.32753,38591.73057,44200.3881,49584.33989,54695.4864,59379.36692,63808.0353,67867.87265,71573.44326,74851.79474,77693.50804,79947.44218,81795.2747,83288.70923,84404.19321,85259.92341,85841.04824,86338.66154,86811.04215,87271.78616,87683.29875
Bolton,9545.480077,13822.59946,20258.96903,28245.59764,37381.87503,47302.83005,57855.10554,70468.8166,82564.89317,94293.56302,105538.452,116200.3651,125786.7718,134827.0916,143100.2006,150634.749,157085.2145,162684.1331,167117.735,170571.3439,173232.9076,175366.2944,177093.4791,178215.2494,179129.443,179911.7248,180637.4908,181333.3882
Burnley,2474.811473,3611.499847,5369.914866,7646.038039,10372.47499,13407.37255,16651.17837,20496.86115,24189.52586,27772.26261,31208.26595,34467.81695,37442.99851,40251.06056,42823.02985,45168.52525,47241.85876,49064.86206,50527.25725,51724.79746,52699.81535,53496.51496,54100.36262,54497.61024,54849.11668,55172.56583,55453.10438,55712.43218
Bury,6904.060077,9998.954134,14592.56177,20198.75592,26484.67468,33222.16825,40359.60682,48921.11831,57121.38471,65072.5764,72696.73894,79925.5484,86402.12444,92511.28562,97942.95619,102607.7484,106718.1562,110320.5791,113171.895,115483.5905,117346.6748,118797.7456,119890.7682,120657.1487,121270.0885,121824.9784,122346.2899,122822.1505
Carlisle,3891.110884,5673.034072,8413.670536,11935.09173,16131.21962,20801.9226,25812.53734,31794.12425,37569.80749,43189.9579,48593.70228,53731.91627,58491.62946,62999.6464,67137.42655,70917.97031,74269.72484,77226.29119,79614.52649,81583.53093,83115.00793,84280.69675,85202.40413,85893.30145,86547.5003,87130.53964,87643.5248,88067.82626
Cheshire East,7058.341597,10087.67162,14641.47393,20275.19305,26724.13645,33673.00642,41040.05927,49863.3465,58320.16463,66525.30457,74396.88355,81864.0824,88501.83691,94760.89888,100486.1731,105699.1719,110294.9165,114321.9286,117525.0075,120124.8055,122217.2057,123831.7993,124927.5673,125509.8127,125963.2558,126375.2967,126843.8352,127314.3373
Chorley,4223.498877,6112.469285,9014.276157,12724.87256,17123.83275,21986.16511,27180.72034,33366.31045,39314.32916,45090.58341,50635.08255,55898.69243,60688.81877,65213.29606,69358.43209,73138.96529,76481.58919,79420.67449,81778.39527,83708.75565,85278.71816,86555.9476,87602.09387,88368.72093,88894.82977,89304.89629,89683.34722,90043.20903
Copeland,2339.551432,3404.712388,5053.350956,7206.905377,9818.633154,12723.68276,15821.6413,19495.26167,23025.43462,26456.77392,29752.79961,32884.09703,35761.37197,38483.09283,40978.77412,43256.98981,45274.19091,47051.01707,48482.01294,49658.48741,50621.03985,51410.51465,52055.67846,52541.07898,52988.81837,53368.11252,53670.99862,53933.59355
Craven,853.4056779,1229.802915,1805.101401,2541.766176,3422.148687,4398.668355,5448.469723,6714.410376,7945.950955,9150.610479,10314.16284,11425.08911,12471.06628,13466.98735,14383.82177,15223.58613,15970.83123,16632.87086,17172.40405,17620.87267,17992.78664,18302.20723,18560.98325,18752.65048,18907.78594,19035.60953,19133.87178,19234.38328
Derbyshire Dales,1.964929159,2.811807872,4.095665083,5.705757943,7.584820695,9.644349258,11.85233327,14.51777124,17.10232565,19.62449228,22.0559116,24.37305853,26.51077511,28.54006355,30.4045534,32.10907768,33.62124796,34.95630873,36.03594049,36.92645671,37.65796172,38.26074566,38.75946524,39.09258651,39.27798934,39.45756067,39.63665873,39.82597505
Eden,2246.574721,3262.672548,4809.2359,6772.042525,9086.187477,11650.72035,14409.21045,17732.05772,20959.28544,24110.43653,27149.42714,30046.9329,32766.95934,35352.64431,37731.18975,39908.49858,41843.8729,43493.05485,44770.18637,45827.33733,46701.47307,47427.87304,48028.69535,48455.50934,48861.00982,49245.96269,49595.75428,49882.63187
Fylde,3098.430262,4472.504124,6576.759846,9254.196668,12407.75658,15871.54235,19557.63206,23936.58584,28131.00152,32196.76413,36093.32336,39786.97449,43101.8861,46225.44308,49082.55027,51684.49427,53979.45022,55991.92228,57593.5861,58895.02563,59944.5901,60790.38873,61453.73477,61932.94563,62276.15526,62557.97665,62798.11417,63026.48995
High Peak,3800.596887,5472.387806,8026.110934,11286.26062,15154.44244,19407.65232,23942.34425,29360.60709,34579.28771,39658.03189,44542.21131,49186.74539,53434.48977,57455.97251,61144.69751,64512.37389,67493.96689,70120.34434,72234.29589,73970.61408,75389.56119,76553.5342,77509.26897,78179.31065,78713.04276,79160.42473,79552.52466,79908.75363
Hyndburn,2435.637192,3562.343719,5283.83705,7484.505917,10087.12849,12967.46341,16046.20941,19715.67673,23248.48506,26682.44854,29981.2466,33115.23406,36004.49643,38738.29739,41245.99974,43536.03409,45564.13059,47351.38297,48791.3351,49936.60789,50848.66567,51595.80404,52168.63483,52530.5419,52820.4507,53104.74642,53396.04435,53668.47891
Lancaster,4367.348805,6356.90787,9405.184241,13341.92456,18059.43716,23268.23159,28810.08441,35394.2817,41717.68923,47864.71634,53770.27891,59381.12931,64531.47162,69405.02668,73874.26696,77954.46554,81567.28432,84749.52244,87311.4448,89413.921,91095.11419,92474.74687,93584.21713,94391.80271,95050.37428,95596.12189,96101.27383,96556.8964
Manchester,13546.6921,19725.94787,28869.33244,40007.86861,52441.91676,65736.34786,79783.79086,96588.41767,112636.8233,128175.1704,143055.848,157148.3295,169732.4808,181588.051,192347.915,201889.2757,210160.0316,217335.635,222964.0549,227380.2163,230683.8987,233095.0635,234815.0459,235822.9832,236661.5982,237478.7368,238258.9462,239032.3687
Northumberland,2.089858093,3.017672412,4.45003151,6.309223181,8.560885329,11.0743261,13.77622778,17.01872995,20.16714757,23.24335894,26.21152863,29.04296042,31.70182166,34.23032828,36.55647791,38.68589291,40.57931628,42.25545069,43.61947458,44.75171973,45.68913999,46.46800244,47.11871256,47.61146586,48.06575586,48.48525338,48.75571022,49.00377907
Oldham,7111.082468,10343.61609,15183.04994,21167.80308,27978.03025,35350.57407,43178.67844,52534.57047,61497.82493,70187.24718,78517.14911,86414.00987,93529.11782,100240.336,106383.0261,111980.9843,116808.8035,120990.8027,124292.2055,126936.3755,128996.1784,130451.205,131485.8015,132132.6818,132688.3101,133252.2069,133817.7549,134354.8581
Pendle,2122.900137,3087.763367,4556.165044,6416.842065,8598.81207,11000.16541,13563.90816,16624.081,19568.61451,22429.72105,25177.487,27787.20667,30176.09359,32435.0121,34506.00748,36396.18588,38068.92283,39541.34571,40724.85601,41696.02028,42441.28573,43022.63974,43466.21704,43768.70756,44044.94158,44286.26822,44482.44347,44668.23006
Preston,4724.817456,6858.506461,10051.92658,13987.60316,18452.22494,23288.35096,28435.40488,34604.63506,40528.5475,46276.22949,51790.07446,57020.76193,61747.7865,66209.99165,70296.34354,73923.05874,77073.61089,79840.41509,81954.06706,83615.66238,84892.43567,85906.82705,86666.84139,87168.72853,87638.79823,88105.72092,88531.69556,88926.2503
Ribble Valley,2877.085195,4130.579261,6035.390078,8432.153113,11229.93818,14291.03779,17557.88613,21472.37138,25243.49543,28910.83343,32435.64909,35785.59165,38827.29086,41703.75085,44340.46503,46746.06661,48865.42642,50729.79571,52225.55507,53448.31266,54401.34321,55178.61184,55816.7875,56230.5806,56566.05767,56833.98491,57075.87106,57322.91354
Richmondshire,4.544791909,6.578118979,9.717343817,13.80518681,18.78587462,24.3806355,30.42734476,37.72719385,44.8621264,51.85755462,58.62702099,65.10203481,71.30550803,77.22712624,82.6877732,87.69730133,92.16646643,96.13749711,99.39479626,102.1187918,104.3933203,106.2993858,107.9062913,109.1307676,110.2465289,111.1308098,111.9324506,112.5795697
Rochdale,6758.788834,9802.641888,14425.0515,20255.10073,27050.21119,34486.05068,42397.161,51817.8995,60848.93713,69607.52433,78005.72792,85969.91276,93160.13314,99942.7799,106151.1446,111808.6873,116803.625,121188.5894,124676.7639,127429.6094,129657.6654,131427.7606,132673.5933,133435.091,134110.9113,134756.0193,135364.9875,135904.1538
Rossendale,2481.150927,3591.634803,5284.333799,7434.864687,9967.711401,12751.89914,15720.76076,19263.61927,22671.36765,25983.34269,29164.78967,32186.95785,34944.73283,37552.49717,39942.97546,42124.25329,44054.15458,45752.46893,47115.83247,48228.12896,49135.05835,49869.04493,50405.02109,50758.86703,51058.33425,51340.77343,51593.04057,51815.64656
Salford,7214.604568,10494.95987,15430.31238,21577.34212,28632.04285,36299.00273,44442.59234,54155.49334,63457.5799,72473.83129,81115.32017,89306.38138,96686.79138,103646.5506,110015.7805,115818.3719,120910.4896,125361.149,128859.2987,131591.588,133716.539,135260.8633,136459.4548,137277.0508,137866.0939,138366.6564,138895.8138,139412.8146
Sefton,0.194641606,0.283545065,0.414422403,0.573307915,0.750621257,0.941255881,1.14452594,1.390992676,1.629367562,1.86176677,2.085659824,2.298867131,2.496620095,2.684420646,2.857038853,3.014945637,3.155043828,3.278801701,3.378831134,3.461382901,3.529262653,3.58416912,3.592589559,3.597736729,3.606905761,3.619655779,3.635030525,3.651508034
South Lakeland,4547.528499,6586.346912,9662.09275,13557.82058,18146.09534,23175.58459,28545.02162,35006.5848,41262.28478,47372.04194,53266.08098,58886.70488,64140.90292,69138.1182,73734.74435,77942.27772,81681.43078,84989.79623,87676.60504,89879.62371,91607.13304,92981.3527,94069.53675,94887.12993,95614.48368,96233.58455,96798.3006,97312.57254
South Ribble,4216.762312,6102.914787,9007.173088,12732.84335,17165.06562,22071.58483,27313.87467,33551.02723,39547.49598,45370.22989,50958.78297,56263.80354,61091.0002,65649.87632,69826.20911,73634.94892,77001.83414,79962.02256,82336.49918,84280.42091,85852.59583,87093.30022,88102.98862,88815.30188,89444.87298,89964.19207,90366.3669,90743.71677
St. Helens,2067.283515,2998.565024,4434.111283,6281.640328,8484.083461,10922.58999,13524.09979,16611.54606,19574.07405,22448.23548,25204.6708,27819.41116,30191.12734,32428.84559,34477.63386,36345.2115,37994.98163,39444.34153,40604.77564,41498.78861,42217.30531,42797.16687,43264.97236,43613.90949,43940.81847,44229.41591,44473.11004,44671.32392
Staffordshire Moorlands,0.369190424,0.535886433,0.787398702,1.105402321,1.478317958,1.88616338,2.320414319,2.840777798,3.342437586,3.831170797,4.301641075,4.749405346,5.163262289,5.555844496,5.916380632,6.245939607,6.538196228,6.796133587,7.004508798,7.176358164,7.317517799,7.414609355,7.491854626,7.540103398,7.588494293,7.63677014,7.683063331,7.723080039
Stockport,11523.61487,16603.79934,24186.43585,33516.78962,44106.32285,55494.01908,67562.72465,82032.4802,95904.62055,109367.2045,122285.4914,134542.5106,145530.3935,155901.8653,165337.7558,173765.7828,181143.703,187555.8369,192640.8946,196677.2539,199843.4055,202364.5772,204250.8535,205434.8934,206498.6688,207381.5049,208160.3518,208935.7194
Tameside,6754.818085,9825.976157,14520.47168,20510.99661,27581.60811,35363.74739,43645.9108,53479.54652,62902.83287,72041.57316,80803.55323,89112.54253,96640.70439,103743.0417,110232.5518,116115.5226,121311.3734,125874.6574,129523.5646,132471.2006,134808.2497,136706.9452,138128.1827,139050.6152,139899.913,140687.936,141409.6732,142020.6062
Trafford,8563.83583,12291.52127,17897.89006,24808.67251,32657.77371,41112.26784,50068.50631,60752.95304,70954.41197,80822.50482,90264.62554,99200.01204,107045.3194,114416.4848,121145.1515,127260.702,132636.8069,137331.557,141030.2092,143815.7696,146003.7766,147628.7233,148729.7198,149377.5023,149903.1847,150365.4524,150814.3308,151288.7153
Warrington,958.1659982,1381.632493,2012.235386,2784.578388,3655.875009,4590.461616,5580.226356,6766.774,7903.194517,9005.250865,10062.09866,11064.25465,11959.30016,12803.48287,13575.87853,14279.44538,14899.96433,15443.94144,15876.89204,16203.96632,16420.88564,16595.71715,16738.2534,16814.53644,16886.84071,16940.70788,16989.06697,17046.60715
West Lancashire,3941.411723,5712.9873,8418.611948,11852.3205,15883.38523,20319.74454,25053.18605,30692.69431,36109.77362,41367.36734,46411.67303,51198.19312,55540.60939,59639.61645,63393.63463,66816.40723,69840.38773,72497.75002,74625.60313,76364.72097,77777.22384,78861.63441,79673.36086,80248.60839,80695.89412,81064.91552,81385.70624,81697.68647
Wigan,10769.25306,15627.66953,23130.87585,32803.0473,44357.8747,57179.42706,70875.53044,87135.82842,102752.991,117908.9551,132447.7321,146242.5575,158789.2861,170631.8664,181477.5545,191366.4677,200106.5907,207788.4062,213946.3267,218943.2344,222945.7785,226051.8897,228547.7442,230369.2613,232045.2679,233497.2894,234751.8624,235860.3636
Wyre,4151.084173,6043.416388,8919.868751,12576.82509,16879.97295,21609.24453,26647.57396,32655.17354,38430.13092,44042.59224,49433.69424,54554.74059,59246.73203,63684.95308,67754.54081,71469.40681,74757.20234,77652.2256,79980.11609,81891.12706,83448.81436,84692.71836,85602.98176,86142.95474,86634.43941,87082.5883,87475.97656,87848.30522
