Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,3257.445568,4199.474236,5265.848242,6866.267756,9173.036464,12128.75238,15621.4164,19501.14468,23390.76234,27347.1558,31318.42536,35284.5237,39267.30123,42955.69594,46452.97802,49759.81946,52839.35828,55697.70061,58157.37165,60354.64755,62300.53202,64021.67312,65497.16343,66656.68717,67673.81992,68508.76817,69192.89337,69769.63221
Barrow-in-Furness,2013.216157,2594.401238,3238.080571,4196.811428,5568.564241,7310.574713,9358.940082,11627.01904,13893.5088,16198.12225,18510.76843,20819.74853,23126.30311,25259.30805,27280.98045,29192.03561,30970.96437,32621.38857,34039.47988,35305.24109,36403.65987,37351.6434,38170.5148,38813.35355,39380.06263,39868.73863,40281.17915,40602.8829
Blackburn with Darwen,4798.751055,6143.330584,7574.618226,9614.38688,12423.41938,15957.03916,20116.8495,24718.81658,29308.31432,33965.77134,38631.86377,43283.57615,47844.13134,52036.57024,56003.18641,59747.08113,63125.42491,66253.91196,68923.9995,71279.17206,73274.55473,74979.91549,76438.09461,77546.72859,78484.5725,79196.2882,79785.19328,80297.64623
Blackpool,4109.857731,5313.979833,6622.896586,8532.339879,11215.46998,14608.68893,18595.9407,23003.5527,27399.59589,31864.4714,36340.64761,40805.90087,45242.72986,49335.99209,53212.99536,56876.01412,60282.77479,63404.82364,66058.17179,68423.89919,70501.79009,72244.0327,73716.26793,74845.6117,75785.92387,76603.34912,77314.49951,77902.7412
Bolton,9545.480077,12198.50981,15043.48772,19109.91436,24723.50289,31805.17088,40154.94221,49397.15252,58619.93421,67977.10769,77349.73792,86691.99034,95840.31001,104247.5025,112200.2209,119702.2767,126510.4283,132764.7448,138084.3682,142687.4167,146637.2837,150101.1718,153116.1398,155387.5404,157235.3577,158756.7702,160027.631,161106.7127
Burnley,2474.811473,3187.165802,3987.480715,5173.02321,6860.113766,9014.762428,11556.92481,14367.86688,17174.22939,20021.28275,22872.71744,25714.92483,28528.82329,31121.8798,33576.14729,35893.28056,38046.78756,40041.29823,41749.15605,43269.15388,44609.06351,45789.24138,46775.51499,47516.97537,48145.18672,48685.08911,49126.17467,49498.03724
Bury,6904.060077,8824.124611,10835.84379,13665.72239,17516.34798,22337.70658,28012.008,34292.67099,40555.39449,46911.42632,53279.85767,59628.94234,65832.09248,71529.17392,76793.89184,81537.50166,85946.72442,90031.42008,93510.53992,96605.06168,99330.9983,101682.4863,103658.3149,105202.0948,106447.8593,107500.165,108387.1728,109122.0602
Carlisle,3891.110884,5006.479566,6247.650072,8074.836435,10668.81356,13986.66215,17915.462,22287.00978,26674.04461,31136.04286,35614.60362,40087.02351,44566.33891,48710.95061,52640.27628,56355.1409,59813.99794,63023.53307,65783.09354,68246.76998,70354.75631,72138.32846,73666.53639,74891.17176,75969.23733,76885.27845,77643.82456,78244.37694
Cheshire East,7058.341597,8902.418209,10872.16397,13717.43689,17674.72242,22640.83823,28484.28315,34953.15305,41406.51168,47958.71158,54525.90343,61075.19745,67431.91963,73268.56148,78787.94567,83994.10895,88827.31052,93296.87771,97107.38614,100487.5602,103453.7797,105991.281,108013.1632,109433.1779,110567.4045,111515.4332,112371.57,113113.1699
Chorley,4223.498877,5394.283234,6693.635419,8609.172587,11325.30479,14782.91547,18865.06375,23389.07911,27912.6309,32506.22149,37110.74295,41703.56006,46240.43628,50422.53131,54381.69461,58120.06007,61595.34895,64814.34531,67571.03336,70024.57636,72186.28241,74085.78261,75741.32329,77049.51312,78029.66459,78803.96295,79450.91317,79999.41735
