Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,3257.445568,4463.734034,6036.634625,8007.559036,10473.72673,13994.39305,18237.43198,22798.05408,27263.00211,31681.00597,35978.1023,40134.51794,44607.41,48968.86451,53095.15045,56967.24339,60513.84502,63774.10325,66583.87616,69046.48568,71191.69869,73053.99256,74595.75167,75756.42337,76730.0625,77464.09482,78030.93742,78494.60709
Barrow-in-Furness,2013.216157,2757.658806,3712.053291,4894.393353,6358.158542,8435.084889,10926.22006,13592.71023,16193.51923,18765.12539,21264.87244,23681.50349,26271.33652,28795.24139,31181.80626,33420.33424,35469.24487,37351.62815,38971.50867,40389.64558,41598.97678,42621.29599,43473.00088,44112.0159,44649.97942,45080.29896,45426.31498,45680.43772
Blackburn with Darwen,4798.751055,6529.911191,8683.349872,11212.46262,14184.99754,18411.54563,23485.68562,28897.83787,34160.17928,39348.50895,44379.66248,49233.07108,54350.63567,59320.92827,64010.91457,68401.10254,72293.8791,75861.00998,78910.49607,81544.28088,83731.86959,85558.24803,87056.55063,88133.1349,88987.53108,89548.66572,89976.19725,90339.19186
Blackpool,4109.857731,5648.371988,7592.320365,9950.560874,12805.76701,16855.79261,21710.08026,26892.58744,31935.48075,36914.20476,41747.55028,46414.82975,51395.45975,56242.30872,60821.76244,65114.17796,69038.35721,72598.79179,75629.43449,78277.81237,80563.39223,82436.38084,83956.61933,85063.27103,85927.74403,86616.78293,87189.92048,87644.79428
Bolton,9545.480077,12966.12393,17245.47208,22286.30937,28229.1708,36697.4317,46879.42556,57748.35134,68324.21136,78749.80383,88858.13229,98608.13968,108873.9962,118840.6267,128243.395,137040.4637,144885.0384,152016.1955,158091.6092,163236.2224,167564.4971,171277.7776,174386.3848,176600.5002,178276.9,179509.1319,180468.043,181253.7591
Burnley,2474.811473,3387.724191,4571.146574,6032.868251,7832.843268,10401.41019,13492.2868,16796.93226,20017.34895,23194.1626,26275.80916,29249.5407,32408.56585,35478.48736,38377.10019,41092.216,43572.77379,45847.45618,47798.25081,49500.46326,50975.40751,52249.28897,53273.37122,54003.82551,54588.06953,55049.10482,55401.08635,55687.96711
Bury,6904.060077,9379.399213,12421.93599,15937.19946,20000.0777,25773.68519,32702.99425,40090.27062,47269.16504,54345.73117,61207.0418,67825.17107,74784.84765,81542.2111,87774.42082,93347.74026,98429.78664,103086.3575,107059.4154,110517.4212,113506.936,116028.0767,118058.0885,119563.9144,120692.9194,121552.3676,122231.5224,122768.2154
Carlisle,3891.110884,5321.52169,7162.147297,9417.012526,12181.59746,16138.08588,20915.64628,26054.90408,31089.81759,36070.33825,40913.48264,45597.13992,50627.08385,55529.77057,60167.15197,64517.85926,68501.49432,72162.21246,75314.49976,78075.17427,80395.37466,82315.76361,83899.97928,85115.05079,86135.58886,86935.56549,87561.3104,88029.15293
Cheshire East,7058.341597,9462.619585,12463.57253,15997.5098,20180.90884,26123.44445,33254.3582,40862.41534,48261.18101,55558.98533,62638.47908,69470.21955,76602.24136,83525.08746,90053.59844,96160.17302,101728.7544,106825.3204,111177.4138,114959.0489,118218.0966,120944.7657,123017.8938,124372.61,125363.7502,126092.5036,126724.8487,127258.4296
Chorley,4223.498877,5733.72863,7673.413566,10040.1645,12931.17585,17056.81862,22024.27156,27343.29185,32533.4465,37657.65642,42632.22339,47435.87568,52528.84805,57480.94753,62157.5705,66538.41681,70541.57207,74212.70008,77361.49673,80109.00743,82488.28541,84537.9689,86262.98679,87568.04132,88471.74653,89105.05651,89599.21937,90003.66826
Copeland,2339.551432,3193.749692,4301.67116,5686.384296,7414.605933,9871.00515,12820.12103,15976.13348,19054.0386,22095.52475,25050.37882,27905.58903,30953.04395,33920.14779,36724.31693,39353.19028,41757.92678,43965.66813,45863.47132,47523.01125,48964.6523,50211.92198,51259.9426,52065.02173,52736.62505,53248.68938,53620.65231,53909.90962
Craven,853.4056779,1153.6019,1536.594767,2005.501462,2584.258272,3412.477253,4414.841671,5502.378897,6575.444013,7642.184229,8684.012587,9695.380754,10794.25764,11870.205,12890.47905,13849.70809,14730.44107,15542.17796,16244.91255,16863.11794,17404.0388,17875.50675,18277.25551,18582.73895,18817.79682,18993.01308,19115.92316,19225.93686
Derbyshire Dales,1.964929159,2.637582709,3.486439894,4.501950655,5.72772764,7.482064983,9.603829598,11.89713968,14.1525395,16.389506,18.56998158,20.68308442,22.94624456,25.1560647,27.24792235,29.21134017,31.010021,32.66406477,34.08961846,35.3384992,36.42574327,37.36872874,38.16697855,38.73838158,39.09105092,39.36926551,39.59947739,39.80848622
Eden,2246.574721,3060.510921,4093.86792,5343.269303,6861.494722,9038.603264,11675.64215,14531.20896,17344.25605,20135.96778,22858.46857,25497.9591,28361.24781,31160.87693,33813.9,36306.88926,38594.02776,40641.01767,42352.12266,43856.61306,45173.33894,46322.1323,47294.51695,48016.47008,48628.46227,49135.76378,49549.23077,49860.72685
Fylde,3098.430262,4195.378946,5598.474834,7301.735747,9369.799655,12313.10771,15847.35777,19615.74545,23279.00419,26889.31013,30388.78475,33763.40113,37306.58253,40744.48661,43986.75095,47020.14049,49787.08364,52320.27759,54482.92313,56362.34835,57983.12362,59373.11224,60514.33792,61371.79179,61979.76009,62417.98912,62739.20613,62998.81306
