Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,3257.445568,4076.294946,5372.265125,7164.506224,9586.731672,13053.51438,16960.33372,21068.06118,25032.92796,28877.43083,32527.60568,36164.77186,40036.72135,44000.43173,47718.63478,51188.57154,54325.09462,57172.60765,59672.35318,61839.35107,63716.18226,65338.11293,66683.38157,67754.44537,68652.96189,69344.61434,69863.16406,70263.14555
Barrow-in-Furness,2013.216157,2518.302068,3303.518546,4379.101233,5819.701187,7867.972662,10161.09826,12561.24974,14868.91277,17104.52664,19225.45497,21339.14184,23579.44968,25873.64575,28024.27741,30030.22558,31841.80552,33485.22163,34926.1978,36173.73786,37230.85745,38119.68318,38861.82042,39452.56438,39949.83498,40355.16007,40671.38241,40890.08614
Blackburn with Darwen,4798.751055,5963.133954,7727.69276,10031.99076,12983.70377,17173.69055,21841.07204,26704.9729,31365.92601,35866.40673,40123.41033,44363.37784,48781.6095,53302.16415,57529.04792,61462.59713,64900.38474,68008.35353,70719.44835,73032.61512,74939.56685,76521.68316,77822.4638,78823.8331,79620.13037,80162.52824,80558.07144,80865.62915
Blackpool,4109.857731,5158.109781,6756.737892,8902.944707,11721.277,15722.53477,20189.80558,24851.8876,29323.2046,33647.52355,37743.73207,41823.89164,46129.23506,50535.90459,54662.83539,58509.09327,61977.80503,65083.81972,67778.96671,70107.10353,72103.79689,73729.54403,75051.34215,76078.23197,76882.43623,77537.95383,78063.44406,78453.78385
Bolton,9545.480077,11840.70221,15347.49972,19939.95942,25838.50933,34230.16996,43596.63699,53366.21253,62735.38967,71780.92815,80336.15183,88854.70808,97718.24562,106782.9311,115257.2256,123139.2843,130067.6468,136280.4314,141681.4233,146197.4779,149969.3115,153187.6134,155889.2239,157946.5926,159510.3251,160693.6937,161577.8166,162246.296
Burnley,2474.811473,3093.679617,4068.063225,5397.715077,7169.498365,9702.096908,12547.47307,15522.32464,18379.95875,21141.62116,23755.81547,26356.43882,29087.82914,31878.80251,34490.96221,36923.88316,39116.5866,41101.61476,42836.70864,44333.56015,45622.71185,46730.77848,47622.66564,48299.52475,48841.77772,49279.07506,49602.05929,49848.16008
Bury,6904.060077,8565.29473,11054.82403,14259.29728,18306.31859,24040.85473,30412.92746,37048.08626,43402.61569,49536.46656,55336.95201,61116.51428,67122.03437,73268.85212,78886.21644,83878.68529,88363.37323,92415.5037,95946.46053,98981.51287,101588.089,103773.3231,105535.6691,106934.6511,107988.0053,108811.7285,109437.118,109893.9317
Carlisle,3891.110884,4859.629135,6373.908069,8425.56946,11149.96689,15053.08129,19451.00281,24077.77047,28546.71547,32878.33406,36989.65608,41087.08034,45439.59062,49895.66133,54074.51202,57973.26425,61495.8471,64692.43235,67496.72276,69925.61698,71953.42207,73621.66625,75000.70992,76124.54234,77068.40196,77823.32285,78395.95929,78797.83612
Cheshire East,7058.341597,8641.291817,11091.8782,14313.25801,18471.83558,24367.09879,30925.68148,37761.63805,44313.48619,50642.35516,56631.10664,62598.84932,68753.20922,75050.54375,80934.60021,86405.82909,91324.95562,95767.43253,99637.00349,102959.5195,105804.552,108170.7171,109969.388,111235.4152,112167.1544,112875.9853,113460.112,113913.2724
Chorley,4223.498877,5236.057717,6828.906277,8983.114668,11836.06526,15910.04529,20481.99526,25268.39105,29872.25762,34325.18429,38543.5602,42743.94487,47146.49096,51648.8698,55863.377,59788.85946,63327.28613,66530.66633,69331.23788,71747.15682,73826.5658,75609.16475,77113.07326,78318.42908,79158.64062,79765.41639,80220.55314,80565.29076
