Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,290.5207113,566.1936722,1080.763388,1913.322873,2957.11165,3983.232804,5373.230912,8352.360848,11318.49201,14258.07841,17197.86204,20123.63093,23046.05834,26019.22498,28999.13549,31908.73606,34675.23121,37323.87504,39600.79015,41712.76852,43704.68005,45866.54815,45930.92893,45995.39448,46060.59768,46127.76366,46195.47983,46263.75695
Barrow-in-Furness,153.1017893,278.9978996,481.2860964,808.1216128,1281.158013,1742.791815,2535.757375,4642.431793,6736.125229,8820.281516,10889.78013,12956.83273,15012.9138,17071.98174,19138.26674,21164.16164,23122.65645,25053.00884,26844.34805,28518.06336,30093.709,31769.04364,31745.93701,31722.9287,31700.89941,31681.83504,31663.57342,31646.10823
Blackburn with Darwen,356.1034344,629.300174,1104.863349,1801.59747,2806.739138,3794.88227,5338.994047,9075.820327,12736.93169,16343.6929,19870.33205,23324.78215,26731.10222,30100.6111,33440.85337,36671.3819,39678.93926,42511.69877,45084.63801,47400.77505,49518.27344,51721.27797,51358.94595,50995.25915,50632.70018,50276.60376,49920.92079,49565.60493
Blackpool,692.5703839,1092.113108,1680.933634,2587.532979,3785.055002,4994.355947,6877.710291,11211.52362,15539.11045,19870.41103,24200.8626,28527.7381,32861.45957,37224.78139,41604.23735,45897.95896,49916.32837,53806.80164,57344.29262,60658.45989,63815.27442,67013.27707,67137.16918,67262.18006,67398.66864,67569.4609,67748.3234,67934.38342
Bolton,975.2210601,1546.525861,2495.081069,3950.508099,6077.241136,8177.197992,11317.55348,18580.98459,25633.81651,32504.17003,39143.75503,45586.37271,51831.04589,57939.25217,63917.84953,69564.30238,74708.06362,79391.43344,83495.11426,86991.53788,90043.23987,93147.71335,91817.57392,90478.313,89138.49404,87815.51836,86487.79755,85154.55097
Burnley,217.8587381,414.4828401,759.7946705,1276.049427,2015.318915,2768.918833,3938.30973,6726.803678,9512.666982,12289.94136,15071.88269,17838.96503,20605.99473,23419.1474,26247.02998,29036.96345,31692.78017,34216.83739,36591.99489,38799.96831,40888.23043,43090.87897,43211.00776,43331.35205,43453.90207,43582.92394,43713.5773,43845.77249
Bury,672.4044243,1079.073573,1726.755912,2713.042944,4096.993276,5482.985416,7647.135438,12705.5299,17683.83404,22575.94229,27385.94637,32109.7735,36750.85198,41371.78368,45933.5039,50333.00325,54400.66719,58186.9362,61612.49808,64688.99714,67515.04525,70390.43836,69930.47216,69466.10777,69004.38762,68559.50045,68114.18125,67667.89175
Carlisle,426.5258578,758.4029265,1341.453336,2243.457828,3390.148022,4529.011158,6080.779697,9323.59105,12549.40918,15762.46703,18956.37983,22137.75478,25303.18749,28512.32923,31733.51834,34874.65471,37839.35096,40650.60621,43114.54805,45368.41006,47496.10549,49753.00642,49800.3087,49848.01794,49899.67518,49962.99057,50029.14382,50097.89171
Cheshire East,588.6053164,1007.360005,1733.862528,2784.976181,4153.457915,5533.092974,7505.47519,11702.56543,15905.18462,20098.13567,24280.38749,28455.36202,32637.27069,36914.77772,41215.47079,45439.57166,49388.1401,53069.45009,56456.41414,59627.95782,62649.97876,65772.67801,66059.40963,66346.94102,66642.753,66962.90971,67288.90876,67620.21175
Chorley,349.8829681,694.3753237,1330.20372,2204.362077,3326.911806,4448.636602,6014.610836,9272.152855,12515.12456,15737.99871,18928.50048,22112.97351,25288.16661,28540.312,31818.78311,35009.57223,37977.79213,40667.50874,43149.3981,45454.79449,47638.27364,49939.03688,50100.36611,50260.33996,50421.87989,50591.04952,50760.79037,50930.93826
Copeland,181.2229364,317.1188105,556.4014046,973.7539955,1544.846259,2096.957516,2937.098177,4990.463634,7031.038099,9054.219844,11065.73428,13056.89971,15042.98185,17039.68264,19035.46644,20985.58562,22861.96901,24701.92025,26338.80931,27847.46388,29263.22979,30786.11363,30743.72545,30701.47542,30660.5974,30623.79859,30587.99912,30553.1247
Craven,50.399487,103.6392207,205.4745725,370.8202833,580.7132313,786.8275271,1049.825723,1596.304305,2142.114416,2684.616913,3223.97986,3762.05973,4300.77397,4852.137641,5404.172922,5943.33487,6450.234567,6930.233124,7339.019777,7717.006115,8073.088154,8472.607343,8502.046258,8531.491949,8560.962587,8590.445501,8619.929471,8649.415592
Derbyshire Dales,0.036854311,0.068773153,0.12249083,0.210953218,0.323160688,0.435620775,0.612692284,1.027093369,1.442440896,1.85786612,2.271863068,2.68655279,3.101455892,3.522060577,3.944222329,4.357677656,4.749505577,5.1291641,5.47040684,5.796182392,6.108036874,6.433590151,6.451016016,6.468470244,6.486214509,6.504828598,6.523644477,6.542637467
Eden,276.128591,477.9283322,867.348579,1622.979563,2484.082878,3334.813118,4326.78578,5989.340192,7643.115241,9291.248783,10930.87955,12559.94049,14195.26661,15852.34525,17509.60273,19104.83112,20574.84278,21993.38064,22955.6167,23841.80673,24680.81165,25597.7103,25649.26704,25700.95207,25753.65854,25809.17249,25865.37942,25922.23474
Fylde,462.8515289,800.4067474,1346.862392,2072.68655,2988.717432,3913.56043,5172.27825,7684.643617,10190.32724,12692.66105,15186.64027,17676.03263,20171.49967,22733.35343,25312.01986,27816.41966,30089.81848,32180.38256,34115.43479,35931.61259,37657.47597,39426.33985,39624.47965,39823.23499,40028.55634,40252.54115,40480.8991,40713.13613
High Peak,256.1901478,475.6345541,851.4900288,1410.255727,2181.66375,2948.569341,4071.007824,6606.792675,9121.139009,11606.04208,14048.89277,16467.81271,18858.70253,21262.80174,23661.34909,25982.59941,28145.81135,30161.54565,31997.06155,33664.71985,35211.36357,36848.23797,36757.61604,36665.34259,36572.96228,36483.58714,36393.37775,36302.19827
Hyndburn,150.9452356,272.0457919,472.5733342,797.9678003,1302.585262,1805.241189,2678.844376,4966.505146,7217.905419,9435.757946,11618.37294,13760.8701,15867.88572,17955.60962,20032.11352,22049.38428,23940.5655,25740.30211,27389.74013,28896.14452,30279.52067,31719.66492,31511.64126,31302.18916,31092.61596,30885.75608,30678.32711,30470.24766
Lancaster,581.8063046,972.0891972,1638.761633,2624.956278,3923.185254,5230.504228,7110.73486,11228.87919,15359.1138,19483.94735,23585.29393,27677.20597,31781.4673,35955.27225,40132.19383,44213.96499,48036.43893,51672.87151,54988.96969,58080.80561,61016.78013,64086.92597,64290.36495,64494.35926,64704.71258,64931.01955,65161.27168,65395.19312
Manchester,4253.123748,5656.285594,7977.609713,11128.00108,15353.54379,19475.61276,24864.54775,35708.1957,46012.37479,55769.57146,64936.23589,73543.93647,81621.13432,89291.08653,96465.19348,102848.5054,108036.8041,112303.7838,115534.6699,117650.1549,118994.3637,120124.4681,116290.2644,112443.614,108620.7017,104832.6396,101038.6502,97238.00658
Northumberland,0.007651926,0.012387766,0.022492997,0.051536006,0.082708383,0.113594562,0.150096804,0.209298041,0.268458533,0.327580394,0.386626869,0.44563255,0.50459069,0.563645533,0.622417362,0.678677179,0.731621789,0.78677054,0.817170863,0.846021268,0.873758416,0.903663855,0.903652328,0.903641077,0.903630239,0.903619686,0.903609223,0.903598862
Oldham,665.7196734,1110.050523,1895.039703,3110.488868,4827.602979,6543.009192,9054.451603,14631.16999,20005.90037,25169.74759,30119.66024,34860.22781,39398.8496,43790.59756,48021.74036,51959.32315,55426.34502,58442.46178,60959.49164,63007.32734,64700.51195,66365.2343,64925.25926,63465.78307,61991.34528,60510.88033,59012.77067,57496.51158
Pendle,122.7838872,246.6309833,462.2965723,810.4738996,1324.899262,1851.265201,2732.760281,4956.869106,7186.608642,9413.317534,11642.4173,13865.21628,16091.87388,18345.7515,20610.85119,22845.29432,24984.38239,27043.5761,28980.80422,30809.07049,32538.29021,34366.69975,34455.03303,34543.47702,34633.03723,34725.9833,34819.7762,34914.36216
Preston,597.4547835,954.8821703,1552.343535,2418.241162,3611.71596,4800.758429,6523.55285,10348.78912,14161.57487,17944.03297,21689.04856,25406.10935,29107.95378,32830.84356,36554.23283,40172.85702,43546.77738,46754.79308,49687.67317,52354.76573,54846.2091,57437.24047,57403.54275,57369.57663,57341.20297,57329.56962,57321.47349,57316.71785
Ribble Valley,178.3229723,399.3940094,807.5796859,1358.522379,2033.862208,2701.505192,3583.95963,5339.240285,7086.313357,8821.170437,10538.46474,12248.39595,13960.46099,15721.02229,17498.28629,19230.10438,20832.99931,22278.14441,23578.41643,24800.07542,25958.44724,27202.89951,27321.50982,27440.11517,27559.38247,27680.72867,27802.50402,27924.66631
Richmondshire,0.107318777,0.196848778,0.370003059,0.743278996,1.223190514,1.690362801,2.377448777,3.997501099,5.614378536,7.229202146,8.842194244,10.45381926,12.064761,13.68889501,15.31573535,16.91038007,18.45017752,19.97420545,21.2559968,22.46449613,23.61970715,24.87915216,24.91011805,24.94109383,24.97208771,25.00309262,25.0340954,25.06509687
Rochdale,710.3194553,1250.740031,2211.77002,3649.770121,5657.745545,7724.260379,10673.44552,16926.87232,23162.49291,29363.57393,35518.41342,41634.60681,47728.76956,53911.30379,60144.33456,66221.05342,71870.77533,77071.44188,81856.82445,86224.40839,90297.94409,94523.67249,94680.17827,94831.41301,94985.27431,95158.42545,95331.98132,95505.73574
Rossendale,170.9018083,323.4857203,597.4818337,1013.25386,1605.68142,2208.229376,3129.754016,5259.954674,7366.1805,9447.112035,11500.80982,13525.7406,15531.5125,17547.84816,19557.33801,21515.18851,23333.54723,25012.71463,26559.54784,27972.39618,29288.42478,30655.66003,30589.51484,30521.35207,30452.77243,30387.22546,30320.66764,30252.98172
Salford,2028.679404,2784.285253,4150.525669,5939.746171,8263.245387,10550.58561,13595.46893,19735.16783,25691.88562,31456.7781,37016.09507,42390.0316,47585.19092,52724.28233,57722.38739,62414.12172,66546.12222,70163.38384,73293.49746,75907.1805,78166.51032,80433.08479,79314.31095,78184.57032,77061.11797,75957.20933,74847.2881,73730.73042
Sefton,0.004833222,0.010752299,0.021186222,0.037624145,0.058824076,0.078742674,0.107247038,0.176448801,0.24515773,0.313407189,0.381198797,0.448719426,0.516068344,0.584047606,0.652009015,0.718556546,0.782425909,0.844736041,0.899490156,0.950325317,0.999100842,1.052793141,1.052619839,1.052446823,1.052274174,1.052101796,1.051929544,1.05175742
South Lakeland,388.3689593,678.5219442,1213.956395,2122.980486,3288.948533,4438.290296,6059.78366,9620.532344,13167.81858,16706.09714,20237.36781,23764.03568,27285.63702,30862.16833,34456.94525,37974.1092,41322.19568,44534.92825,47332.55363,49958.89812,52448.26089,55124.65755,55267.19072,55410.00522,55555.62379,55709.24333,55864.76056,56021.98441
South Ribble,300.5057523,562.2728634,1023.212975,1703.51004,2608.032542,3497.775909,4880.840657,8086.70221,11291.61476,14492.68671,17678.30081,20864.47177,24043.60623,27274.80206,30516.64303,33708.88585,36748.41111,39618.78076,42280.78036,44771.71767,47149.4992,49634.94538,49763.74705,49892.67791,50025.2294,50169.20849,50315.77113,50464.68086
St. Helens,140.5502335,266.6834338,495.7727104,827.2677668,1290.920585,1755.061124,2443.343853,3989.260805,5536.523648,7083.649021,8623.400281,10168.30597,11712.1001,13285.69445,14880.90511,16451.51983,17949.27155,19355.06077,20676.42359,21896.7007,23052.93351,24270.2584,24373.3947,24476.68763,24581.57921,24691.2713,24802.12341,24914.03366
Staffordshire Moorlands,0.028788089,0.050457078,0.089700361,0.147317046,0.224204738,0.302279962,0.409253316,0.630041793,0.851143656,1.071668075,1.291584838,1.51108061,1.730950858,1.956179255,2.182884256,2.40552649,2.613679443,2.807175729,2.984421703,3.148128594,3.302734619,3.464792456,3.481146898,3.49753041,3.514222915,3.531775891,3.549539632,3.567498763
Stockport,1209.972211,1898.849908,2999.698633,4650.442542,6866.291696,9072.396505,12499.5504,20336.40091,28030.38329,35574.89572,42949.87922,50168.19627,57249.82902,64259.79718,71141.14197,77739.87789,83776.05938,89358.87096,94337.74092,98833.76311,102950.9124,107058.5691,106165.5993,105262.7331,104363.1485,103493.9626,102622.0986,101746.32
Tameside,790.4096918,1311.205536,2184.811081,3513.875882,5394.302695,7275.032105,10023.41189,16097.93516,22032.42955,27791.34253,33382.66423,38804.989,44068.87568,49260.19508,54334.20805,59143.41744,63470.67938,67356.39732,70764.39253,73667.54326,76204.35409,78762.27651,77764.26874,76758.2689,75750.11995,74751.56422,73748.08567,72739.25846
Trafford,1044.32596,1644.16594,2576.212869,3894.360113,5654.427433,7402.243629,9958.656602,15578.76919,21016.94049,26269.45223,31330.51682,36206.93614,40904.23631,45483.07872,49895.69723,54026.14772,57648.181,60864.42747,63630.87719,65974.67886,68004.58932,69953.22671,68736.24589,67507.55817,66275.26125,65054.55661,63825.49987,62587.22673
Warrington,46.03551191,79.05795801,137.502945,239.3828686,403.7673795,566.3359678,817.7916712,1439.756673,2063.635787,2688.737113,3314.646165,3942.295819,4570.228514,5205.641029,5847.27739,6481.225044,7091.755826,7678.9318,8227.26162,8729.356174,9204.598049,9716.809222,9750.18335,9783.596486,9817.409733,9852.440913,9887.810608,9923.522271
West Lancashire,318.5583426,574.0277951,1014.893437,1650.442086,2474.569559,3259.002896,4332.467166,6686.602227,8956.659644,11138.30808,13228.21459,15229.95756,17162.73403,19051.9151,20874.19566,22576.49176,24095.228,25448.61111,26573.4382,27511.93997,28322.73489,29164.72668,28633.76556,28100.38393,27565.89036,27032.89247,26497.75281,25960.24918
Wigan,1006.482264,1772.481099,3128.977911,5109.071702,7891.810888,10675.53493,14795.25096,24072.66399,33288.9424,42435.49979,51498.90225,60512.40701,69472.8603,78519.78809,87624.55914,96529.91522,104923.7646,112772.2701,120035.7495,126644.6887,132817.0485,139276.0953,139323.5425,139369.016,139423.8177,139512.3203,139606.4749,139705.5832
Wyre,432.4504445,798.272795,1445.119852,2364.921115,3524.650223,4688.268296,6322.402269,9746.52097,13161.93682,16573.25386,19982.43551,23386.85153,26808.00021,30304.10915,33831.09566,37278.47374,40482.73831,43450.4446,46139.27109,48668.49311,51079.49201,53607.58059,53851.72462,54096.3911,54346.35037,54611.99704,54881.29892,55153.83786
