Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,290.5207113,565.9691878,998.3516398,1506.219632,2386.630345,3290.585701,4007.05505,4551.827046,4939.377608,5236.471487,5517.129324,6409.222191,9333.83775,12308.87011,15290.29378,18187.05502,20965.63536,23615.95522,26215.4529,28504.13887,30636.83129,32962.82496,35437.64473,38064.0451,40763.08007,43484.23494,46195.39282,46263.7049
Barrow-in-Furness,153.1017893,278.9118543,454.11906,674.1666243,1069.116353,1460.312477,1740.645576,1917.01873,2014.538228,2079.994139,2132.266096,2665.315036,4735.360447,6804.934898,8876.891244,10906.44808,12874.92761,14811.63656,16708.84303,18454.57255,20125.21203,21910.70779,23785.89914,25736.13453,27714.51657,29700.7186,31663.45737,31646.03883
Blackburn with Darwen,356.1034344,631.676773,1071.125843,1612.904412,2486.040513,3353.625755,4039.65371,4546.346103,4906.170294,5226.838934,5515.746099,6625.039248,10385.15536,14139.88124,17897.85309,21565.2233,25040.04316,28357.11225,31577.94227,34520.0826,37322.02556,40282.78953,43376.15665,46574.90571,49795.85249,53008.14029,56151.45072,56049.12327
Blackpool,692.5703839,1092.108763,1615.304166,2259.804102,3196.987802,4146.641812,4962.414481,5543.501871,5908.782886,6204.420782,6489.317297,7728.485284,12083.18549,16467.25593,20866.83103,25161.69299,29203.59644,33109.67589,36915.77687,40480.77613,43930.6319,47530.05644,51341.05237,55373.89196,59502.52379,63678.44822,67747.97186,67934.17327
Bolton,975.2210601,1557.409133,2440.820504,3590.893661,5465.707822,7351.921143,8885.948525,9988.143982,10750.02774,11421.25016,12039.06927,14298.54061,21773.11705,29222.86697,36659.00758,43836.63579,50599.96782,56960.66438,63081.16813,68567.0075,73728.35749,79152.66613,84846.22199,90761.97912,96704.10779,102605.0014,108307.2871,107897.0746
Burnley,217.8587381,414.470537,732.5819508,1140.319414,1776.466397,2428.338205,2960.591615,3380.966021,3718.498029,4023.292066,4328.967585,5216.343538,7990.222543,10809.96966,13644.69543,16435.53854,19099.54884,21628.46672,24111.14078,26406.38425,28617.80975,30966.93199,33428.34093,35978.25477,38558.6249,41150.44564,43713.42523,43845.68153
Bury,672.4044243,1084.681077,1683.40458,2450.418819,3638.368035,4845.316511,5865.36718,6637.129063,7193.925407,7669.257389,8133.693771,9722.734993,14909.43416,20127.18893,25335.54554,30408.52824,35191.34071,39715.27182,44110.82487,48143.16773,52000.14448,56034.64229,60250.44125,64643.85341,69091.32782,73540.44915,77862.16463,77834.13247
Carlisle,426.5258578,758.3339124,1266.372615,1869.946581,2811.364435,3768.597656,4560.477566,5151.669113,5567.220969,5907.160103,6212.829138,7184.206263,10351.45227,13562.1281,16784.79426,19913.85326,22886.79252,25697.77815,28454.36766,30910.10182,33237.16259,35738.62869,38410.74242,41252.44252,44169.61978,47116.72274,50028.96927,50097.78728
Cheshire East,588.6053164,1007.318422,1671.517742,2474.326499,3624.760999,4794.078276,5819.271101,6672.252783,7366.099818,7985.919836,8582.976651,10024.01007,14214.27467,18499.85744,22808.40895,27027.18234,30986.7852,34673.61198,38306.4675,41681.25902,44939.94581,48368.35873,51961.98282,55729.57613,59579.068,63467.78535,67288.58365,67620.01728
Chorley,349.8829681,695.3397446,1292.453182,2007.644083,3007.015613,4016.919478,4907.229374,5680.826525,6359.116861,6994.733974,7603.112939,8852.082916,12116.60814,15467.38356,18852.7713,22149.37781,25237.44106,28043.57388,30801.48661,33343.68702,35790.03325,38389.53434,41094.19908,43891.85744,46726.85982,49574.48455,52387.11651,52632.04724
Copeland,181.2229364,316.9772736,512.2046711,756.0997221,1221.223592,1684.805404,2022.25508,2249.001595,2383.722138,2474.597829,2549.311594,3078.704156,5083.641823,7091.209418,9098.831889,11057.45711,12954.33151,14809.86669,16623.81713,18245.48166,19778.6895,21431.72262,23176.33284,25003.56272,26865.07471,28735.44522,30587.91807,30553.07628
Craven,50.399487,103.6027834,190.1661386,295.1354302,478.7714088,667.3289853,815.2893064,939.4251894,1039.48796,1124.582219,1203.34794,1388.758348,1927.661085,2479.231472,3031.31852,3567.752897,4076.871924,4556.994444,5025.923922,5432.817329,5810.697292,6234.564219,6683.032756,7155.648361,7641.275665,8130.772472,8619.929471,8649.415592
Derbyshire Dales,0.036854311,0.06875677,0.114304454,0.170386342,0.263191912,0.359561963,0.440642534,0.503721245,0.549549179,0.587442282,0.621860141,0.746522278,1.161424927,1.582035014,2.004098695,2.415529828,2.808245402,3.187655265,3.561006604,3.906188672,4.236293437,4.585825828,4.952182659,5.337586909,5.732324723,6.130374601,6.52363933,6.542634385
Eden,276.128591,477.8742572,763.3235303,1105.401947,1774.422325,2489.185584,3097.62692,3580.697502,3894.350344,4122.622831,4321.273342,4829.531225,6465.386821,8123.059552,9780.01123,11357.5352,12840.79535,14259.38265,15637.77426,16752.32192,17736.77345,18830.61347,20042.07455,21417.8561,22883.64241,24377.77477,25865.32633,25922.20297
Fylde,462.8515289,800.3478562,1319.473684,1936.847541,2760.186487,3596.420321,4355.517253,4996.954512,5506.845239,5962.776269,6399.59439,7309.384296,9806.842297,12370.64177,14950.66755,17444.71685,19722.1952,21812.20718,23852.34506,25750.61961,27577.79669,29511.32492,31560.7638,33741.54427,35986.64435,38263.2306,40480.77093,40713.05944
High Peak,256.1901478,477.743657,825.9701389,1265.295437,1949.917677,2642.97609,3218.203964,3664.879777,4020.253281,4338.309872,4633.56144,5472.606482,8040.810508,10638.81383,13247.46844,15783.23105,18176.72004,20425.92103,22617.73801,24608.68957,26505.42516,28533.01724,30660.64768,32873.2136,35112.42483,37353.17525,39551.87404,39596.64054
Hyndburn,150.9452356,273.086996,454.8287597,700.9107297,1135.605875,1573.956742,1908.954013,2149.29481,2325.711288,2485.578827,2643.759355,3325.832448,5661.458734,7998.594539,10346.41121,12649.10965,14845.81649,16964.23374,19018.69491,20920.59264,22739.164,24656.91512,26644.39857,28681.25211,30723.94355,32757.78796,34751.19297,34711.36787
Lancaster,581.8063046,971.9438478,1577.26676,2320.356349,3435.774278,4575.733965,5545.06783,6307.515154,6896.909281,7409.163305,7880.75309,9194.640166,13299.22844,17473.20309,21649.77245,25713.76412,29542.16225,33175.47861,36726.36646,39984.78694,43108.61397,46438.14166,49969.31689,53698.75018,57516.55159,61370.7996,65161.04778,65395.05913
Manchester,4253.123748,5714.76215,8011.384265,10819.26367,14860.28985,18925.4797,22345.99348,24704.97397,26173.11695,27347.10577,28377.70387,31747.7876,42983.32046,54088.58225,64970.19673,75215.77475,84418.53399,92809.4023,100637.0845,107272.6896,113303.7944,119620.5435,126484.8683,133868.4625,141337.796,148692.562,155538.5896,153994.4888
Northumberland,0.007651926,0.012385434,0.016701033,0.022714269,0.044023806,0.068383276,0.08921308,0.104102952,0.110667399,0.112933483,0.113978618,0.127559036,0.186555764,0.245654934,0.304419958,0.359749193,0.413473584,0.46866218,0.522358426,0.56359154,0.59814772,0.636217302,0.679547295,0.731272893,0.787732963,0.845580334,0.903609223,0.903598862
Oldham,665.7196734,1120.656365,1856.434087,2828.51609,4356.180921,5926.965821,7261.892947,8293.602909,9089.877274,9803.04999,10492.75247,12416.61978,18251.67224,24065.13159,29846.28554,35426.13658,40615.12092,45400.32419,49967.34774,54054.77996,57883.79944,61867.92766,66010.3035,70275.1923,74523.15532,78705.10545,82716.67955,82261.86307
Pendle,122.7838872,246.6144948,439.9860635,699.2826825,1131.761683,1577.948867,1935.356019,2211.583786,2436.551512,2640.897416,2843.746824,3528.6939,5757.47415,8013.346203,10280.51052,12512.17536,14654.7189,16714.42017,18737.83242,20632.8537,22457.2405,24395.39774,26417.24818,28502.3308,30608.99501,32723.79658,34819.70282,34914.31826
Preston,597.4547835,957.2342873,1511.732216,2195.86206,3228.981354,4266.323613,5138.245671,5786.607729,6258.844586,6654.493138,7017.778398,8188.751074,12015.08744,15873.55297,19742.83339,23501.87334,27033.96779,30399.07503,33668.96329,36641.64184,39483.709,42500.24712,45710.76859,49103.91857,52567.84554,56057.40335,59472.61333,59559.03726
Ribble Valley,178.3229723,399.4813102,779.0407831,1216.167585,1826.76201,2442.606031,2977.162245,3446.633575,3857.855264,4236.793656,4595.813941,5278.327157,7014.131866,8800.515402,10605.47598,12361.27683,13998.31238,15475.58275,16921.12867,18240.60542,19496.71992,20851.80752,22264.69544,23731.83298,25224.61879,26725.17564,28215.12822,28353.93561
Richmondshire,0.107318777,0.196731109,0.315237419,0.472295827,0.858321829,1.262778329,1.563516218,1.78703171,1.925289906,2.020071798,2.101616703,2.541324339,4.152472278,5.776873747,7.403454636,8.988357203,10.53551436,12.05971152,13.55797918,14.87396064,16.10289336,17.44562973,18.86269625,20.36402406,21.9114966,23.47275801,25.0340954,25.06509687
Rochdale,710.3194553,1253.585505,2149.820493,3314.495702,5064.114058,6884.259975,8500.468127,9828.347981,10928.90937,11951.8142,12953.28518,15226.98856,21592.22823,28072.45918,34631.70182,41039.30329,47044.414,52595.40022,58003.04954,62961.95156,67703.1842,72703.9799,77974.42165,83486.01106,89079.36277,94697.08983,100206.579,100612.2849
Rossendale,170.9018083,324.5186048,578.6820179,910.1541796,1425.039278,1954.888535,2405.259611,2783.644461,3100.614491,3396.633884,3686.355855,4422.83654,6587.334164,8777.897365,10976.77821,13132.4833,15161.64117,17055.59701,18906.1375,20614.69491,22259.81129,23990.85387,25789.49237,27641.41357,29505.98445,31368.82118,33196.49697,33255.50898
Salford,2028.679404,2808.084825,4148.977388,5730.413618,7896.842748,10068.95193,11955.64815,13408.78296,14495.78045,15431.72013,16298.48399,18412.94655,24633.52373,30897.88564,37108.81186,43059.22286,48493.08776,53411.81527,58112.12724,62270.22534,66155.12373,70235.6683,74573.27475,79157.71766,83808.96725,88445.47339,92888.69699,92575.61107
Sefton,0.004833222,0.010743105,0.019540547,0.029575015,0.047921086,0.065901393,0.078472062,0.087804302,0.094151936,0.098815047,0.102694942,0.121483934,0.188889462,0.256927324,0.324930425,0.391217021,0.455360257,0.517739727,0.578865208,0.632773615,0.684040371,0.740459885,0.799730146,0.86157702,0.924788937,0.988397088,1.051929544,1.05175742
South Lakeland,388.3689593,678.3118643,1121.617183,1665.995994,2630.929171,3620.991199,4420.384183,5048.041092,5500.306664,5869.265579,6212.045856,7300.472918,10823.29565,14400.73277,17995.56748,21496.09664,24855.29297,28067.95712,31227.26751,34063.75441,36734.38463,39627.86668,42680.23954,45901.65669,49209.46573,52548.50353,55864.68065,56021.93658
South Ribble,300.5057523,562.4132629,978.2955419,1478.01844,2214.091283,2938.851105,3549.269957,4042.384069,4447.578969,4818.269692,5170.116497,6210.425278,9409.715326,12662.245,15926.68434,19135.83018,22200.70605,25093.609,27953.17594,30617.74476,33202.17044,35927.24929,38753.96929,41674.55422,44635.56763,47614.12051,50554.99039,50715.01279
