Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,290.5207113,425.2350237,604.017786,823.1878992,1061.687024,1061.559618,1144.760983,1509.321812,1855.982415,2178.489398,2486.103912,2787.149155,3099.242028,3448.476099,3792.330485,4115.67833,4429.796138,4977.315001,5516.466684,6044.39022,6722.943585,7414.49059,7861.384959,8308.154861,8754.794582,9201.295533,9647.630473,10093.80546
Barrow-in-Furness,153.1017893,225.1290365,311.4743901,413.2643075,523.6375246,522.5398011,541.6989565,630.5773049,711.8817495,785.8661835,851.676885,914.6369795,977.9129342,1045.63555,1110.039188,1167.247151,1228.912154,1367.492842,1501.431681,1631.929379,1796.331516,1959.113398,2072.680491,2186.059319,2299.248704,2412.24722,2525.050902,2637.661182
Blackburn with Darwen,356.1034344,482.7272398,627.1524691,790.640624,968.7432221,971.5559707,1054.134095,1412.733068,1761.863535,2108.284971,2436.361299,2762.482352,3113.674833,3497.252505,3886.320156,4261.628449,4645.412873,5167.107725,5694.973386,6233.181669,6807.200147,7374.364154,7672.636977,7970.624806,8268.327658,8565.742183,8862.848091,9159.644975
Blackpool,692.5703839,956.1830622,1249.334673,1580.92864,1941.535877,1954.157829,2013.097995,2268.293727,2525.937953,2789.259329,3054.741075,3331.761566,3635.808464,3980.168362,4333.829615,4681.944415,5071.562055,5667.558681,6274.675409,6895.87994,7561.335056,8236.107815,8674.026732,9111.401441,9548.235123,9984.525817,10420.24583,10855.39557
Bolton,975.2210601,1290.138,1636.767839,2025.921145,2446.944202,2464.827624,2629.569809,3334.97939,4044.948516,4769.431226,5476.86772,6212.982923,7003.370669,7900.640361,8825.274502,9711.349754,10668.01992,11908.23043,13188.56249,14501.49342,15882.04239,17268.17732,18038.59598,18807.70334,19575.50485,20341.99172,21107.08649,21870.78616
Burnley,217.8587381,301.7648296,397.7411564,509.4882111,631.0488169,636.9359496,707.096386,1005.361918,1306.29187,1604.639627,1902.560979,2201.310888,2518.614233,2879.479425,3242.590511,3598.51846,3963.347236,4413.749452,4875.643124,5340.086068,5834.751314,6335.381074,6584.146947,6832.792836,7081.31927,7329.724007,7577.991036,7826.119788
Bury,672.4044243,924.1979899,1198.788094,1504.832133,1834.085415,1853.109672,1961.394455,2412.860607,2878.892281,3353.815437,3833.736031,4334.551517,4874.650738,5497.181772,6129.447524,6753.995718,7420.205887,8282.581756,9174.57027,10086.12169,11061.49184,12043.3958,12602.46905,13160.9586,13718.86899,14276.19443,14832.87901,15388.92051
Carlisle,426.5258578,583.5422243,772.9483353,997.1985337,1239.220994,1239.984204,1332.109317,1733.09355,2114.51606,2477.39854,2815.693472,3148.031351,3484.958058,3858.398055,4223.056943,4559.02203,4903.862117,5452.426958,6003.146966,6536.322709,7170.29795,7810.453676,8190.658238,8570.795314,8950.860809,9330.846767,9710.723846,10090.49456
Cheshire East,588.6053164,799.7758028,1037.642641,1305.979418,1596.70352,1611.92373,1751.988241,2343.05688,2942.355442,3539.873934,4126.10518,4724.451476,5363.369911,6085.3894,6811.50723,7525.690432,8263.591876,9193.085549,10154.34127,11135.99435,12206.3395,13272.0685,13836.5976,14400.90247,14964.98495,15528.83775,16092.40878,16655.69657
Chorley,349.8829681,480.5155061,632.2375916,808.1742384,999.3902635,1008.977448,1160.707153,1798.346163,2440.982062,3081.472963,3704.277567,4346.660242,5029.795532,5790.467293,6569.511917,7324.858578,8089.433462,8983.802266,9898.460375,10825.04891,11833.63511,12847.74288,13325.13945,13802.33221,14279.32175,14756.10193,15232.63354,15708.91563
