Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,290.5207113,512.0200829,993.4556395,1533.332201,2139.8175,2577.491865,3013.62703,3805.198583,4686.75713,5610.984729,6576.920394,7633.947366,8981.539195,10382.87788,11779.45394,13130.37692,14389.27565,15423.87531,16416.74697,17354.34238,18356.74618,19524.01283,20002.92715,20465.74463,20916.36319,21357.97591,21772.18812,21824.06575
Barrow-in-Furness,153.1017893,255.9289806,437.702348,637.0540266,857.1330253,993.7343329,1115.064191,1385.783664,1697.826381,2040.149109,2401.461059,2801.413293,3285.35466,3774.644022,4260.312091,4730.251742,5172.799355,5568.629591,5953.047109,6324.690495,6707.340764,7141.414524,7277.061714,7402.105764,7517.589543,7624.475622,7712.160222,7686.409146
Blackburn with Darwen,356.1034344,569.7876322,1002.986568,1468.425669,1980.119711,2393.687552,2755.085722,3229.203778,3734.512595,4290.368538,4865.264115,5494.545172,6258.873376,7056.278561,7860.808729,8636.512901,9324.203457,9837.428159,10340.73128,10833.58515,11311.59713,11839.92062,12120.66702,12383.0921,12626.47176,12850.8554,13038.90042,13063.69386
Blackpool,692.5703839,1029.458242,1545.225881,2117.684788,2757.681721,3209.913009,3484.295392,3783.179706,4101.732869,4453.192198,4834.496406,5304.039308,5986.637237,6718.338521,7466.442132,8202.177008,8861.936821,9370.588589,9875.598928,10376.57561,10869.60806,11423.70878,11900.37235,12368.26571,12825.44629,13270.53589,13697.94503,13865.33868
Bolton,975.2210601,1440.250906,2302.410537,3249.737168,4303.096589,5162.799786,5871.32937,6773.505902,7754.76679,8843.884932,9982.628021,11264.66329,12799.8423,14435.35712,16087.41806,17650.28354,19068.16116,20086.77835,21094.92602,22073.11635,22990.66009,24009.6444,24605.3258,25160.25295,25672.66945,26142.50012,26543.38412,26623.62866
Burnley,217.8587381,367.0533224,679.107286,1033.495295,1428.126344,1773.880639,2086.000237,2463.413249,2868.487874,3295.862056,3756.140996,4249.465221,4829.124755,5465.803259,6106.270444,6733.261547,7302.329471,7697.466625,8093.44116,8474.429042,8846.912791,9259.426126,9536.549674,9803.055201,10058.24559,10302.04138,10517.46152,10618.35223
Bury,672.4044243,1013.039535,1595.910785,2249.416451,2978.077585,3580.08569,4054.495557,4617.340296,5230.992218,5891.403348,6600.861159,7402.593414,8387.626937,9462.183249,10541.09522,11590.81363,12538.43595,13214.20898,13889.21707,14544.78167,15176.35557,15875.30441,16372.25627,16848.17301,17301.22232,17730.5533,18123.48111,18288.3955
Carlisle,426.5258578,687.8317298,1219.832536,1802.45836,2436.935161,2924.031503,3334.790284,3858.195781,4408.345419,4980.088483,5558.5623,6217.217436,7115.091645,8069.75599,9022.029055,9929.545573,10751.2714,11339.32973,11915.56881,12447.84711,13020.21371,13695.19534,14105.06235,14505.55442,14897.02649,15280.07089,15640.98821,15680.27704
Cheshire East,588.6053164,921.3946721,1580.04493,2318.925115,3144.568745,3864.599549,4489.080535,5212.925927,5980.786996,6773.555455,7585.340777,8474.483507,9571.408885,10779.30263,12001.23036,13200.94163,14285.47678,15022.38065,15770.53858,16503.69751,17237.70403,18041.79855,18643.1256,19234.49378,19815.27787,20385.19281,20937.48426,21234.54242
Chorley,349.8829681,608.3339026,1203.192996,1875.363871,2621.704391,3304.24149,3990.656323,4877.94211,5826.123729,6814.343588,7816.661027,8887.599446,10096.37081,11402.57554,12738.30614,14032.50466,15223.67558,16044.997,16860.99512,17650.34768,18436.1606,19302.05034,19781.95671,20247.95864,20701.45591,21143.68564,21565.9074,21817.39393
