Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,126.041221,210.7527761,255.7990776,320.1168843,408.0486767,496.3977842,642.4311407,1004.460043,1366.126336,1727.188505,2088.011624,2452.711311,2763.053394,3078.643917,3432.874529,3774.038395,4110.525864,4404.835371,4655.119362,4912.227128,5191.046296,5351.611723,5336.570162,5349.328831,5363.839273,5381.91518,5396.266308,5385.655392
Barrow-in-Furness,58.68086802,98.04959322,119.0532641,148.9404175,189.7109801,230.6031032,298.2612228,466.1117557,633.4707451,800.3831035,966.9284645,1135.046634,1277.693722,1422.609648,1585.357756,1741.927539,1896.306845,2031.191015,2145.790811,2263.276097,2390.584673,2462.756026,2454.15556,2458.216032,2462.955102,2469.209038,2473.637317,2466.523338
Blackburn with Darwen,107.9062905,178.8360558,215.0730597,266.8023545,337.2266058,406.8814237,522.4227076,810.5841497,1093.978304,1372.673388,1647.171617,1920.831015,2148.161287,2376.355697,2631.105051,2872.61638,3107.50305,3307.711414,3472.507157,3639.870192,3820.794085,3911.962588,3874.345282,3856.941993,3840.680408,3826.819322,3810.153702,3775.845838
Blackpool,165.6579851,275.7243104,332.9413395,415.0324278,527.4512818,640.0050043,826.5856031,1290.307237,1752.310927,2212.751288,2672.640047,3137.367416,3532.475898,3934.623567,4386.759045,4822.853225,5253.813735,5631.466747,5953.55382,6284.475956,6643.55871,6852.564927,6836.833504,6857.019701,6879.757038,6907.362783,6930.46986,6921.761495
Bolton,189.0884357,311.0387463,371.0626284,456.6511706,572.6026242,685.1784794,872.1507399,1341.216886,1793.683649,2229.697102,2649.957047,3059.722425,3387.221845,3708.267282,4062.30663,4386.981615,4692.736539,4937.794942,5122.739722,5304.811849,5499.341336,5558.413355,5432.420086,5334.590546,5237.740027,5143.473135,5044.733175,4922.325448
Burnley,75.06233259,125.6593357,152.6717175,191.2749364,244.0948498,297.2941622,385.2529012,603.2781233,821.708399,1040.376094,1259.619551,1482.083185,1672.116499,1866.082487,2084.321444,2295.614306,2505.057768,2689.741978,2848.250057,3011.439491,3188.502792,3293.628251,3290.807872,3305.136609,3320.588748,3338.29506,3353.737137,3353.676376
Bury,119.0630122,197.8380342,238.5501933,296.6421942,375.7732073,454.3689197,584.5582838,908.6097251,1228.384052,1543.777924,1855.433325,2166.944073,2426.739903,2688.434113,2980.754011,3258.477144,3529.076683,3760.454675,3951.635584,4145.817572,4355.407557,4463.515016,4424.211179,4407.758818,4392.400556,4379.580502,4363.343726,4326.682041
Carlisle,120.9941641,202.1967661,245.3122037,306.8831438,391.0113681,475.4661548,615.1183714,961.4075222,1306.892476,1651.493592,1995.273116,2342.196147,2636.659273,2935.777094,3271.484011,3594.284217,3912.482653,4190.46934,4426.598851,4668.907589,4931.61047,5081.419986,5064.581189,5074.109767,5085.270835,5099.781341,5110.73236,5098.027076
Cheshire East,121.7857633,204.734217,249.9349552,314.4357686,402.7979138,492.4214417,640.4990133,1006.210014,1374.574891,1745.42499,2119.188429,2499.700737,2826.893778,3161.896095,3538.982772,3905.646807,4270.236072,4593.314175,4872.594736,5160.672366,5473.541282,5663.335314,5667.675118,5701.402517,5736.977771,5776.372789,5811.780782,5820.214242
Chorley,79.35303556,132.6794445,160.8332426,201.1696379,256.4118418,311.8863393,403.6002862,630.9254261,857.7457095,1083.963907,1309.772767,1537.760799,1731.299276,1928.097202,2149.15873,2361.731589,2571.384936,2754.604828,2910.359404,3070.246438,3243.594829,3343.457001,3333.537786,3341.072939,3349.780011,3360.783823,3369.524906,3362.737025
