Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,126.041221,210.7469004,251.7099179,299.989869,374.8734373,452.0742163,513.8957036,575.1664943,635.0233563,694.6193979,753.4662931,890.9382821,1236.991701,1578.471887,1934.893216,2280.146012,2616.724473,2924.339572,3206.671041,3481.78305,3769.657467,4024.191836,4285.414051,4571.975366,4863.073335,5158.344322,5377.664732,5367.090394
Barrow-in-Furness,58.68086802,98.04685963,117.1500993,139.5759441,174.2870674,210.0124547,238.586132,266.9014725,294.4593834,321.8882177,348.9195162,412.3014779,572.0108535,729.395603,893.5654188,1052.413546,1207.172195,1348.49359,1478.124344,1604.208467,1736.005585,1851.891207,1970.755073,2100.993134,2233.014577,2366.635295,2465.110394,2458.020937
Blackburn with Darwen,107.9062905,179.4227184,213.044673,252.5424414,313.9925614,376.8475202,426.477949,475.3448767,522.6327672,569.4015844,615.2977629,724.9256733,1002.886151,1275.313453,1558.128591,1830.439142,2094.432497,2334.052566,2552.469406,2763.951353,2984.476091,3177.034096,3374.01526,3589.804158,3807.951499,4028.146759,4187.967363,4168.338138
Blackpool,165.6579851,275.7166233,327.6189971,388.9376968,484.5683526,582.858687,661.2051678,738.8462045,814.5354764,889.8970569,964.431503,1139.637072,1581.454553,2017.346876,2472.537299,2913.804365,3344.531437,3738.691614,4101.095405,4454.432031,4824.449498,5152.846892,5490.167181,5860.571699,6237.465611,6620.423101,6906.579701,6897.901356
Bolton,189.0884357,313.3814667,370.735485,437.9446306,542.7037746,649.0865864,731.8568769,812.6460791,890.0880454,966.0132651,1039.77733,1220.104447,1681.066518,2128.989608,2590.444555,3030.559716,3453.120146,3831.879796,4172.534352,4498.880898,4836.782855,5126.124857,5419.743421,5740.42972,6061.550063,6382.517238,6604.794717,6542.780147
Burnley,75.06233259,125.6560608,150.23168,179.2497014,224.2510405,270.7510998,308.174677,345.4457108,381.9588361,418.4056426,454.5381179,538.3612173,748.5900333,956.7714961,1174.799541,1386.932314,1594.697657,1785.700995,1962.012199,2134.506142,2315.441373,2476.672935,2642.610116,2824.840954,3010.579881,3199.618498,3342.176404,3342.115853
Bury,119.0630122,198.607086,236.5891123,281.307395,350.7566498,422.1567954,479.0275219,535.2336433,589.9038454,644.1774947,697.7137732,823.8728942,1142.210405,1455.725143,1782.413519,2098.25703,2405.684706,2686.027314,2942.749421,3192.224173,3452.786463,3682.370229,3917.537156,4175.305817,4436.612472,4701.096538,4895.785111,4880.886122
Carlisle,120.9941641,202.1918221,241.3923406,287.5911443,359.2262251,433.019004,492.0532036,550.5172234,607.489384,664.1773503,720.0012781,850.7940589,1180.406302,1505.221694,1843.927637,2171.544634,2490.651913,2782.023456,3049.255076,3309.318335,3581.259186,3821.018766,4066.999352,4336.75057,4610.511939,4887.930642,5093.115054,5080.453567
Cheshire East,121.7857633,204.7287424,245.9400993,294.6669558,370.051261,448.4554807,512.3520979,576.1696456,638.9505403,701.9535229,764.7165519,908.0070169,1265.57241,1621.156663,1994.699689,2359.659351,2718.394581,3049.469339,3356.478582,3657.880856,3974.800953,4258.595151,4551.300527,4872.886428,5201.37577,5536.415714,5791.746879,5800.151267
Chorley,79.35303556,132.8521153,158.6839474,189.2764999,236.8257201,285.9419179,325.4517939,364.6808683,403.0146323,441.2421263,479.0442629,566.9369839,787.7576389,1006.119865,1234.564179,1456.258207,1672.964928,1871.657983,2054.714335,2233.531604,2420.949601,2587.736596,2759.22172,2947.566845,3139.416948,3334.558175,3481.143443,3479.179868
Copeland,63.15231702,105.3132046,125.5098955,149.2172408,185.9830231,223.745363,253.7352735,283.3401902,312.0590913,340.5066822,368.4848609,434.6641078,602.0116043,766.4572163,937.5030346,1102.431103,1262.584543,1408.309646,1541.479304,1670.686116,1805.494435,1923.322141,2044.017022,2176.202999,2309.916576,2444.964521,2543.431922,2532.896397
Craven,29.52911239,49.48165511,59.19285003,70.70334061,88.54650069,107.0401954,121.9595841,136.8449188,151.4265083,166.022898,180.506114,213.9210286,297.6157212,380.5778748,467.4529722,552.028929,634.8688444,711.0033631,781.3009989,850.0555467,922.164138,986.551612,1052.775576,1125.506761,1199.652609,1275.130474,1332.099627,1332.231144
Derbyshire Dales,0.014329143,0.024013729,0.028748922,0.034349713,0.043039064,0.052047727,0.059331337,0.066599857,0.073737301,0.080881423,0.087980662,0.104315965,0.145201314,0.185749399,0.228260563,0.269672416,0.310284278,0.34767403,0.382251408,0.416133278,0.451702062,0.483466117,0.516188835,0.55213551,0.588811223,0.62617611,0.654482745,0.654875999
Eden,98.9441673,165.3101137,197.2092708,234.8735418,293.3793124,353.6900845,401.9362172,449.7588608,496.4486872,542.7366245,588.3949797,695.4566701,965.0451939,1230.737208,1507.95018,1776.287009,2037.766736,2276.479994,2495.514682,2708.671927,2931.694283,3128.989898,3331.358756,3553.415646,3778.99424,4007.820148,4177.657019,4168.956118
Fylde,71.60988053,120.301087,144.3011912,172.7378258,216.8254448,262.6268368,299.8174409,336.9530564,373.4795607,410.07509,446.4283766,529.7951081,738.0800847,944.9583587,1162.154835,1374.011394,1581.862425,1773.423261,1950.766216,2124.640186,2307.187644,2470.97816,2639.655339,2825.036227,3014.378326,3207.486173,3354.409641,3358.375612
High Peak,69.6859846,116.3626586,138.8003887,165.2295858,206.2647998,248.5146045,282.2358842,315.6240547,348.1332034,380.4169134,412.233675,486.9095715,675.157127,860.3723982,1053.186214,1239.439403,1420.558145,1585.530055,1736.393985,1882.878783,2035.751395,2170.274544,2307.94928,2458.81167,2611.622844,2766.167484,2879.522836,2869.554268
Hyndburn,71.43211624,118.8122409,141.0829523,167.2732113,208.066876,249.8025919,282.8059423,315.3205702,346.7958451,377.8918395,408.4489697,481.3251772,666.0810505,847.3266455,1035.643207,1217.103808,1393.128994,1553.070622,1698.95375,1840.290957,1987.70173,2116.835275,2248.930815,2393.690195,2540.157598,2688.129834,2795.936455,2783.999103
Lancaster,130.5335856,218.7918199,261.999901,313.2446751,392.844183,475.2949849,541.9892969,608.4973785,673.8211992,738.707968,802.5667441,950.2314873,1321.130537,1687.872377,2070.628612,2441.080585,2803.375857,3136.04034,3442.771605,3742.384146,4056.699971,4334.906756,4621.482442,4936.121114,5256.439895,5582.070694,5826.230315,5821.651787
Manchester,423.4336137,702.8418809,833.4083042,986.5581209,1224.963071,1467.80384,1658.12109,1844.734976,2024.623493,2204.686311,2379.928282,2800.061802,3867.918555,4909.743991,5984.201284,7008.784085,7993.815892,8878.438601,9674.728576,10436.84829,11224.92257,11905.44291,12593.99183,13345.68237,14098.59384,14851.29812,15374.36442,15235.306
