Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,126.041221,199.8568693,238.7298701,279.5997621,322.0643449,362.6198874,404.2877862,446.3308061,489.5038269,532.9503583,575.6844529,621.1674776,661.2926677,706.0961327,757.7364121,806.7623823,852.284648,884.5210777,912.1692354,942.9089643,978.0535,1003.689045,1031.659957,1064.631651,1098.16651,1132.56517,1166.100694,1174.96554
Barrow-in-Furness,58.68086802,92.98043472,111.1089631,130.0890623,149.7349361,168.4561736,187.6985125,207.1162882,226.9821946,246.970415,266.5912764,287.4590465,305.7955708,326.279751,349.9351018,372.365478,393.1840512,407.877052,420.4670626,434.4390569,450.4139576,461.8872543,474.4346918,489.2379352,504.2535151,519.6180283,534.5381471,538.1109101
Blackburn with Darwen,107.9062905,170.6322398,203.2045267,237.3865009,272.8403627,306.6079094,341.3007796,376.3146978,412.1932522,448.290931,483.8110643,521.6719393,555.008161,592.3077566,635.4120902,676.4281747,714.6176048,741.7777645,765.1937429,791.2256404,821.0087498,842.7206065,866.4816502,894.4730231,922.9696464,952.2251345,980.7881254,988.6262169
Blackpool,165.6579851,261.4693789,310.7245088,362.5018666,416.306341,467.5253395,520.1778719,573.3467184,627.8796343,682.7781615,736.8720104,794.5617553,845.4416462,902.4176096,968.2867904,1030.963692,1089.33624,1130.83705,1166.597076,1206.314073,1251.723733,1285.191211,1321.68924,1364.694607,1408.528181,1453.578929,1497.632855,1510.091278
Bolton,189.0884357,299.0992798,356.1738029,416.1706022,478.5167772,537.8972498,598.8243779,660.3132769,723.3315127,786.7544352,849.1441987,915.6068094,974.136705,1039.664213,1115.424642,1187.547084,1254.735396,1302.578311,1343.877978,1389.852969,1442.452648,1480.856563,1522.917916,1572.449642,1622.906676,1674.735825,1725.38495,1739.603878
Burnley,75.06233259,119.1630439,142.4847825,167.0665249,192.6608616,217.1767976,242.4455188,268.0679723,294.4320322,321.0246901,347.2889632,375.3486477,400.1943585,427.9915649,460.0710685,490.7250728,519.4036841,540.1185909,558.1137399,578.0500814,600.751012,617.7164499,636.1754098,657.7933709,679.8412797,702.5076734,724.7224248,731.6573167
Bury,119.0630122,188.9739698,225.8946526,264.8364357,305.4205997,344.3692665,384.5611862,425.2882206,467.2166376,509.5848181,551.5380673,596.3642052,636.1840367,680.8344855,732.379433,781.7094136,827.966248,861.5654272,890.8989745,923.3763656,960.3233056,988.1253462,1018.367737,1053.712293,1089.794564,1126.918034,1163.366533,1175.318381
Carlisle,120.9941641,191.7440811,228.9448676,268.0446892,308.6227943,347.3372159,387.1066893,427.2063206,468.2837159,509.595868,550.1155736,593.178686,631.042255,673.3292024,722.1127764,768.3369893,811.2219727,841.4749124,867.3907103,896.2034334,929.1727728,953.0148745,979.079344,1009.857129,1041.133755,1073.19319,1104.398526,1112.214893
Cheshire East,121.7857633,194.1497645,233.2577638,274.6389568,317.9219607,359.7178941,403.0743331,447.1104445,492.532571,538.5783234,584.2801913,633.0679012,676.5718431,725.1902672,781.1576232,834.8958313,885.3992815,922.3689111,954.7834695,990.5983802,1031.278841,1062.152471,1095.668808,1134.701897,1174.561081,1215.574458,1255.890873,1269.771396
Chorley,79.35303556,126.1305433,150.8438792,177.0148165,204.392042,230.6701664,257.7916645,285.2581977,313.505349,342.0353758,370.209543,400.2624903,426.9399357,456.796541,491.2701799,524.1642273,554.9585135,577.2387926,596.6549748,618.1781308,642.6923433,661.1505319,681.2301592,704.736407,728.7496485,753.4734199,777.7609619,785.6886119
Copeland,63.15231702,99.87130214,119.0376657,139.0750466,159.7832616,179.4716783,199.61652,219.872779,240.5488206,261.2555291,281.5401399,303.0504052,321.8338971,342.8584827,367.141804,390.0627145,411.2322233,425.9695344,438.4890064,452.4420084,468.4431323,479.7031163,492.0715918,506.7513287,521.6193237,536.8159792,551.5215018,554.5026753
Craven,29.52911239,46.92476455,56.14042354,65.89768275,76.07279658,85.8595828,95.94703733,106.1920392,116.7261874,127.381935,137.9153447,149.1470155,159.1046198,170.2434917,183.0623701,195.3191469,206.7810254,215.056236,222.2487826,230.205324,239.2593679,246.059603,253.4425827,262.0858656,270.9024167,279.967422,288.8544336,291.652566
