Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,126.041221,210.7469004,251.7099179,299.989869,374.8734373,452.0742163,513.8957036,575.1664943,635.0233563,694.6193979,753.4662931,890.9382821,1236.991701,1578.471887,1934.893216,2280.146012,2616.724473,2924.339572,3206.671041,3481.78305,3769.657467,4024.191836,4285.414051,4571.975366,4863.073335,5158.344322,5377.664732,5367.090394
Barrow-in-Furness,58.68086802,98.04685963,117.1500993,139.5759441,174.2870674,210.0124547,238.586132,266.9014725,294.4593834,321.8882177,348.9195162,412.3014779,572.0108535,729.395603,893.5654188,1052.413546,1207.172195,1348.49359,1478.124344,1604.208467,1736.005585,1851.891207,1970.755073,2100.993134,2233.014577,2366.635295,2465.110394,2458.020937
Blackburn with Darwen,107.9062905,178.8310699,211.6349391,250.0274348,309.8093538,370.5508095,417.8981496,464.1507116,508.5194215,552.0448752,594.3876354,697.7347385,961.710581,1218.397049,1482.986713,1735.5374,1978.209005,2195.966607,2392.030638,2579.93737,2774.601522,2941.634918,3111.206862,3296.459114,3482.115987,3667.848909,3797.019646,3762.830046
Blackpool,165.6579851,275.7166233,327.6189971,388.9376968,484.5683526,582.858687,661.2051678,738.8462045,814.5354764,889.8970569,964.431503,1139.637072,1581.454553,2017.346876,2472.537299,2913.804365,3344.531437,3738.691614,4101.095405,4454.432031,4824.449498,5152.846892,5490.167181,5860.571699,6237.465611,6620.423101,6906.579701,6897.901356
Bolton,189.0884357,311.0300747,365.1308857,427.9397045,526.0487932,623.9986034,697.653787,767.9977116,833.7669661,896.7121159,956.246263,1111.432817,1516.425749,1901.290248,2289.664091,2650.465519,2987.354648,3278.167725,3528.790528,3760.046817,3993.536553,4179.698155,4362.384202,4559.378818,4748.746665,4929.80743,5027.343376,4905.357603
Burnley,75.06233259,125.6558324,150.2311339,179.2487243,224.2494109,270.7486408,308.1728113,345.4446653,381.9588361,418.4056426,454.5381179,538.3612173,748.5900333,956.7714961,1174.799541,1386.932314,1594.697657,1785.700995,1962.012199,2134.506142,2315.441373,2476.672935,2642.610116,2824.840954,3010.579881,3199.618498,3342.176404,3342.115853
Bury,119.0630122,197.8325185,234.7367713,277.9911257,345.2220333,413.7981269,467.601851,520.2813929,570.9959194,620.8575898,669.5396007,787.1343936,1086.427474,1378.404838,1680.061611,1968.661388,2246.579058,2496.539709,2722.077438,2938.552508,3162.82955,3356.37965,3552.764449,3767.23237,3982.327757,4197.647762,4348.302758,4311.76745
Carlisle,120.9941641,202.1911289,241.3906854,287.5881863,359.2212987,433.011581,492.0475803,550.5140777,607.489384,664.1773503,720.0012781,850.7940589,1180.406302,1505.221694,1843.927637,2171.544634,2490.651913,2782.023456,3049.255076,3309.318335,3581.259186,3821.018766,4066.999352,4336.75057,4610.511939,4887.930642,5093.115054,5080.453567
Cheshire East,121.7857633,204.728509,245.9395384,294.6659476,370.0495728,448.4529231,512.3501497,576.16855,638.9505403,701.9535229,764.7165519,908.0070169,1265.57241,1621.156663,1994.699689,2359.659351,2718.394581,3049.469339,3356.478582,3657.880856,3974.800953,4258.595151,4551.300527,4872.886428,5201.37577,5536.415714,5791.746879,5800.151267
Chorley,79.35303556,132.6757454,158.2621904,188.5213067,235.5650048,284.0378763,322.849314,361.2758597,398.71024,435.9352523,472.6360812,558.5859041,775.0855776,988.5674707,1211.344199,1426.878135,1636.920947,1828.76299,2004.796116,2176.188464,2355.448357,2514.142106,2676.923423,2855.55509,3037.045858,3221.173053,3357.90975,3351.145268
Copeland,63.15231702,105.3132046,125.5098955,149.2172408,185.9830231,223.745363,253.7352735,283.3401902,312.0590913,340.5066822,368.4848609,434.6641078,602.0116043,766.4572163,937.5030346,1102.431103,1262.584543,1408.309646,1541.479304,1670.686116,1805.494435,1923.322141,2044.017022,2176.202999,2309.916576,2444.964521,2543.431922,2532.896397
Craven,29.52911239,49.48165511,59.19285003,70.70334061,88.54650069,107.0401954,121.9595841,136.8449188,151.4265083,166.022898,180.506114,213.9210286,297.6157212,380.5778748,467.4529722,552.028929,634.8688444,711.0033631,781.3009989,850.0555467,922.164138,986.551612,1052.775576,1125.506761,1199.652609,1275.130474,1332.099627,1332.231144
Derbyshire Dales,0.014329143,0.024013729,0.028748922,0.034349713,0.043039064,0.052047727,0.059331337,0.066599857,0.073737301,0.080881423,0.087980662,0.104315965,0.145201314,0.185749399,0.228260563,0.269672416,0.310284278,0.34767403,0.382251408,0.416133278,0.451702062,0.483466117,0.516188835,0.55213551,0.588811223,0.62617611,0.654482745,0.654875999
Eden,98.9441673,165.3101137,197.2092708,234.8735418,293.3793124,353.6900845,401.9362172,449.7588608,496.4486872,542.7366245,588.3949797,695.4566701,965.0451939,1230.737208,1507.95018,1776.287009,2037.766736,2276.479994,2495.514682,2708.671927,2931.694283,3128.989898,3331.358756,3553.415646,3778.99424,4007.820148,4177.657019,4168.956118
Fylde,71.60988053,120.301087,144.3011912,172.7378258,216.8254448,262.6268368,299.8174409,336.9530564,373.4795607,410.07509,446.4283766,529.7951081,738.0800847,944.9583587,1162.154835,1374.011394,1581.862425,1773.423261,1950.766216,2124.640186,2307.187644,2470.97816,2639.655339,2825.036227,3014.378326,3207.486173,3354.409641,3358.375612
High Peak,69.6859846,115.9184491,137.7366024,163.3228172,203.0789069,243.6981283,275.6466729,306.9941218,337.2125413,366.9398974,395.9438277,465.6624439,642.8918742,815.65551,994.0065836,1164.526223,1328.612886,1476.06169,1608.953632,1736.428686,1868.410619,1982.203925,2097.579996,2223.556346,2349.824026,2476.14557,2564.255212,2541.954367
Hyndburn,71.43211624,118.4062458,140.1155867,165.5471222,205.1946264,245.4777622,276.9155146,307.6369634,337.1096841,365.9780216,394.092679,462.6525926,637.7957366,808.2124814,983.9809799,1151.827791,1313.154709,1458.012359,1588.46494,1713.518721,1843.061194,1954.524471,2067.639588,2191.24087,2315.179292,2439.236745,2525.738046,2503.597629
Lancaster,130.5335856,218.7908932,261.9976815,313.2406944,392.8375262,475.284917,541.9816427,608.4930816,673.8211992,738.707968,802.5667441,950.2314873,1321.130537,1687.872377,2070.628612,2441.080585,2803.375857,3136.04034,3442.771605,3742.384146,4056.699971,4334.906756,4621.482442,4936.121114,5256.439895,5582.070694,5826.230315,5821.651787
Manchester,423.4336137,696.6751563,818.6467086,960.0991426,1180.741688,1400.931607,1571.239913,1735.214066,1890.027302,2038.449924,2178.89586,2537.726852,3469.28186,4356.937979,5252.41197,6082.601939,6857.292183,7525.544962,8100.03693,8627.816976,9158.549259,9583.407612,9997.224539,10442.36578,10868.40306,11273.64577,11486.10936,11195.7991
