Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,126.041221,203.1007942,242.6274971,284.4378515,329.1210914,371.2670304,417.9284932,482.0043661,551.9525496,626.3931935,703.8064025,790.5434545,879.0241266,971.0683555,1072.619081,1168.921362,1257.587282,1320.766072,1376.018328,1436.766236,1509.267442,1576.591825,1630.919138,1664.916706,1696.070431,1726.746668,1752.665761,1749.219417
Barrow-in-Furness,58.68086802,94.48962245,112.9229853,132.3400747,153.0157758,172.4732303,194.0314775,223.6703221,255.9395742,290.2720385,325.9227276,365.8415417,406.4791547,448.7206864,495.3530824,539.5218856,580.162113,609.0416447,634.2796508,661.9805221,695.049015,725.5311521,750.0190475,765.091298,778.7976315,792.2269931,803.4183608,801.1077948
Blackburn with Darwen,107.9062905,172.9130845,205.3574058,239.4501844,275.670571,309.4869265,346.8355259,398.3512744,454.2643755,513.4743975,574.7443635,643.2378735,712.6653497,784.5667366,863.757464,938.378246,1006.575854,1054.165347,1095.293106,1140.551242,1194.902358,1244.69364,1284.064035,1307.252213,1328.080721,1348.415027,1364.924623,1358.527149
Blackpool,165.6579851,265.7133511,315.7975574,368.774463,425.4280223,478.6740895,537.728721,619.1721875,707.9817276,802.4904878,900.8671957,1011.217775,1123.804393,1241.06215,1370.665143,1493.767569,1607.368389,1688.564859,1759.825803,1838.132201,1931.577237,2018.774606,2089.417409,2134.168045,2175.410539,2216.174962,2250.963266,2248.134856
Bolton,189.0884357,302.0116767,357.3582779,415.2407886,476.4681646,533.0639102,595.1866101,681.018387,773.6508605,871.1304866,971.2470865,1082.617734,1194.59009,1309.744224,1436.027702,1553.622432,1659.555687,1730.652922,1790.481052,1856.474134,1936.515175,2008.305487,2062.615925,2090.417505,2114.057329,2136.536394,2152.606779,2132.395253
Burnley,75.06233259,121.0971345,144.8108871,169.9570726,196.8817736,222.3549877,250.6247425,289.4924208,331.9927549,377.3094265,424.5801577,477.6963175,531.9588642,588.6012483,651.2568209,711.0135934,766.4052952,806.5045907,841.9213291,880.8091459,927.0392094,970.307198,1005.709918,1028.685528,1049.9853,1071.066652,1089.268008,1089.248273
Bury,119.0630122,191.4014242,228.0522938,266.7239107,307.9476963,346.697277,389.5717536,448.5396064,512.7353636,580.9057439,651.7284519,731.0352882,811.6711717,895.5551455,988.091092,1075.675616,1156.162417,1213.13331,1262.766615,1317.279062,1382.400985,1442.67347,1490.914587,1520.466724,1547.33575,1573.683779,1595.613592,1590.757776
Carlisle,120.9941641,194.8561026,232.6822077,272.6818991,315.3835816,355.6178918,400.1649605,461.3476409,528.0204438,598.941194,672.5470192,754.9228581,838.8137269,926.0051868,1022.191794,1113.24665,1196.997316,1256.489577,1308.469381,1365.598252,1433.837939,1496.992986,1547.796082,1579.257957,1607.985821,1636.226166,1659.926533,1655.799954
Cheshire East,121.7857633,197.3009809,237.0658701,279.3908877,324.8874494,368.2951352,416.6731474,482.8450327,555.3659977,633.0069535,714.3151728,805.6888094,899.3339902,997.327825,1105.773141,1209.684033,1306.449528,1377.280423,1440.302415,1509.433423,1591.401267,1668.426004,1732.108739,1774.495567,1814.058525,1853.3054,1887.621664,1890.360787
Chorley,79.35303556,128.032109,152.9581723,179.4640637,207.9217456,234.8304834,264.6754523,305.6119793,350.2941295,397.9028882,447.4711377,503.0520416,559.791929,618.9601289,684.3876884,746.5536497,804.0202317,845.3267146,881.70085,921.6722433,969.2818097,1013.819552,1050.089316,1073.377017,1094.919178,1116.237471,1134.559558,1133.919598
Copeland,63.15231702,101.4923372,120.981136,141.4815491,163.28427,183.751414,206.3515997,237.4463918,271.2369701,307.061779,344.1985484,385.6842524,427.7981204,471.5208136,519.71015,565.163485,606.7930653,636.0573229,661.4659712,689.4126855,722.8704443,753.5162559,777.900674,792.4794947,805.6183677,818.4475633,828.9445822,825.5108885
Craven,29.52911239,47.68641167,57.05700104,67.03795152,77.73962637,87.90701628,99.18429916,114.6795736,131.6175957,149.7159647,168.6092131,189.8154702,211.4900199,234.1296883,259.1352192,282.9987221,305.1154192,321.1217767,335.2649773,350.7774868,369.2092244,386.5097068,400.6594959,409.8611342,418.397005,426.8476782,434.1522804,434.195144
Derbyshire Dales,0.014329143,0.023142487,0.027711578,0.032568962,0.037786256,0.04274432,0.048251535,0.055812399,0.06409133,0.07293717,0.082181982,0.092561185,0.103182146,0.114272142,0.126537544,0.138248097,0.149121379,0.157025561,0.164028345,0.171718408,0.180849115,0.189411628,0.196448287,0.201063995,0.205356826,0.209611349,0.21330625,0.213434418
Eden,98.9441673,159.3124991,190.0933907,222.6972725,257.5731164,290.4688271,326.8768282,376.9095327,431.5055753,489.4284964,549.6147043,617.0895665,685.7750203,757.1436439,835.9407761,910.6170477,979.3425168,1028.162929,1070.853198,1117.740052,1173.76997,1225.870956,1267.830059,1294.001083,1317.981438,1341.61073,1361.564319,1358.728558
Fylde,71.60988053,115.9364444,139.0943874,163.7827844,190.3624529,215.6829173,243.8281745,282.3753573,324.6226989,369.7971091,417.0049181,470.095475,524.4903433,581.3338626,644.2471558,704.3896583,760.2367343,800.9594022,837.0955522,876.7379351,923.7346428,968.0761075,1004.585405,1028.756638,1051.310066,1073.700342,1093.255013,1094.547585
High Peak,69.6859846,112.1409062,133.7920698,156.6637852,181.0907076,204.0932128,229.5298773,264.5011034,302.5920344,343.0519879,385.0639404,432.0424684,479.7763829,529.2969844,583.8397801,635.4010608,682.7145447,716.0981997,745.1060356,776.974505,815.0590146,850.2668969,878.3465504,895.3934126,910.8429951,925.969689,938.4819124,935.2329989
Hyndburn,71.43211624,114.5016151,135.9922719,158.6014654,182.672845,205.1509755,229.9934802,264.2467756,301.4296231,340.7749292,381.5286797,427.0873482,473.326792,521.2712996,574.1147138,623.950674,669.5322045,701.4380288,729.0400131,759.400535,795.8212471,829.3305407,855.8856303,871.6789734,885.9184089,899.8467232,911.2397925,907.3492212
Lancaster,130.5335856,210.853836,252.5461878,297.0055044,344.8985535,390.3371422,440.7757616,509.9365072,585.6750389,666.1513407,749.6707129,843.1552416,938.8143962,1038.371013,1147.864772,1251.424789,1347.291188,1416.379863,1477.331714,1544.303911,1624.191387,1698.32325,1758.818184,1797.522919,1833.262973,1868.588325,1898.86036,1897.368145
Manchester,423.4336137,677.3420814,803.3365254,935.4131631,1075.459456,1205.437411,1348.47605,1545.935518,1759.771649,1988.139841,2223.070598,2484.538574,2748.598659,3020.45102,3317.376086,3593.067021,3841.795843,4009.910679,4151.533995,4306.790805,4494.15108,4664.296517,4792.951639,4859.923281,4917.097992,4971.445864,5010.747874,4965.426541
Northumberland,0.008664959,0.01395496,0.016663703,0.019528841,0.022588069,0.025471034,0.028663273,0.033047669,0.03782595,0.042908761,0.048184948,0.054090271,0.060104167,0.066354879,0.073250439,0.079779054,0.085784813,0.09005223,0.093781464,0.097879925,0.102775252,0.10730789,0.110955178,0.113216483,0.115282217,0.117313415,0.119019503,0.11873061
Oldham,140.7794575,225.1034075,266.6859539,310.1951642,356.214606,398.8418095,445.6816218,510.3190667,580.1445822,653.6278297,729.0941,813.0317387,897.4604972,984.2282806,1079.253614,1167.595296,1246.998766,1300.014947,1344.317848,1392.970028,1451.8658,1504.868943,1544.379377,1563.878532,1580.113359,1595.327619,1605.603909,1588.696476
Pendle,61.52718003,98.76476914,117.3764102,137.0709154,158.0840919,177.7861048,199.5854373,229.6641943,262.4323432,297.2555986,333.4272346,373.946572,415.2057572,458.1385922,505.5608314,550.5253505,591.9779953,621.498327,647.3687223,675.873343,709.9417681,741.5567639,767.1388684,783.2053154,797.9803141,812.5766372,824.979501,823.6001875
