Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,40.67978176,43.5709523,50.43096023,57.83356165,65.70549596,77.6018567,92.08608703,104.4797439,116.4137988,128.1107144,135.2715653,139.8679255,144.6544184,148.9186406,153.4685895,158.192615,163.2162183,168.094831,173.570985,178.96256,184.764501,190.2962,195.5847774,200.9398775,205.8010426,210.5671853,215.1046431,218.0693089
Barrow-in-Furness,16.38114689,17.24873555,22.08861829,27.18216916,32.78487894,40.4335612,49.27734992,54.60200236,59.68403753,64.5667434,67.26251548,68.60165988,69.98222964,71.21494917,72.52581055,73.87379485,75.29472795,76.68793382,78.23017383,79.75527551,81.38452974,82.94239205,84.4424845,85.95883504,87.348813,88.71540954,90.02149262,90.89612105
Blackburn with Darwen,12.8231444,14.92282773,18.04821563,21.46118683,25.06720753,30.67595312,37.59081584,44.46244296,50.98219807,57.43832526,61.38130953,64.14651132,66.99525499,69.10609581,71.63621215,74.19843915,76.92520903,79.59079466,82.64286623,85.69033199,89.0895482,92.19830788,95.19871383,98.25089728,100.8744585,103.455195,105.792814,107.3184877
Blackpool,5.298610307,6.546005962,8.634488456,10.89724193,13.24615246,17.00351812,21.70409747,26.40996186,30.95145501,35.44327309,38.29760483,40.28826891,42.36202331,44.17441493,46.13120896,48.16189778,50.32596896,52.42324056,54.79136026,57.12314103,59.64570379,62.03871048,64.3232031,66.64073532,68.72600712,70.76799164,72.70320744,73.95842554
Bolton,28.40821748,31.56890895,37.36492411,43.84340808,51.49780788,64.86366964,81.68110476,97.67636819,112.9753927,127.8160149,136.383506,141.2607574,146.302167,150.6788766,155.4173056,160.2939472,165.4589728,170.5009494,176.1409855,181.7152197,187.7224717,193.4221935,198.891829,204.4362361,209.4465809,214.3600589,219.0234811,222.1028399
Burnley,7.142947161,8.454860953,10.62253048,13.02389146,15.72014416,20.33331882,26.14980874,31.91068222,37.43670864,42.84152945,46.08767715,48.12125152,50.23029372,52.05102327,54.03025317,56.07340941,58.24357961,60.35545123,62.73136571,65.07731715,67.61599478,70.01899,72.3215292,74.65599897,76.75625455,78.81673309,80.76411617,82.03974146
Bury,10.00119204,11.64878486,14.28640936,17.20252393,20.39359849,25.69236151,32.33446235,38.92293354,45.22921493,51.41981507,55.16878456,57.6035874,60.12639754,62.23039846,64.56808283,66.97177018,69.52682159,72.01541916,74.82703492,77.6102813,80.64452733,83.49331795,86.22767032,89.00125037,91.47070931,93.89535597,96.16410183,97.64837536
Carlisle,21.15971272,23.32296512,26.92505505,30.89366277,35.27211796,42.64110204,51.90987057,61.08479681,69.8953229,78.53275916,83.78058208,87.14849456,90.64511352,93.66751035,96.95085542,100.3445046,103.9513539,107.4582936,111.4087784,115.3080017,119.5307526,123.527479,127.356231,131.2372336,134.7282589,138.1550544,141.3906335,143.5064271
Cheshire East,11.34070302,12.84800291,15.23279365,17.79205596,20.3707474,24.27311875,29.08914022,33.92479422,38.56596427,43.19388602,46.17542957,48.38919162,50.68811943,52.55643863,54.66710355,56.83946411,59.15586335,61.40510796,63.96957493,66.50908621,69.30171359,71.90510239,74.40254613,76.93790784,79.17087815,81.36619103,83.3988066,84.71592316
Chorley,10.38341833,12.03281109,14.79013317,17.83832159,21.20980975,26.72097187,33.57544619,40.16998101,46.4547234,52.61065016,56.26738104,58.58828722,60.98355915,62.9072301,65.09635117,67.32985457,69.70312202,72.02120066,74.64138956,77.24293098,80.09076632,82.74507064,85.29452832,87.88637061,90.16879251,92.40238956,94.4832392,95.84644095
Copeland,4.479815576,5.587648882,8.048176429,10.79112576,14.10030186,19.62255494,26.4303316,32.32941812,37.91910661,43.30236553,46.23884971,47.73526219,49.26528852,50.47595458,51.86404801,53.26514012,54.74115969,56.1971623,57.82587348,59.45266255,61.23059276,62.88380372,64.48607476,66.11141013,67.54906296,68.96361953,70.27602693,71.15791459
Craven,0.401286179,0.901572043,1.682994324,2.609226108,3.854965775,6.263038205,9.336455244,12.32381307,15.15567373,17.87076465,19.32512831,20.0142583,20.71811082,21.2906102,21.93513005,22.58666202,23.27092411,23.94716713,24.69896562,25.44956641,26.26493602,27.02793667,27.76891639,28.51900916,29.1901135,29.85221396,30.46991107,30.88840716
Derbyshire Dales,0.00648428,0.006851625,0.007470503,0.008118435,0.00862151,0.009190447,0.009868722,0.010593473,0.011317661,0.012078986,0.012703879,0.013310578,0.013951444,0.014531614,0.015146303,0.015793574,0.016488486,0.017156083,0.017915429,0.01865878,0.019462911,0.020230198,0.020958422,0.021695694,0.022362268,0.023015057,0.023634881,0.024029209
Eden,20.38365199,23.40467118,30.40806396,37.89060316,45.3379442,56.043286,69.0273462,80.3087518,91.27994226,102.1579227,109.2749045,114.3531019,119.6756121,124.5870985,129.7221657,135.0988717,140.8361172,146.3804304,152.6099624,158.7149829,165.2505923,171.5303273,177.5031947,183.5510356,189.0795345,194.4856966,199.6789761,203.0386423
Fylde,37.31593808,38.44321742,40.87603599,43.54115652,46.61417163,51.59618824,57.72485256,63.11504284,68.24919013,73.23331415,76.08400382,77.71417435,79.39301162,80.77255545,82.31767763,83.89545273,85.56505131,87.19973139,89.03813203,90.86425802,92.85533674,94.71973717,96.51732072,98.34014904,99.96264715,101.5590504,103.04866,104.0355871
High Peak,4.074870966,4.861485889,6.053454238,7.401818761,9.06699813,12.04392886,15.79298698,19.46044335,22.93012735,26.29298206,28.16619006,29.2087689,30.27344132,31.07232703,32.02025877,32.97225987,33.97814815,34.96885486,36.08825777,37.20859111,38.4466134,39.58399367,40.68493899,41.80583711,42.77765775,43.73137024,44.60566856,45.18756367
Hyndburn,7.030652393,8.162695899,10.10720877,12.18903323,14.29444902,17.597802,21.72691599,25.88403501,29.91726243,33.92417361,36.54132228,38.43326087,40.41017929,42.17967789,44.06225477,46.02646289,48.12113503,50.14627638,52.43424525,54.68205143,57.10792194,59.41983384,61.62455114,63.85879456,65.88157015,67.865559,69.75115462,70.97120172
Lancaster,30.52532283,33.14065122,42.17949182,51.76564222,61.98242315,76.43799594,93.55952249,106.0080312,117.9993471,129.6947797,136.7308937,141.0233185,145.4943059,149.5795415,153.870384,158.335767,163.0778626,167.6843462,172.8333649,177.8959385,183.3124354,188.5088712,193.4761958,198.5009928,203.1029594,207.6171742,211.9422396,214.7782128
Manchester,25.64980329,30.82134143,38.61436407,47.18373406,56.70793582,72.2767621,91.62804761,110.7563726,128.8987869,146.7279309,157.296237,164.2023662,171.30061,176.6152716,182.9382684,189.3325078,196.1243505,202.7739805,210.3570935,217.9283443,226.3406567,234.0552137,241.5011823,249.0794158,255.618753,262.0433011,267.8965492,271.7347834
Northumberland,0.001556227,0.001762282,0.002075962,0.002402225,0.00266199,0.002941034,0.00326269,0.003604262,0.0039366,0.00429008,0.004574296,0.00486477,0.005168752,0.005408343,0.005684944,0.005970949,0.006277953,0.006574425,0.006916798,0.0072557,0.007632696,0.007981243,0.008315054,0.008653777,0.008948195,0.009238129,0.009502542,0.00967087
Oldham,12.7372212,15.2179482,19.60362817,24.34428394,29.24187622,36.85293033,46.28317441,55.41849928,64.22000351,72.92866648,78.44808083,82.30831308,86.3269508,89.78855593,93.55984613,97.46609785,101.6284054,105.6656169,110.2300968,114.730753,119.6150021,124.2323286,128.6464903,133.1236133,137.1369743,141.0712866,144.7818966,147.1909209
Pendle,5.253311124,6.071036134,7.336087831,8.746758586,10.33975645,13.02461457,16.38739691,19.70594425,22.86340891,25.95178375,27.7675385,28.90134715,30.06948565,30.99334337,32.05469925,33.13455827,34.28105496,35.40240429,36.67091694,37.93246178,39.31732446,40.60359344,41.84115789,43.09941634,44.20331531,45.28480227,46.28769847,46.94630362
Preston,15.1135576,16.95448436,20.78844796,25.01134207,29.88194417,37.91623661,47.86287547,56.8048806,65.34227543,73.63177649,78.40970999,81.15488667,83.98940529,86.38791134,89.02594737,91.73302768,94.59904126,97.40027701,100.5439161,103.6587357,107.0375638,110.2222496,113.2875968,116.3929888,119.1804574,121.9227274,124.4991281,126.2036282
Ribble Valley,16.99813266,18.20757846,20.16400323,22.27900246,24.38723271,27.59710844,31.57612066,35.5752717,39.42895442,43.26692681,45.75683692,47.59127583,49.50199681,51.11762203,52.89894949,54.74191752,56.70812662,58.61450035,60.77728591,62.91190241,65.23902384,67.42903059,69.52334798,71.64816704,73.54094315,75.39689919,77.13721138,78.2636268
Richmondshire,0,0.001254045,0.003245877,0.005405595,0.007434153,0.010340079,0.013911243,0.017527705,0.021019116,0.024526687,0.026884942,0.028735174,0.03066666,0.032291275,0.034090535,0.035952967,0.03794404,0.039872866,0.042063243,0.04422428,0.046581861,0.048798686,0.05091525,0.053063203,0.054971665,0.056838723,0.058589636,0.059717687
Rochdale,16.12550284,18.47994118,23.17249416,28.2414893,33.8541168,42.62857034,53.36381968,62.9836953,72.148956,81.1245802,86.43786585,89.79499477,93.25570505,96.01219451,99.16250101,102.3755438,105.7859675,109.117422,112.8939193,116.6476305,120.7725687,124.6060008,128.2969954,132.0470944,135.3430204,138.5819469,141.5790642,143.5465707
Rossendale,5.828842888,6.666230433,7.897015878,9.251067867,10.77976234,13.28519711,16.39287619,19.4573668,22.35279865,25.19606826,26.85736397,27.93136495,29.03148401,29.81547896,30.7784209,31.74533944,32.77098899,33.77813062,34.93201606,36.08936991,37.38795543,38.56584091,39.70809424,40.87067211,41.86133154,42.83850391,43.71406524,44.29079876
Salford,8.945051896,11.30642637,15.18718635,19.34929733,23.82434371,30.69285319,39.09170101,47.10079795,54.6996052,62.21738946,66.78311261,69.9534653,73.21499948,75.61812652,78.50610229,81.42969444,84.53761797,87.57564955,91.06270354,94.54703507,98.44426676,102.0012158,105.4402048,108.9380998,111.9403242,114.9030917,117.5739426,119.320035
Sefton,0,7.75131E-05,0.000213645,0.000357333,0.000487965,0.000673662,0.000903587,0.001139551,0.001371539,0.001605937,0.001772653,0.001907764,0.002049859,0.002181077,0.002318217,0.002462425,0.002616682,0.002765197,0.00293312,0.003097455,0.003274068,0.003443512,0.003604453,0.003767442,0.003915984,0.004061455,0.004200653,0.004289978
South Lakeland,18.34593833,20.51223042,25.6344504,31.23281756,37.70586327,47.97725599,60.50047869,71.04409118,81.0540112,90.74549857,96.18063021,99.17702307,102.2505464,104.6973589,107.4934849,110.3273698,113.3228722,116.2656275,119.5717454,122.8656128,126.4671007,129.8193496,133.0554925,136.3426725,139.2440808,142.0913718,144.7394004,146.500338
South Ribble,10.36612086,12.11130726,15.44446727,19.02006856,22.72482337,28.22546587,34.91831475,41.02324664,46.86966602,52.65765119,56.276705,58.81582557,61.44840538,63.59312174,66.01229998,68.49715243,71.14387194,73.71823897,76.64283142,79.5399745,82.71690347,85.68274391,88.52780387,91.41701396,93.96624357,96.46792174,98.79332711,100.3054295
St. Helens,5.545687329,6.112286436,7.269783744,8.549685143,10.02705384,12.43662289,15.40595137,18.04710715,20.55770489,22.99413795,24.37877481,25.16638527,25.9764882,26.6276068,27.367399,28.11995542,28.91611519,29.69706511,30.57580058,31.45051418,32.40751639,33.29945473,34.16077967,35.0342825,35.80748484,36.5682931,37.27446015,37.74324489
Staffordshire Moorlands,0,0.000104475,0.000270957,0.000441256,0.000565402,0.000680402,0.000809452,0.000952892,0.001096427,0.001254305,0.001398131,0.001558008,0.00172639,0.00186777,0.00202463,0.00218865,0.002364962,0.002534451,0.00272963,0.002921743,0.003133409,0.003331662,0.003520738,0.003712318,0.003881594,0.004048218,0.004202417,0.004300122
Stockport,24.51529283,28.56734654,35.03504886,42.09607195,49.73394357,62.18288049,77.72660067,93.17907258,107.9667402,122.5317695,131.4498954,137.4258085,143.6133507,148.6910022,154.3891,160.239632,166.4628259,172.520967,179.3888269,186.192163,193.6371168,200.5996655,207.2821696,214.0677484,220.0727384,225.9678284,231.4606898,235.0443483
Tameside,14.72025033,17.44174872,21.46017096,25.84397884,30.80733618,38.59449253,48.08893171,57.1284581,65.57623288,73.88702382,78.62181032,81.71811771,84.8607463,86.74753292,89.34967968,91.90154213,94.60266917,97.277839,100.392064,103.5589071,107.2203208,110.4284184,113.5763105,116.7862585,119.4020085,122.0029028,124.2128185,125.681137
Trafford,12.65545572,14.43147337,17.47464892,20.87355032,24.80755538,31.77928388,40.62854291,49.37298534,57.77578805,65.95538389,70.80592177,73.6983993,76.7004325,79.39639363,82.25678359,85.2198371,88.3651737,91.4242155,94.84321863,98.20844,101.8118137,105.2582828,108.55004,111.8882787,114.9275381,117.8984072,120.7482214,122.6167055
Warrington,1.909996677,2.327697407,2.971376759,3.666201539,4.364411516,5.411223701,6.698904645,7.990030675,9.224841561,10.45673609,11.24519881,11.83273269,12.44192335,12.922291,13.47559281,14.04263267,14.64719713,15.23524088,15.90724006,16.57445013,17.31227258,17.99557095,18.65250584,19.31947983,19.90225214,20.47581855,21.00225981,21.34385054
West Lancashire,12.1041622,14.7315546,19.25512532,24.24256053,29.46923625,37.99854717,48.71548746,59.33397473,69.59356143,79.69419496,86.0350725,90.28610857,94.72512043,98.72767315,102.9687151,107.3875197,112.0924119,116.6528592,121.7771525,126.8146944,132.2306603,137.4062227,142.3481384,147.349626,151.9012277,156.3649674,160.6206352,163.3917653
Wigan,25.63977859,29.140187,36.67912901,44.82171164,54.06595987,68.39631026,85.77842436,100.6349331,114.701087,128.4093119,136.2297349,140.8894156,145.6603402,149.2179588,153.4572132,157.7275615,162.2477514,166.6886758,171.7354451,176.7847778,182.3918017,187.5297933,192.5051606,197.5661786,201.9409033,206.2485027,210.1681192,212.7635506
Wyre,23.65818897,25.45648424,29.31246977,33.5454421,38.321206,46.00553623,55.46985099,63.85371431,71.86407912,79.65647411,84.19366169,86.86422947,89.62540152,91.96751449,94.54103462,97.18449608,99.98634741,102.7225851,105.7939129,108.8348889,112.1314079,115.2408666,118.2297039,121.2583573,123.9766821,126.6468292,129.1598332,130.8177935
