Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,40.67978176,41.65222251,42.32035218,43.00554872,44.52057504,46.18655327,47.57968343,49.06130225,50.46310127,52.06764945,53.39159855,55.00513068,56.64229535,57.72830402,59.14872129,60.68861128,62.40059882,63.89672844,65.99089101,68.03083299,70.5118781,72.91920552,75.30105835,78.10544749,80.69458853,83.1738138,85.89073282,87.96117032
Barrow-in-Furness,16.38114689,16.71117028,16.96010396,17.21326208,17.83697028,18.50262793,19.01878129,19.56040871,20.09228113,20.68338666,21.20338949,21.80172144,22.40970571,22.87061678,23.42496991,24.00790118,24.63393493,25.21017707,25.93486387,26.64914754,27.47591806,28.27989688,29.07903225,29.9831014,30.82880771,31.64750875,32.52241263,33.18812508
Blackburn with Darwen,12.8231444,13.6097269,14.02723756,14.45133796,15.37465625,16.46070107,17.44865015,18.51426935,19.44135105,20.55548697,21.33562075,22.40433527,23.51633943,23.90826603,24.75848634,25.63037283,26.61163441,27.50190506,28.78442456,30.08178464,31.75044883,33.26728853,34.81491864,36.66719911,38.27259785,39.82169205,41.47302644,42.77842115
Blackpool,5.298610307,5.703870439,5.964449265,6.233764012,6.815635859,7.468590449,8.034450993,8.641930263,9.20630684,9.864385205,10.38720328,11.04655791,11.71618293,12.11777445,12.6803855,13.29416822,13.98468554,14.57634114,15.44609639,16.29162921,17.34354423,18.35591834,19.35735464,20.55771653,21.65042072,22.69114257,23.84241868,24.72219425
Bolton,28.40821748,29.54494053,30.33163992,31.13721057,33.04756416,35.13264496,36.82531744,38.62089527,40.33797812,42.29048345,43.92463839,45.88759576,47.88553659,49.22783834,50.97805285,52.83161028,54.85664512,56.67808467,59.11315305,61.50726261,64.37114894,67.12693078,69.86454888,73.04758263,75.96730033,78.77037834,81.81034474,84.13317996
Burnley,7.142947161,7.597159081,7.896542418,8.20400854,8.905071497,9.681796902,10.33286663,11.02748251,11.68027564,12.43240206,13.04284861,13.79560955,14.56231678,15.04036693,15.69560169,16.39681714,17.1724783,17.85739389,18.81258974,19.74926781,20.89390455,21.99095119,23.08191496,24.36700854,25.53900044,26.66280127,27.88759762,28.82609145
Bury,10.00119204,10.58506804,10.94737422,11.31783315,12.14428598,13.07447607,13.8736176,14.72824699,15.51301923,16.42737376,17.13995951,18.04354443,18.96940716,19.47638714,20.24452028,21.05883855,21.96486186,22.77005886,23.90226908,25.02165221,26.40915625,27.72112446,29.03508475,30.58878573,31.98866381,33.3339299,34.79076375,35.91636791
Carlisle,21.15971272,21.90023427,22.38347291,22.88019583,24.00114849,25.24738558,26.30001394,27.42455324,28.47766969,29.6945021,30.67613689,31.8932752,33.13282546,33.89520359,34.94890732,36.08135194,37.33764478,38.44059435,39.99674558,41.52098549,43.39364157,45.18782901,46.97290807,49.08066655,51.00284463,52.84706079,54.85781074,56.39945028
Cheshire East,11.34070302,11.85640562,12.14575617,12.44317499,13.07355289,13.80759145,14.47466431,15.19574787,15.83642946,16.60228749,17.1616207,17.91038794,18.68054038,19.02164255,19.62723514,20.27529269,21.00965081,21.64650947,22.60543051,23.55382628,24.77166343,25.90804655,27.05201528,28.42985639,29.65289355,30.82807453,32.10438768,33.09802588
Chorley,10.38341833,10.99011557,11.35758,11.73188708,12.57113163,13.5205552,14.33941653,15.21500616,16.01082055,16.94162258,17.65246117,18.56514559,19.50446634,19.97830939,20.748335,21.54896439,22.44004072,23.24561499,24.35853846,25.46818868,26.84152106,28.12752766,29.41752747,30.94701039,32.30615499,33.6059277,35.0145521,36.10709733
