Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,40.67978176,43.5709523,50.35907835,57.16865426,63.72062005,69.87695033,75.83433852,79.77532553,83.78595019,88.15259266,92.42957779,97.01239496,101.7999385,106.0777532,110.6516547,115.4072627,120.4577864,125.3350352,130.7907897,136.1510669,141.9121997,147.3924105,152.6185463,157.9000769,162.6762031,167.3453867,171.7734526,174.6467551
Barrow-in-Furness,16.38114689,17.24873555,22.05376495,26.85977579,31.82247298,36.68798907,41.39737139,42.62358133,43.86378615,45.19226558,46.48973882,47.82231662,49.20339579,50.44270597,51.76518122,53.12847889,54.56246485,55.95500944,57.48735837,58.99728469,60.60675223,62.1396495,63.60946595,65.09014485,66.43889003,67.75847404,69.01151633,69.8418455
Blackburn with Darwen,12.8231444,14.92282773,18.01196824,21.12589844,24.06630747,26.78056639,29.39565562,32.00491161,34.52917167,37.28891122,39.77766781,42.53604036,45.38531379,47.50300888,50.04520363,52.6233565,55.36370133,58.02859922,61.07038409,64.1020675,67.4807056,70.56350169,73.53242067,76.5475057,79.12818492,81.66002849,83.94248524,85.42208776
Blackpool,5.298610307,6.546005962,8.608914576,10.66068354,12.53998036,14.25517836,15.92210809,17.62071162,19.34323487,21.22711443,23.05543462,25.04128041,27.11540859,28.93263615,30.89795194,32.93987705,35.11352586,37.21031224,39.57117429,41.89182003,44.39986417,46.77455258,49.03682997,51.32818788,53.38320485,55.39069358,57.28699035,58.50970354
Bolton,28.40821748,31.56890895,37.26621856,42.93038181,48.77224958,54.25611344,59.36480379,63.75317312,68.17203572,72.94699762,77.55447061,82.41312523,87.45597747,91.85135196,96.62267176,101.5426812,106.7446729,111.7847767,117.396801,122.9280581,128.8792737,134.5082939,139.892187,145.3355712,150.2291437,155.0094809,159.5226902,162.4765924
Burnley,7.142947161,8.454860953,10.58878805,12.71177403,14.78841383,16.70713265,18.5209958,20.3140601,22.12071026,24.08459165,25.97700975,28.00422683,30.11376218,31.94087232,33.93134592,35.98932743,38.17213445,40.28336586,42.64970452,44.9809643,47.50048592,49.87931183,52.15254005,54.45247517,56.51281223,58.5277767,60.42380962,61.65654763
Bury,10.00119204,11.64878486,14.24890228,16.85558343,19.35791465,21.66160039,23.85449988,26.03247193,28.20440485,30.57015867,32.81436244,35.2420987,37.76545702,39.87655041,42.22673294,44.64689962,47.21599774,49.70388368,52.50485525,55.27177081,58.28472359,61.10664832,63.80841947,66.54361184,68.96869852,71.34275309,73.55441963,74.99102093
Carlisle,21.15971272,23.32296512,26.8721125,30.40394421,33.81021426,36.95154273,39.94010905,42.88946257,45.8642122,49.10274505,52.22653889,55.58447665,59.08186939,62.11427749,65.41526414,68.83217444,72.45885124,75.96478636,79.90024653,83.77641832,87.96911308,91.92791738,95.71067984,99.53749688,102.9658892,106.3212722,109.4762818,111.5247845
Cheshire East,11.34070302,12.84800291,15.2083033,17.56552024,19.69449488,21.64122251,23.55212607,25.50793287,27.44956905,29.58004718,31.57904993,33.78819783,36.08748359,37.96043383,40.07925946,42.26238024,44.58795132,46.83673127,49.39424808,51.92309611,54.70182,57.28766665,59.7638364,62.27413276,64.47813009,66.64040873,68.63575421,69.92174306
Chorley,10.38341833,12.03281109,14.75224798,17.48788364,20.16368536,22.64957731,25.00999863,27.14957279,29.25828903,31.55081183,33.68760769,36.00137606,38.39720169,40.32803661,42.52978183,44.77993069,47.16738646,49.48474628,52.09418369,54.67922966,57.5055571,60.1327247,62.64927271,65.20234034,67.43994268,69.62243762,71.64563253,72.96068148
