Local Authority List,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Allerdale,40.67978176,42.4944109,46.71224565,50.9632001,56.12009815,61.30998666,66.16137682,68.73689283,71.21179142,73.86673281,76.22631758,78.68991405,81.18389816,83.19390078,85.61497771,88.25549953,91.18742434,93.975843,97.34127306,100.6131515,104.287013,107.7871363,111.1845843,114.8459462,118.1894955,121.3762489,124.5365774,126.8187819
Barrow-in-Furness,16.38114689,16.99198735,21.18324741,25.38282467,30.01228313,34.64509545,39.08929108,39.98895817,40.86235296,41.7821359,42.62243352,43.44984902,44.28445141,44.98440689,45.79449316,46.65465922,47.58458689,48.47993968,49.51519088,50.52833011,51.64140379,52.70358794,53.73879039,54.83500592,55.8439949,56.81197773,57.76506418,58.45616864
Blackburn with Darwen,12.8231444,14.33712098,16.03319721,17.73756721,19.89000477,22.05400691,24.04989145,25.9083427,27.597522,29.43239948,30.89179711,32.51390319,34.13580448,35.0467628,36.44111464,37.89333758,39.50639209,41.06035755,42.99104138,44.91315294,47.18246949,49.2181642,51.22297333,53.39267565,55.23240375,57.00115853,58.64151234,59.83306822
Blackpool,5.298610307,6.065081938,6.975746552,7.904656692,9.162883836,10.44019334,11.60960235,12.69589396,13.73043498,14.84737721,15.81843151,16.85728102,17.90729291,18.71514527,19.72103776,20.82133867,22.05132997,23.21667237,24.64750285,26.0382788,27.61774297,29.11154503,30.56041077,32.13264314,33.55159693,34.90030307,36.23492827,37.19702056
Bolton,28.40821748,30.54295693,33.78256572,37.06202599,41.57664367,46.12042152,50.16522166,53.24802012,56.20211159,59.3457298,62.13152496,64.97901338,67.84797553,70.10241398,72.83867318,75.76222038,78.96337843,82.02810867,85.66984769,89.2311496,93.21657032,96.98120814,100.6445038,104.5700282,108.1214386,111.5122898,114.8434126,117.2519434
Burnley,7.142947161,8.000320798,9.044890535,10.10592167,11.59277019,13.09452192,14.43567709,15.64819782,16.803383,18.0413774,19.12324364,20.25504458,21.39645296,22.27061101,23.35470319,24.52335755,25.81489098,27.04632846,28.53419292,29.98703638,31.6290925,33.17611607,34.68140755,36.30305291,37.76418562,39.15872173,40.52690011,41.5156819
Bury,10.00119204,11.10746482,12.4148613,13.73704915,15.52915682,17.33615903,18.96539575,20.45256014,21.85078975,23.35590378,24.63900648,26.00500321,27.38031347,28.36006738,29.63481522,30.99937921,32.5110674,33.95612538,35.71439715,37.43938723,39.41096017,41.24677311,43.03873335,44.97110961,46.68849186,48.33107454,49.92130709,51.07221847
Carlisle,21.15971272,22.5590131,24.27615822,26.02033977,28.43431526,30.87404808,33.0666185,35.03790954,36.91488887,38.9297716,40.68732322,42.53544061,44.40019275,45.82633756,47.59887726,49.51604647,51.6396332,53.66184203,56.11507158,58.50892336,61.22007626,63.77474876,66.2608565,68.94155172,71.35789452,73.66514239,75.92838923,77.56426015
Cheshire East,11.34070302,12.33044425,13.45064093,14.58511751,16.03223795,17.49709358,18.86284457,20.15172328,21.34704171,22.64678383,23.71991185,24.90561798,26.09849371,26.88510552,27.96905356,29.13700296,30.44528896,31.69022314,33.24392021,34.76894858,36.54324386,38.17895096,39.77814603,41.51456608,43.03756687,44.49542768,45.89408899,46.90643394
Chorley,10.38341833,11.53428715,13.07059164,14.61947566,16.63968696,18.67136821,20.5180128,22.03057621,23.43885263,24.95498185,26.22412085,27.58132616,28.94353394,29.85181444,31.0845545,32.3834357,33.8186124,35.19752687,36.87025033,38.52049577,40.41514022,42.15965788,43.86348408,45.70297257,47.31096153,48.84452123,50.31700762,51.38169223
