Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,612.8378435,892.1273758,1313.522117,1842.487493,2454.986949,3121.747307,3828.860674,4670.134397,5474.862314,6254.808605,7002.274536,7710.738262,8349.220681,8951.305871,9502.270511,10004.3017,10447.3634,10836.13302,11146.34242,11399.13896,11585.95945,11714.21539,11819.1659,11895.51792,11960.41921,12014.23931,12055.02616,12093.55395
Alderley & Chelford,889.9463082,1262.647304,1812.041718,2467.912369,3187.620435,3944.07186,4741.961526,5705.097004,6626.286996,7518.90168,8374.472743,9185.232513,9889.152845,10551.46802,11156.24783,11705.91383,12188.94678,12610.55132,12942.66403,13209.53503,13421.50422,13589.25536,13619.42938,13610.54502,13615.77136,13638.72123,13674.37939,13717.75018
Alston,95.82118505,139.575667,207.5606202,297.0459827,406.9997254,530.9526539,664.6665766,825.1388118,981.4375683,1134.401493,1282.187902,1423.3468,1558.049591,1686.419522,1804.687123,1913.10505,2009.725268,2095.474232,2165.648526,2224.223565,2273.048128,2313.876483,2348.221242,2374.408672,2398.548667,2420.80613,2438.785661,2451.939196
Ambleside,184.4016573,265.6132127,387.335528,539.8338042,717.5671011,911.01469,1117.344797,1366.590057,1608.104723,1844.1433,2071.994661,2289.389227,2492.048367,2684.896591,2862.315318,3024.725372,3169.058965,3296.761209,3400.442118,3486.338678,3557.289803,3615.727656,3662.417286,3697.379644,3711.619583,3727.412117,3745.543651,3764.429949
Ancoats North T11 & T12,372.1993521,543.9490463,783.6661915,1052.08015,1319.895968,1588.457141,1869.427587,2216.985347,2550.856921,2875.642488,3188.157096,3485.221494,3754.543186,4010.184136,4244.929663,4450.668582,4605.715765,4742.262541,4849.859106,4928.459079,4961.602149,4969.241722,4972.824553,4973.532539,4980.964013,4994.153779,5011.542376,5031.068567
Ancoats North T14,55.12449547,80.39697487,113.958931,148.3577164,177.979908,204.6073028,231.8020143,267.1830308,301.2028553,334.3847321,366.4221431,396.9368351,424.2297414,450.277568,474.251375,492.5270797,496.0672176,499.1599943,500.8250347,501.8723617,502.6008842,503.051525,503.5636325,503.7557104,504.6139254,506.039794,507.8789377,509.922083
Annie Pit,583.1503755,859.4490906,1285.804265,1838.951493,2501.62262,3239.412327,4026.508844,4956.939804,5848.50574,6712.81691,7541.126088,8326.376188,9045.175502,9723.409233,10344.55158,10911.03255,11411.82079,11852.14918,12205.39216,12494.81168,12730.61285,12923.38656,13045.2094,13115.43738,13187.37775,13257.35081,13329.25447,13398.28917
Ansdell,520.5269772,746.2069283,1092.567476,1533.422962,2053.11199,2621.474638,3224.132529,3937.820924,4618.806438,5277.711282,5908.218645,6505.018188,7031.405208,7526.030163,7977.587634,8388.0527,8749.073198,9064.597156,9314.336077,9516.024769,9677.321919,9806.545684,9909.256625,9984.648486,10053.31548,10106.55928,10134.75437,10165.13999
Ardwick,239.4680512,351.9045749,513.0038645,700.9345981,899.2154469,1105.973591,1324.228114,1589.814749,1844.861911,2092.60263,2330.586826,2556.547671,2762.752898,2958.04996,3137.232815,3300.896711,3445.661864,3573.084144,3675.152094,3725.91046,3744.084788,3756.269432,3767.084141,3773.948791,3784.333231,3797.815703,3813.421795,3829.011527
Arnside,222.9151185,322.9934953,476.6735198,675.2917835,914.0377377,1178.516322,1460.997158,1798.099209,2123.286473,2440.074776,2744.972739,3035.144448,3303.722951,3558.387431,3792.226439,4005.939455,4195.481046,4362.76821,4498.020365,4609.621762,4701.345582,4777.015792,4839.751772,4886.977954,4930.429678,4966.336102,4987.775199,5010.204213
Ashton (Golborne),854.0490445,1231.503539,1807.599658,2537.035004,3393.095527,4333.206635,5336.115406,6533.045214,7683.758007,8801.291768,9874.095971,10892.58284,11815.31854,12686.7899,13485.04879,14212.92548,14856.19388,15421.50517,15874.34801,16244.55828,16545.28627,16763.43924,16905.83587,17010.72678,17115.14624,17219.59161,17321.47522,17403.12484
Ashton (Ribble),388.9001557,567.2069046,834.1793878,1164.872923,1541.725221,1950.433137,2384.702945,2903.75172,3401.330225,3883.868487,4346.568755,4785.333153,5182.468925,5557.278496,5900.482153,6213.384148,6489.716026,6732.403335,6896.948396,7012.526501,7105.5681,7181.246585,7243.747211,7289.417729,7333.463186,7377.651091,7420.141174,7458.712487
