Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,612.8378435,787.3066548,975.3681836,1246.558089,1623.671282,2098.98026,2657.460869,3273.665604,3887.076654,4509.149771,5132.007242,5752.64326,6361.494831,6921.096277,7450.421779,7949.943147,8413.907202,8843.249844,9209.888173,9535.679639,9807.222235,10026.54167,10218.92544,10371.81317,10498.5577,10601.54268,10679.60626,10744.58896
Alderley & Chelford,889.9463082,1114.292255,1345.548595,1669.697155,2108.218033,2651.889524,3291.208083,3999.152539,4704.57228,5420.446241,6137.699192,6852.698679,7534.810386,8158.332104,8747.251693,9302.133443,9816.511901,10291.33324,10694.1348,11050.12357,11360.96455,11631.44355,11775.44461,11867.16132,11951.58454,12035.00958,12114.19916,12187.61563
Alston,95.82118505,123.1761903,154.1260878,200.9701959,269.1801543,356.9985108,461.3188018,578.4048847,696.8071232,817.8006003,939.7228805,1061.896552,1187.119708,1303.929509,1414.996577,1520.253671,1618.555923,1710.093642,1789.410373,1860.621528,1924.077867,1980.514972,2030.286908,2070.269097,2105.386202,2136.155177,2160.53207,2178.439765
Ambleside,184.4016573,234.4049243,287.619634,365.2313504,474.5821949,612.5421641,775.5048638,957.9507752,1141.732151,1329.460079,1518.576793,1708.012782,1898.758389,2075.94602,2244.248504,2403.605515,2552.238976,2690.450828,2809.683255,2916.414025,3011.156029,3094.8077,3166.549102,3223.779844,3257.967105,3289.123649,3318.195323,3344.529875
Ancoats North T11 & T12,372.1993521,480.037622,581.9186903,711.7980591,872.9485012,1068.036537,1297.495805,1554.059918,1811.073195,2073.077449,2336.618654,2600.17073,2860.687001,3100.650441,3328.311521,3536.734822,3709.267456,3870.108682,4007.293006,4122.785681,4199.870984,4253.320219,4299.535496,4336.469472,4372.165989,4406.91525,4439.749747,4469.882386
Ancoats North T14,55.12449547,70.95071294,84.62127449,100.3732791,117.7117726,137.5725347,160.8846168,187.2896632,213.8498687,241.0610673,268.5528941,296.1371443,323.2320009,348.1519283,371.8451047,391.3878648,399.5135783,407.3590214,413.8166935,419.8294341,425.4389623,430.5766034,435.3842951,439.2293088,442.937519,446.5370079,449.9324192,453.0432664
Annie Pit,583.1503755,758.4679126,954.7860324,1244.165764,1654.51503,2178.095105,2794.640653,3474.710139,4152.358327,4839.332223,5526.93464,6211.943685,6891.761447,7518.081989,8110.827016,8670.479061,9190.644329,9672.409545,10084.94919,10452.23869,10776.14245,11061.50685,11278.97039,11435.47234,11575.55131,11698.48268,11808.45131,11903.78863
Ansdell,520.5269772,658.5311654,811.2962398,1037.456593,1357.880529,1762.610159,2237.742964,2760.329323,3279.288801,3804.751212,4330.167393,4853.108452,5357.415931,5819.081607,6254.96744,6665.586872,7046.169182,7397.51877,7696.156323,7960.405073,8191.608739,8393.711025,8567.605824,8705.708269,8824.549607,8918.177572,8978.428149,9031.27826
Ardwick,239.4680512,310.557462,380.9358374,474.226119,594.7201869,743.6273687,919.0943975,1114.426571,1309.826485,1508.576724,1708.100476,1907.327966,2105.01542,2287.146575,2459.802388,2623.065754,2775.004379,2915.954958,3036.667862,3116.822123,3169.273269,3215.101542,3257.044726,3290.541198,3321.793332,3351.248816,3378.328901,3401.907756
Arnside,222.9151185,285.0432967,353.9583988,456.8771501,604.5233054,792.4031813,1014.020386,1260.429579,1507.50408,1759.072629,2011.806292,2264.388007,2517.194991,2751.323925,2973.361621,3183.329719,3378.880092,3560.407503,3716.579216,3856.069877,3979.570369,4088.788388,4184.47993,4261.001721,4327.80821,4382.36852,4418.694289,4451.345329
Ashton (Golborne),854.0490445,1086.807734,1342.250102,1716.462944,2244.114481,2913.533447,3703.586809,4579.526753,5455.362098,6344.933198,7236.781673,8126.477795,9002.407611,9809.350232,10573.18891,11294.33647,11964.61078,12585.32199,13116.49728,13589.00037,14005.16721,14348.32093,14616.8924,14831.81155,15023.24853,15194.82263,15345.17908,15461.90836
Ashton (Ribble),388.9001557,500.5627926,619.4277386,788.1094281,1019.661211,1311.419616,1655.128066,2035.468644,2414.897499,2799.916961,3185.625215,3570.126954,3948.661862,4296.854567,4626.376474,4937.481116,5226.569264,5494.240856,5698.741442,5866.162908,6014.684045,6146.640273,6262.989561,6355.7114,6437.131094,6510.148574,6573.539127,6626.736869
Ashton On Mersey,773.6451778,982.3724129,1207.558559,1531.32389,1979.216631,2542.351782,3203.982324,3931.766806,4654.119518,5384.981716,6115.337168,6841.834815,7539.525711,8176.916445,8778.435622,9344.899536,9869.681496,10353.83243,10764.54547,11127.53181,11444.59356,11714.38482,11915.57641,12064.15742,12176.11788,12279.34041,12362.94923,12433.20451
Ashton Under Lyne T11 & T12,512.5066842,663.3260683,827.5757516,1065.291273,1397.342267,1818.160522,2313.58724,2861.098668,3407.12171,3961.14657,4516.109124,5069.319738,5617.364031,6122.267001,6600.23845,7051.626441,7471.263639,7860.007576,8192.848536,8475.920659,8702.911213,8904.275348,9081.439698,9223.097989,9347.134321,9456.550716,9541.796032,9612.353511
Ashton Under Lyne T13,156.6184928,202.9719649,251.8314712,320.391696,413.6782401,531.0727387,669.3664031,822.4743063,975.260815,1130.338337,1285.727955,1440.659852,1594.023934,1735.232436,1868.935077,1995.229545,2112.657162,2221.456554,2314.565047,2389.9441,2443.588251,2491.608271,2534.326535,2568.520302,2599.219743,2627.022339,2651.688383,2672.262642
Ashwood Dale,689.0382028,879.3276332,1093.127408,1415.897166,1882.074894,2475.426198,3173.909355,3947.697631,4721.334539,5507.920432,6297.19027,7085.169032,7868.041804,8591.419836,9276.75143,9924.272735,10526.65969,11085.20946,11564.60744,11991.98762,12369.51612,12702.79583,12994.28613,13227.45008,13431.25355,13600.99596,13742.88127,13854.50679
Askam & Dalton,746.4078485,957.7745456,1195.167375,1556.589476,2083.482511,2755.306887,3546.737454,4427.532987,5311.756496,6213.393757,7120.31858,8027.680114,8945.084409,9797.476116,10606.72148,11372.69743,12086.94389,12750.89946,13323.94597,13837.04002,14292.70095,14695.21713,15040.19794,15317.24661,15561.69776,15777.78079,15966.25317,16124.76081
Askerton Castle,25.54962329,32.68004413,40.78463223,53.02048322,70.76332007,93.56943309,120.619527,150.8317154,181.2592757,212.271705,243.4538485,274.6413655,306.1378972,335.3854412,363.1460573,389.414772,413.903165,436.6573121,456.28662,473.8501816,489.4349709,503.2436938,515.3724614,525.0970008,533.6141817,540.8609096,546.8775413,551.3454438
Aspatria,316.3738775,407.4911058,511.4589032,669.4124832,899.8583721,1196.589829,1548.476985,1942.042801,2338.958767,2743.971789,3151.593088,3559.628787,3975.759471,4363.206592,4731.312439,5079.939305,5405.279899,5707.961377,5969.77824,6204.541511,6413.414831,6598.940781,6762.339767,6893.616813,7008.866439,7108.630376,7193.547926,7257.510548
Atherton Town Centre,1386.827544,1770.598964,2201.420435,2841.299822,3753.249717,4915.621827,6286.585099,7802.028949,9314.372514,10848.35754,12384.47071,13915.38873,15420.36726,16805.33374,18115.46868,19351.73459,20500.0868,21562.80153,22471.33195,23278.83639,23989.16757,24613.75688,25142.94888,25539.09922,25884.98024,26178.51962,26419.25964,26614.21463
Athletic St,452.6871349,581.85194,727.1771896,944.5165475,1256.037249,1653.110224,2120.59627,2637.168708,3152.60593,3675.783433,4199.991363,4722.695875,5240.50163,5717.983916,6170.001696,6596.833786,6993.607522,7361.189786,7676.113889,7956.517384,8203.83517,8421.829044,8609.563373,8747.546941,8869.248022,8974.045635,9058.339549,9130.885817
Avenham,241.6186477,310.8451461,372.3528347,445.1117474,527.8520593,624.616118,738.5079257,866.7941631,995.5317029,1126.987876,1259.42159,1391.99783,1521.420587,1640.157786,1752.84722,1825.169691,1874.851985,1922.132556,1961.421311,1997.246372,2029.844087,2059.686412,2086.916912,2108.694098,2128.943392,2147.970718,2165.414595,2180.972
Baguley,713.3641944,920.5141652,1141.614517,1456.461639,1889.552371,2434.263261,3073.984492,3779.041231,4480.079817,5190.521105,5901.4414,6609.453832,7303.123685,7939.968464,8542.180434,9110.383338,9637.970968,10121.53765,10529.04888,10891.11641,11209.54493,11480.27053,11701.62476,11857.93103,11961.35298,12056.49835,12135.55082,12206.54606
Bamber Bridge,611.155079,783.4864252,974.8774676,1256.07404,1654.882296,2165.511112,2771.464164,3447.533281,4127.473609,4819.599464,5514.77917,6209.421505,6906.335609,7551.779815,8163.940931,8742.853228,9282.078561,9782.630564,10213.3758,10598.14118,10938.82031,11239.97386,11496.5159,11668.77155,11822.98339,11951.31508,12060.75633,12157.6368
Barbara St,694.4515843,892.3503191,1095.021143,1371.331503,1737.284705,2194.139397,2733.43798,3332.082143,3930.09122,4537.109837,5145.414765,5751.933967,6346.239793,6892.044365,7408.573459,7896.112616,8341.511085,8752.192398,9102.48883,9408.68829,9606.487018,9776.881668,9929.01726,10050.23975,10140.50095,10214.94585,10285.51014,10350.38653
Barrow,670.4451251,860.5635263,1070.41543,1381.912138,1826.092955,2389.321901,3051.552669,3784.353408,4516.124221,5259.820938,6005.790147,6750.291292,7489.911408,8172.879052,8819.861196,9431.153495,9999.855487,10527.10882,10979.44028,11382.69054,11727.33701,12019.58465,12276.28155,12481.64115,12662.30033,12820.4428,12947.51587,13044.80272
Barton Dock Rd,142.9501599,184.4901177,229.6534263,294.1852344,383.4948578,497.2902887,632.1718696,782.1128743,932.3798637,1084.99198,1237.985432,1390.603304,1542.415661,1682.46394,1815.124584,1940.461491,2057.048305,2165.115556,2257.768376,2340.299465,2413.149825,2463.08818,2504.914026,2538.419867,2568.63126,2596.081708,2620.526252,2641.675506
Bedford,735.876581,940.292973,1174.93639,1528.509075,2038.134969,2690.692501,3460.508845,4310.294871,5157.807972,6016.870212,6876.615716,7733.046472,8574.826619,9349.276307,10081.64978,10772.53917,11414.12178,12007.66168,12514.96972,12965.71947,13362.21185,13710.82714,14014.40325,14249.80438,14453.9078,14632.32581,14778.17704,14900.57525
Belgrave,527.2689115,681.5372382,842.359852,1066.238204,1368.2958,1746.356902,2190.782465,2681.733455,3170.513325,3666.193798,4162.51522,4657.048243,5142.55794,5588.472692,6010.344288,6408.573652,6766.159721,7091.355415,7368.490719,7615.053871,7832.282831,8023.528739,8160.981179,8246.497326,8313.978226,8379.008512,8439.77204,8494.642436
Benchill,264.0350991,340.8961421,413.2615871,504.8139505,617.2860294,752.8850657,912.0044177,1089.153613,1265.909334,1445.721034,1626.271238,1806.550923,1982.837548,2144.556257,2289.83031,2402.396056,2507.721037,2605.97197,2689.17718,2763.662947,2829.822101,2882.22202,2919.52063,2948.436703,2969.980779,2991.261826,3010.563995,3028.059098
Bentham,181.9794479,232.5694323,288.4750362,371.8896041,491.9192815,645.5287498,827.9180335,1032.841122,1240.111233,1452.015639,1665.634498,1879.759393,2098.354302,2302.136314,2495.894561,2679.506962,2850.964252,3010.602854,3148.82511,3272.858725,3383.308805,3481.470296,3567.943125,3637.235094,3697.930768,3741.295297,3775.979006,3807.307659
Bispham,752.9098471,968.0246357,1211.580782,1578.099583,2105.464781,2777.586027,3567.755303,4439.119753,5307.1412,6187.612445,7069.31486,7948.060255,8816.06345,9615.674481,10372.30282,11086.50881,11750.05556,12364.49954,12890.36574,13358.19498,13770.4287,14133.54691,14444.27117,14680.35481,14888.0696,15067.83075,15220.88576,15347.67728
Blackbull,745.9880291,946.1357815,1167.950826,1493.732908,1953.121179,2536.246775,3223.933111,3983.403289,4740.339811,5507.407516,6274.958385,7039.383259,7782.358925,8463.942901,9108.020621,9715.200261,10278.48542,10799.02885,11242.52699,11635.24891,11970.5306,12264.92741,12520.77498,12714.91934,12865.30579,12998.14063,13107.73366,13195.96958
Blackburn,463.8473532,601.8170686,737.6306137,916.3155667,1146.390428,1432.598875,1772.778497,2156.215001,2543.767453,2939.752381,3338.796133,3738.564283,4144.482669,4521.330705,4879.63496,5219.279851,5536.327998,5831.45968,6086.138055,6262.391399,6387.074767,6498.064358,6592.264914,6661.048885,6725.82434,6787.710861,6845.583592,6898.18623
Blackburn Rd Clayton,496.5715445,640.5186102,795.4350835,1015.73506,1319.803606,1707.182292,2167.354277,2681.452108,3198.679858,3725.152847,4253.94269,4782.292976,5312.840966,5803.918646,6269.744896,6710.365079,7120.791713,7501.858329,7829.652924,8122.462359,8381.724743,8610.804975,8786.480537,8882.116285,8965.708085,9045.286132,9119.577192,9187.014224
Blackfriars,233.9302535,301.763649,366.5401333,450.0303566,554.6446412,681.4500298,830.0953461,995.2679072,1159.940252,1327.410156,1495.52088,1663.348126,1827.553412,1978.267089,2121.032548,2255.961057,2373.114099,2476.212638,2563.844976,2642.044307,2685.246039,2714.244615,2740.551564,2761.491443,2781.935232,2799.824484,2816.478353,2832.266082
Blackley,550.18884,704.2801628,870.6894585,1110.599105,1443.746714,1863.332302,2356.146425,2898.909649,3438.333657,3984.76075,4531.355854,5075.547893,5604.980072,6090.366766,6549.045799,6981.525494,7373.48993,7729.64343,8032.598792,8301.470902,8537.635873,8745.050921,8908.487833,9027.525238,9132.871145,9225.283813,9305.713322,9369.288018
Blackpool,109.9365943,142.331354,174.043069,216.1531133,270.566969,337.3942958,415.8968093,503.3467946,590.8257544,679.9399796,769.516856,859.0574483,948.1460198,1030.348853,1108.331895,1182.122001,1250.839212,1310.841266,1359.870814,1403.747286,1441.020315,1461.285904,1479.191761,1492.206577,1504.770693,1516.735281,1527.815264,1538.027489
Bollington,573.2460824,719.8931711,875.0789778,1099.738833,1412.875637,1804.473887,2264.956656,2775.94856,3286.580703,3805.914195,4327.189451,4847.682331,5354.325267,5820.421241,6261.544614,6677.904053,7064.759314,7422.840241,7728.666424,8000.323463,8239.105678,8442.912116,8612.85256,8736.981543,8834.128855,8905.270387,8972.435915,9033.99791
Bolton By Bowland,95.3563125,119.8926872,146.6893169,186.4125347,243.2424871,315.8477192,402.4049064,500.1677291,599.4121846,701.0074862,803.5386567,906.4068494,1010.777389,1108.055724,1200.557394,1288.204532,1370.036682,1446.215765,1512.135162,1571.237145,1623.809191,1670.483366,1711.552637,1744.372316,1771.473458,1789.813539,1806.835754,1822.188906
Bolton Le Sands,708.6802624,903.7216384,1118.359153,1437.814088,1894.515037,2473.254083,3154.470836,3910.338402,4666.760113,5436.463122,6209.333085,6981.377299,7749.275277,8459.252425,9132.165309,9768.182279,10360.19214,10909.32819,11380.94554,11801.67878,12173.58229,12501.99324,12789.29545,13018.68959,13214.10769,13366.0058,13477.99643,13573.29942
Botany Bay,399.881173,509.95681,633.8480394,817.9974642,1081.135115,1417.993322,1816.951438,2260.411701,2705.090325,3157.038525,3610.384421,4062.869785,4512.292693,4927.355393,5320.535503,5691.961566,6037.477257,6357.739153,6632.527882,6877.397895,7093.570543,7284.200415,7450.690661,7582.938336,7683.743647,7773.157831,7844.589242,7903.561849
Bow Lane,945.1404841,1207.771617,1503.18121,1941.666401,2566.739698,3365.020394,4307.946668,5351.836758,6395.03236,7453.621014,8514.072075,9571.285993,10614.16755,11574.85378,12483.9811,13342.12295,14139.57897,14877.89847,15509.77877,16071.83982,16566.90523,17002.60388,17382.2438,17685.21789,17929.83369,18115.8165,18270.14117,18397.58382
