Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,612.8378435,836.8494037,1118.137303,1453.757389,1853.899673,2421.844707,3102.488316,3827.119213,4530.56542,5223.738874,5895.567208,6543.366323,7226.618567,7889.948433,8515.735311,9101.446733,9635.958744,10125.55855,10544.322,10908.93899,11206.85149,11441.10837,11638.49524,11787.73658,11903.49517,11987.35475,12043.71788,12088.24329
Alderley & Chelford,889.9463082,1184.411187,1542.502721,1947.229415,2407.152708,3059.80229,3842.364996,4675.258676,5483.393919,6279.453373,7050.889912,7794.628614,8559.497741,9300.379163,9997.995056,10649.49402,11242.28036,11783.62018,12243.62325,12641.48214,12982.3348,13272.43337,13411.23944,13487.2244,13550.96889,13608.20153,13661.55208,13711.72629
Alston,95.82118505,130.9272833,176.6862309,234.3748839,307.3485414,411.9119032,538.5728193,676.1913752,812.1605354,947.4018392,1079.5385,1207.85834,1348.560606,1486.460552,1617.322706,1740.45368,1853.637997,1958.064467,2048.680594,2128.574732,2198.670979,2259.930411,2312.325757,2352.894944,2387.13309,2415.389032,2436.497948,2450.862474
Ambleside,184.4016573,249.1552941,329.7198403,425.9390552,541.8755545,706.7631964,905.373549,1119.904187,1330.740981,1540.146734,1744.516545,1942.785744,2156.977721,2366.548072,2565.146887,2751.753963,2922.930914,3080.5776,3216.782268,3336.414798,3440.890563,3531.430025,3606.432677,3663.878916,3693.954618,3719.071194,3742.030127,3762.776871
Ancoats North T11 & T12,372.1993521,510.2448903,667.0968006,830.1110855,996.7281921,1232.321563,1514.77887,1816.792943,2110.888547,2401.609129,2684.269851,2957.574253,3249.722643,3534.69611,3804.216833,4049.010539,4248.008365,4431.290843,4587.915404,4716.51934,4799.251947,4853.388055,4896.808738,4928.469013,4957.257771,4982.978237,5006.841277,5028.859268
Ancoats North T14,55.12449547,75.41541971,97.00767894,117.0570369,134.4027077,158.7338963,187.8269026,218.9532942,249.2517916,279.2633051,308.5092366,336.84234,367.1895429,396.8881014,425.0141243,448.0781481,457.539674,466.4278059,473.7751843,480.290221,486.1551168,491.3233042,495.8660354,499.1913473,502.2122818,504.9074162,507.4025196,509.6981604
Annie Pit,583.1503755,806.1959295,1094.542447,1450.967419,1889.116909,2513.128971,3262.640693,4062.15281,4839.76333,5606.247106,6349.253438,7065.799368,7828.998145,8570.503405,9270.569917,9926.348133,10525.51062,11074.94992,11546.17186,11957.49422,12314.05032,12622.08873,12845.79713,12996.60276,13124.61416,13227.68451,13316.7509,13392.40557
Ansdell,520.5269772,699.970475,930.0493952,1209.899644,1550.421133,2033.734269,2612.483021,3226.997092,3822.160911,4407.710504,4974.426512,5520.186978,6085.99118,6633.667842,7149.346531,7631.05883,8069.567907,8470.190343,8811.263387,9106.804813,9360.667113,9577.914367,9757.7813,9894.180904,10005.46805,10083.94358,10125.24742,10160.67616
Ardwick,239.4680512,330.0998732,436.6951648,553.0506207,679.0485073,858.0118837,1073.009075,1302.834149,1526.662607,1747.648953,1962.238298,2169.497571,2391.284426,2607.313612,2811.522176,3003.001757,3178.05118,3338.780785,3476.654999,3565.684215,3621.573369,3668.695188,3709.49957,3739.754295,3766.322195,3789.317236,3809.844598,3827.330089
Arnside,222.9151185,302.9801811,405.7689147,532.8179561,690.2416585,914.2903756,1183.831693,1473.520769,1757.064876,2037.842285,2311.130645,2575.636896,2859.517856,3136.468996,3398.513708,3644.416737,3869.634925,4076.68168,4255.079678,4411.393063,4547.51132,4665.64371,4765.77014,4842.698671,4906.963947,4955.222809,4983.096394,5008.004077
Ashton (Golborne),854.0490445,1155.19715,1538.721412,2001.768478,2562.318587,3361.692194,4323.802067,5353.752319,6358.473752,7350.448727,8313.498152,9243.493596,10226.67906,11182.51566,12085.01758,12930.25621,13702.37312,14410.24702,15016.96527,15545.98954,16003.90256,16372.61383,16647.40912,16856.59823,17033.68896,17181.0589,17305.22673,17395.48258
Ashton (Ribble),388.9001557,532.0616458,710.0962205,919.1067107,1164.244024,1513.141746,1932.301448,2379.589762,2814.673358,3243.63479,3659.594905,4060.854711,4485.655319,4898.351302,5287.888212,5652.646885,5985.685911,6290.929065,6524.440216,6710.965098,6873.064489,7013.821896,7133.017516,7223.370738,7298.560533,7361.141938,7413.180678,7455.437134
Ashton On Mersey,773.6451778,1044.190041,1384.314449,1785.856144,2259.859558,2933.415489,3740.532114,4596.480552,5424.58892,6238.368594,7025.200779,7782.27147,8564.854321,9321.565039,10033.63788,10698.45454,11303.17241,11855.18201,12324.23582,12730.03815,13077.89885,13367.07618,13570.83777,13711.11371,13805.54972,13884.47078,13942.07513,13988.02705
Ashton Under Lyne T11 & T12,512.5066842,705.0671061,948.7118138,1242.360924,1595.478347,2097.829369,2701.028437,3344.802739,3971.156007,4588.890672,5188.033376,5766.117341,6381.290606,6979.294752,7543.986809,8073.014012,8556.403875,8999.741986,9379.922043,9696.561211,9944.939678,10160.51024,10342.9948,10482.20285,10597.98607,10692.69177,10760.57457,10814.41722
Ashton Under Lyne T13,156.6184928,215.7443567,288.6931998,373.6462823,472.3357263,612.762171,781.4607802,961.5237475,1136.711034,1309.469104,1477.023552,1638.68412,1810.801276,1978.139574,2136.168515,2284.22708,2419.50342,2543.577169,2649.925677,2734.126497,2792.32284,2843.129885,2886.384432,2919.165649,2947.052399,2970.42135,2990.389911,3006.4399
Ashwood Dale,689.0382028,934.6609749,1253.133486,1651.243521,2148.943614,2856.195434,3705.423023,4615.10468,5502.931098,6380.790068,7234.110691,8059.052917,8938.046559,9794.092837,10603.20638,11361.74662,12055.57134,12692.61181,13240.2199,13718.98661,14134.82095,14494.9344,14799.39726,15033.21499,15228.6501,15378.89045,15498.2666,15587.06894
Askam & Dalton,746.4078485,1018.044306,1370.109511,1815.321302,2378.909814,3179.127277,4140.686186,5176.06213,6191.094862,7198.063527,8179.707228,9131.115791,10161.56026,11168.97934,12123.34487,13019.96731,13842.47411,14599.83392,15254.47151,15829.75006,16332.47144,16768.45091,17129.51847,17408.30318,17644.19451,17840.22017,18005.63094,18141.22741
Askerton Castle,25.54962329,34.73649724,46.7544661,61.83339547,80.79720165,107.9622522,140.8188837,176.33168,211.2659666,245.9115384,279.6758574,312.3918833,347.7707474,382.334493,415.0712262,445.8192642,474.0192311,499.9744729,522.398639,542.0906443,559.2842604,574.2424287,586.9658186,596.7813942,605.0234724,611.5611463,616.7304923,620.2934229
Aspatria,316.3738775,433.1332484,586.323491,780.6803011,1027.453747,1380.648879,1807.790213,2270.369126,2726.163298,3178.823687,3620.499346,4048.91353,4516.438035,4973.991639,5407.828657,5815.739325,6190.352812,6535.639967,6834.747922,7098.07453,7328.699795,7529.933962,7701.735335,7834.709105,7946.806618,8037.856064,8112.383521,8165.091614
Atherton Town Centre,1386.827544,1882.017226,2523.652451,3313.572508,4285.441581,5671.741144,7339.358047,9121.058318,10856.32669,12567.55483,14227.08036,15828.11272,17517.44131,19157.83444,20705.74538,22154.72215,23477.55756,24689.49914,25727.23528,26631.28539,27412.76092,28086.32022,28635.70073,29025.60711,29348.95879,29600.5224,29793.80533,29942.42988
Athletic St,452.6871349,618.4660654,833.6174534,1101.511372,1434.136991,1907.39109,2475.718542,3083.014654,3674.506237,4258.30451,4824.882388,5371.848688,5953.177262,6518.417954,7052.231788,7552.347255,8009.372095,8428.593502,8788.316976,9102.357248,9374.638428,9609.999338,9805.567414,9941.731245,10056.14809,10147.11461,10215.36594,10272.74004
Avenham,241.6186477,330.4056603,426.8558286,519.096942,602.6988168,720.6943619,862.1809777,1013.336424,1160.33768,1305.587678,1446.803224,1583.333315,1728.324325,1869.755864,2003.481602,2089.535034,2147.158976,2200.849923,2245.614441,2284.875293,2319.531535,2350.271532,2376.822562,2396.565591,2413.84275,2428.749076,2442.00412,2453.711375
Baguley,713.3641944,978.4392467,1308.717875,1698.550504,2157.481359,2808.700827,3588.764403,4417.934832,5221.737698,6013.09077,6779.480768,7517.948823,8296.303089,9051.44781,9763.601271,10429.97002,11037.80781,11589.20351,12054.61779,12459.57592,12809.30546,13099.93253,13327.16486,13476.73402,13562.04457,13632.49926,13685.631,13733.02405
Bamber Bridge,611.155079,832.788779,1117.574758,1464.855055,1889.536252,2498.609312,3235.582991,4030.381368,4810.759054,5583.387191,6335.28943,7062.930505,7845.554302,8608.918433,9331.278432,10009.20528,10630.22493,11201.15346,11693.20638,12124.40852,12499.94461,12825.73426,13093.56314,13261.75115,13405.15809,13513.56665,13601.28297,13677.99849
Barbara St,694.4515843,948.5031377,1255.304415,1599.270282,1983.622907,2531.64119,3191.188812,3895.411789,4580.700862,5256.12992,5910.969554,6542.559536,7209.288938,7856.829679,8467.903225,9039.819158,9553.047679,10021.29739,10421.36142,10763.65926,10977.46852,11156.22579,11308.31424,11422.26309,11497.52257,11550.22277,11599.28367,11644.74426
Barrow,670.4451251,914.7161014,1227.097051,1611.609599,2085.023718,2756.846603,3562.576071,4424.145099,5263.749097,6093.372919,6899.354927,7678.144936,8508.492781,9316.96247,10080.98677,10797.20189,11452.25311,12053.58421,12570.26704,13021.94299,13400.99379,13715.33428,13981.65053,14185.59085,14356.79406,14496.30497,14601.30877,14676.10809
Barton Dock Rd,142.9501599,196.0995047,263.2688526,343.083858,437.8724928,573.7833157,738.0375235,914.3387168,1086.731327,1256.936467,1422.177712,1581.747107,1752.174599,1917.984261,2074.663821,2221.526188,2355.817829,2479.066487,2584.899655,2677.332402,2757.54042,2810.586116,2852.886061,2884.956008,2912.370506,2935.436222,2955.247424,2972.027719
Bedford,735.876581,999.4626731,1346.917223,1782.573458,2327.132219,3104.573928,4040.01744,5039.003463,6011.660824,6970.395843,7899.745305,8795.983617,9740.949714,10658.03812,11523.19473,12332.87957,13071.93008,13748.82352,14328.28153,14832.94824,15269.18839,15645.181,15961.22473,16195.13749,16388.15794,16545.03364,16665.80124,16763.95249
Belgrave,527.2689115,724.4242481,965.6599309,1243.465252,1562.313237,2014.98094,2557.658357,3135.113622,3695.378124,4247.195155,4781.830398,5297.177535,5841.913839,6370.777055,6869.745445,7336.818723,7748.889352,8119.632004,8436.121847,8711.718639,8950.060318,9155.505944,9294.670082,9372.280101,9426.57101,9474.295442,9517.788485,9556.931851
Benchill,264.0350991,362.3476717,473.752583,588.7226736,704.8140723,868.6935965,1064.731783,1273.288486,1475.475162,1674.832185,1868.234187,2054.868334,2252.491123,2444.762737,2617.246299,2750.369321,2871.947108,2983.84895,3078.815896,3161.665618,3233.677721,3288.852287,3325.088058,3350.946898,3367.429401,3382.27348,3395.10489,3406.730143
