Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,612.8378435,764.2133174,995.0792799,1300.702726,1696.89731,2259.017923,2885.232813,3536.704556,4159.97172,4761.469953,5330.150096,5896.155291,6486.144654,7089.425921,7653.415797,8178.209607,8650.489329,9077.42417,9449.802909,9770.25407,10030.071,10232.71152,10404.00025,10542.62488,10650.45659,10730.88757,10783.05947,10820.59048
Alderley & Chelford,889.9463082,1081.607752,1372.740622,1742.220969,2203.296659,2854.083994,3573.298732,4320.484349,5034.860226,5723.76018,6374.671039,7023.653954,7682.450651,8356.752857,8985.579108,9569.225299,10092.53245,10563.85365,10972.71371,11321.9528,11619.11888,11870.61405,11988.70951,12062.59968,12124.50662,12181.84359,12231.54925,12273.82436
Alston,95.82118505,119.5631771,157.2408031,209.6993987,281.319923,384.2180175,500.8586051,624.8797031,745.7269781,863.5625746,976.0048583,1088.387841,1210.380635,1335.642692,1453.549541,1563.904665,1664.066456,1755.377902,1836.02396,1906.392177,1967.798541,2021.23913,2067.057404,2104.364024,2135.848085,2162.217493,2181.461116,2193.848891
Ambleside,184.4016573,227.5293416,293.432104,381.0952874,495.9854,659.2457078,841.9736694,1034.922097,1221.888293,1403.853174,1577.207875,1750.622826,1935.963464,2126.435602,2305.395247,2472.620163,2624.002796,2761.695508,2882.874634,2988.156804,3079.578298,3158.444401,3223.898425,3276.871752,3305.105161,3329.25284,3350.338639,3368.187303
Ancoats North T11 & T12,372.1993521,465.9571228,593.6786139,742.7152286,912.3176474,1149.469447,1408.704645,1678.928594,1938.220917,2189.08142,2426.833704,2665.037569,2916.740513,3176.062105,3418.994619,3638.284974,3813.564587,3972.591379,4111.681749,4224.204787,4295.304332,4340.778727,4377.404319,4407.886086,4435.424887,4460.682138,4482.757545,4501.499961
Ancoats North T14,55.12449547,68.86958135,86.33137547,104.7330236,123.0204614,148.0618124,174.6740962,202.338383,228.8633555,254.5502117,278.9215149,303.5249209,329.5655456,356.6194149,381.9763877,402.6257719,410.7470956,418.1461218,424.5964903,430.1570935,435.1061794,439.4302955,443.2695336,446.4629052,449.3461822,451.9850149,454.2909087,456.2478539
Annie Pit,583.1503755,736.2204753,974.0811865,1298.206489,1729.132082,2344.164914,3034.170326,3753.903014,4443.877688,5110.128548,5740.325337,6366.913951,7026.801538,7700.931066,8331.814419,8919.434245,9449.066739,9928.540495,10347.65899,10709.36016,11021.00791,11288.95807,11483.24365,11623.80129,11743.03274,11841.21086,11922.83963,11987.98971
Ansdell,520.5269772,639.2150803,827.6916263,1082.518842,1419.119647,1897.001137,2429.540732,2982.121717,3509.513676,4017.6551,4497.351826,4974.179658,5462.391406,5960.608887,6425.390137,6856.975651,7244.293269,7593.409308,7896.638813,8156.228293,8377.74604,8566.305942,8722.773605,8849.081169,8952.228035,9026.984442,9065.402068,9095.160727
Ardwick,239.4680512,301.4481675,388.6341231,494.8242775,621.5415011,800.3255608,997.8703146,1203.970719,1401.783814,1592.992716,1774.048922,1954.910355,2146.261983,2342.772816,2526.822106,2698.381756,2853.031914,2993.171117,3115.77212,3193.494873,3241.288424,3281.211774,3316.033014,3344.732589,3369.854861,3392.135969,3411.05473,3425.971046
Arnside,222.9151185,276.6823855,361.1115008,476.7217508,631.7867309,852.8203064,1100.932444,1361.705065,1613.339509,1857.505714,2089.480587,2320.878026,2566.517975,2818.239535,3054.373762,3274.732562,3473.887395,3654.689135,3813.394954,3950.927867,4069.997843,4172.863726,4260.264983,4331.175468,4390.425315,4435.835924,4461.498124,4482.831782
Ashton (Golborne),854.0490445,1054.929409,1369.37547,1791.018044,2345.321908,3135.677071,4021.022589,4947.491616,5838.359794,6699.979,7516.188249,8329.210224,9178.804597,10047.92579,10861.26577,11618.63039,12301.03154,12918.58853,13458.17797,13923.2851,14323.40556,14643.35697,14881.61872,15076.07425,15240.61314,15380.20816,15493.82763,15571.2777
Ashton (Ribble),388.9001557,485.8802475,631.945678,822.3412055,1065.646961,1411.409375,1796.989698,2199.0185,2584.437148,2956.592962,3308.619755,3659.191433,4026.033614,4401.359398,4752.426619,5079.250851,5373.529866,5639.731503,5847.191893,6010.468493,6151.355252,6273.030002,6376.41847,6460.382582,6530.26704,6589.576112,6637.216916,6673.610888
Ashton On Mersey,773.6451778,953.5573922,1231.961962,1597.837418,2068.477417,2736.194499,3478.596821,4247.684173,4980.86539,5686.311153,6351.445634,7012.519068,7687.25837,8375.789192,9017.612674,9613.219333,10147.19706,10628.00785,11044.95855,11401.26526,11704.64818,11955.26079,12131.37924,12262.84007,12352.28863,12429.15539,12482.70896,12521.1504
Ashton Under Lyne T11 & T12,512.5066842,643.8693387,844.3001287,1111.562529,1460.361073,1956.786961,2511.885649,3090.987876,3646.321188,4182.801932,4690.472625,5195.784798,5727.43304,6271.168126,6780.068393,7254.099562,7681.340527,8068.145082,8406.269705,8684.425385,8900.666801,9087.368698,9245.913516,9374.991697,9482.373792,9571.926047,9634.227288,9680.346196
Ashton Under Lyne T13,156.6184928,197.0183761,256.9207026,334.3080087,432.3347349,571.5646106,726.7380424,888.5600968,1043.729715,1193.589102,1335.368922,1476.600204,1625.257914,1777.435441,1919.856038,2052.518506,2172.060827,2280.281997,2374.85875,2448.735901,2499.11372,2542.841739,2580.225685,2610.820847,2636.826681,2659.073515,2677.375255,2691.164809
Ashwood Dale,689.0382028,853.5351297,1115.218286,1477.397098,1966.95468,2664.166145,3445.946287,4264.89504,5052.799292,5816.129198,6540.319944,7261.923779,8022.211546,8800.37382,9529.505583,10209.22806,10822.64817,11378.75216,11865.86188,12286.98638,12650.5877,12963.99591,13229.62545,13445.29082,13625.5843,13766.93589,13876.00838,13952.50622
Askam & Dalton,746.4078485,929.6810314,1219.320366,1624.200422,2177.445588,2965.386459,3850.729619,4783.285155,5684.672255,6561.078957,7395.228606,8227.947822,9120.358179,10035.76288,10895.71197,11699.24132,12426.80441,13088.55059,13671.03064,14177.42643,14617.47291,14997.3862,15312.59074,15569.50387,15786.85294,15970.27875,16120.91806,16238.81881
Askerton Castle,25.54962329,31.72147064,41.60884388,55.32344435,73.95467843,100.7036752,130.9578708,162.9510401,193.984716,224.1498723,252.8534144,281.4928838,312.1364927,343.542431,373.0403263,400.5960257,425.5412885,448.220248,468.1727452,485.5067327,500.5563644,513.5915964,524.7063643,533.7447383,541.3348046,547.4597222,552.1751371,555.2453688
Aspatria,316.3738775,395.5385464,521.7949136,698.488622,940.4411279,1287.824341,1681.197514,2098.085893,2503.167082,2897.517245,3273.273674,3648.431366,4053.662186,4469.325187,4860.221667,5225.799438,5557.265485,5859.111466,6125.289115,6357.171093,6559.146368,6734.630899,6884.812401,7007.146672,7110.274566,7195.359735,7263.231733,7308.846325
