Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,45.24163823,82.77571079,144.1045037,218.6137217,340.9240015,456.4839265,540.7907818,601.1430069,644.2497191,683.0318059,716.6727041,857.5359924,1338.329124,1807.878844,2267.171572,2704.778486,3108.693534,3481.294476,3832.178666,4138.362,4419.349515,4713.632841,5011.798927,5308.062793,5594.271674,5868.178206,6125.049409,6022.702039
Alderley & Chelford,66.6953486,122.3681052,213.9426294,320.858628,467.4300441,615.1772403,744.2740088,858.4674853,958.0749021,1049.585107,1138.357798,1317.93968,1793.439689,2285.308254,2779.559461,3262.528323,3711.035754,4119.239437,4523.626932,4900.585399,5264.739403,5651.648719,6053.524854,6471.450251,6897.677497,7327.50881,7750.48083,7797.435623
Alston,5.566181893,10.37640149,16.49038381,24.40583935,44.66034937,66.47682382,83.72251474,96.66416987,104.11202,108.7384767,112.4576704,132.7876932,209.1620792,285.9502119,362.5977613,436.7762425,508.9118789,580.4279962,650.5313958,710.6637315,765.9260646,825.966947,890.0988599,959.6708479,1032.26558,1105.753504,1179.302927,1180.176536
Ambleside,25.20028983,42.82764747,72.73620899,108.5175879,171.9565727,237.3838082,290.326426,334.0896293,367.9051195,396.5831036,423.548157,494.8477255,710.0700421,930.1030012,1151.127999,1366.271036,1573.326737,1769.099188,1962.46839,2135.16057,2296.406399,2472.622073,2657.310331,2851.128899,3049.943655,3250.258686,3450.546949,3462.053591
Ancoats North T11 & T12,376.9912957,415.3125425,518.5409635,628.4887872,749.2435037,867.8340311,976.1535072,1071.183185,1154.107954,1230.671239,1299.631918,1387.718963,1549.315038,1722.408639,1885.853506,2032.633091,2150.345088,2228.520782,2299.747534,2356.022473,2402.22783,2452.596939,2507.122189,2566.345838,2629.703713,2692.224723,2748.321975,2728.331049
Ancoats North T14,97.68927521,102.956568,122.709514,143.8933414,166.4851181,189.2218477,210.7808148,230.5477256,248.8282144,266.7685928,283.6474849,303.9580405,336.7831083,373.6345822,408.2001334,440.5324811,468.1846014,488.5240533,508.1550129,526.032832,542.6097122,560.6981784,580.4360286,601.9921289,626.0299977,650.9849519,675.427002,684.7605559
Annie Pit,59.28535657,106.8644075,178.5456598,277.4817087,451.4160701,631.3133085,775.4971329,865.4515349,919.3538456,960.0467623,998.682063,1176.796764,1815.94814,2455.231194,3102.050505,3737.021456,4348.182414,4938.271749,5508.448071,6011.020182,6485.318435,6994.8544,7553.327508,8150.381014,8759.06175,9371.709759,9975.68631,9987.294404
Ansdell,98.9633505,151.7401621,219.903215,301.5192226,413.9794597,526.6516756,626.2708685,703.9171017,753.4068417,790.4551555,824.1983449,941.3096488,1342.329654,1747.495126,2152.345857,2542.986365,2900.938324,3243.359069,3576.784156,3887.396336,4187.818044,4503.825067,4840.481592,5205.525532,5586.225133,5975.511722,6349.700664,6374.868649
Ardwick,85.66774925,130.5736813,214.5274843,306.9620931,418.7979461,529.5461743,627.7034785,708.5257008,773.9491736,832.2586992,884.9016377,975.0265973,1195.626681,1418.922135,1636.346896,1836.543048,2006.973561,2144.670607,2272.184191,2378.470288,2471.576171,2568.846459,2671.598332,2779.610344,2886.489125,2989.383707,3082.696869,3042.675216
Arnside,9.375095396,15.54193198,23.13418024,34.18916783,65.16814193,97.33126481,119.6817792,135.5338665,144.8353525,150.7400644,155.48502,199.31688,368.7763694,538.9853705,709.0451096,875.7983609,1039.761256,1203.016942,1363.676231,1508.086007,1645.656565,1793.812848,1948.510508,2110.067464,2275.347923,2441.742999,2608.089612,2609.914767
Ashton (Golborne),41.1470902,64.76955664,100.3588789,153.7022396,258.9992896,364.3644593,444.0206211,495.6830724,529.1091874,556.8889221,582.9368255,761.6377783,1419.127288,2076.819881,2740.013742,3397.360488,4041.213016,4672.313005,5291.522601,5866.049193,6424.405162,7010.988618,7624.177559,8257.646179,8897.983843,9541.685759,10180.45107,10195.925
Ashton (Ribble),33.08985773,59.31149455,101.7970222,155.5492208,240.4550874,325.3562117,397.2247297,453.3596266,498.0308135,537.7421476,575.0992571,671.369367,960.369406,1253.437297,1550.166589,1839.828968,2113.790417,2371.952988,2623.436227,2848.774031,3064.483726,3295.540091,3541.706646,3801.049347,4065.578765,4332.404252,4596.076116,4612.463607
Ashton On Mersey,105.2370616,158.040635,227.6428285,315.7734192,448.0174089,580.8834596,693.0310999,770.7400375,814.0534357,843.3672018,868.8645315,1003.489539,1492.48349,1968.730027,2431.137086,2867.044866,3260.473518,3623.982797,3963.365881,4259.224949,4530.651811,4804.595214,5089.377005,5387.566454,5684.024098,5971.401736,6232.651647,6133.865846
Ashton Under Lyne T11 & T12,71.45272384,114.0311295,178.5900676,262.7063865,394.1785564,526.7120308,635.7949347,711.5761536,764.6602391,808.6665173,850.2457461,995.6616672,1472.37299,1941.645355,2399.494752,2833.389902,3228.957414,3590.224449,3928.811659,4221.681153,4487.79192,4761.782797,5046.635088,5338.291334,5623.410441,5897.60829,6151.468985,6060.639223
Ashton Under Lyne T13,20.40191676,33.07279442,52.32104669,77.30465845,117.7267968,159.2211447,192.8804535,217.3045574,235.2923356,250.8337257,266.0116941,321.6931968,507.6556272,696.0701036,884.8698818,1070.2985,1247.201791,1417.661669,1584.762246,1739.55602,1888.034531,2046.017875,2212.941968,2387.638365,2565.278244,2743.995188,2919.768155,2929.234073
Ashwood Dale,95.66484162,164.2612781,261.5252029,380.4201122,545.4690876,711.3056548,853.74184,954.1372274,1020.027924,1071.858808,1116.57232,1261.29694,1735.045846,2201.516821,2656.467753,3080.611828,3454.798968,3791.662211,4104.15908,4372.104811,4614.354681,4864.739754,5131.185388,5413.225639,5693.389386,5964.146544,6209.57867,6118.351625
