Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,45.24163823,59.01314991,74.62189549,92.30506313,111.6630932,111.5626809,124.4588785,180.6450791,235.1290863,289.0065159,339.8201682,390.1363102,444.2395118,503.1376027,563.1637618,620.9486844,679.3747037,754.4671476,830.4883066,908.0131977,988.640197,1068.466959,1106.126969,1143.661466,1181.070525,1218.353598,1255.507107,1292.530846
Alderley & Chelford,66.6953486,92.18265893,121.3652477,154.5498031,190.600478,192.5174263,213.4851826,301.8763572,391.43796,480.6625695,568.1791261,657.457621,752.7240939,860.4165718,969.2538994,1076.52194,1185.191513,1316.486626,1452.430346,1591.268224,1743.508097,1895.365602,1971.918666,2048.444867,2124.944545,2201.41626,2277.849848,2354.244883
Alston,5.566181893,10.12221158,16.67273231,24.9652732,34.05415657,34.27289602,35.19315758,39.1765346,43.06490498,46.84109731,50.43058764,53.95838848,57.73015251,61.78351491,65.80521158,69.63040696,73.02595389,87.28082503,100.7499159,113.3975456,133.9362555,154.8751405,172.9679704,191.0567656,209.1412569,227.2211524,245.2958156,263.3656083
Ambleside,25.20028983,34.84864991,47.87882516,63.95769015,81.60877076,82.14449882,89.17208301,118.9292718,148.1057613,176.5618487,204.0515564,231.7969282,260.7052106,292.8950417,325.3920172,356.8282614,388.1806439,436.5500867,484.9227083,533.1786112,593.916926,655.0725609,694.0396859,733.0053552,771.9692441,810.9303086,849.8836752,888.8296094
Ancoats North T11 & T12,376.9912957,385.5044531,401.1676745,418.2646924,434.0358292,429.0537081,449.4296248,557.4913608,664.447751,769.7380862,869.433489,969.4843026,1073.218868,1192.023026,1303.960958,1410.731028,1523.124143,1639.498238,1757.469403,1876.765906,2000.864461,2110.478455,2148.690145,2186.934823,2225.214179,2263.490803,2301.539903,2339.345096
Ancoats North T14,97.68927521,98.49280808,101.2942419,104.4022907,107.1343917,105.9248065,108.9933977,127.4885611,145.905673,164.1107113,181.2841208,198.6808126,216.486803,237.2685096,255.7609757,273.7122446,293.9981491,314.5784236,335.5186662,356.7980448,378.8785474,396.3676975,403.2196415,410.1192022,417.0670543,424.0529274,431.0139082,437.9452938
Annie Pit,59.28535657,80.3540159,104.3708328,132.0359039,162.0419208,162.1629933,173.7021317,223.9918667,271.8089484,316.2786692,358.7228073,400.2638305,443.352319,491.5247586,538.9584533,583.2319446,630.3886252,696.0964617,762.5194447,829.5314137,898.8886779,969.7278282,1006.557966,1043.382693,1080.201928,1117.015395,1153.821713,1190.62092
Ansdell,98.9633505,137.5680838,179.3922352,225.5327163,275.1897451,277.7805948,285.6564473,318.5811311,351.7560841,384.8588032,417.1808707,450.0845028,485.0975972,524.0694014,562.2282167,597.9691602,633.4510162,681.2883906,729.8695368,779.5832119,835.7410058,891.9626085,922.1996546,952.4345456,982.6674158,1012.897914,1043.123308,1073.343622
Ardwick,85.66774925,102.1535448,121.1458,142.4234773,164.7284852,164.1067189,182.2608105,264.133916,344.6678842,423.6472079,498.9011414,574.3507155,654.2394899,743.5156611,830.7753765,913.5838225,996.8696754,1088.752931,1181.713736,1275.261624,1373.659624,1466.949391,1502.956689,1538.831356,1574.573655,1610.180991,1645.637036,1680.940761
Arnside,9.375095396,15.22480518,23.47928883,33.88556595,45.28482472,45.59803395,46.64921587,51.06077408,55.55156095,60.03307632,64.34530632,68.70524942,73.38819755,78.60673009,83.87485628,88.86348274,93.37476305,111.0982607,128.0008917,144.0149322,169.4429665,195.5242282,217.9165923,240.306029,262.6922207,285.0748251,307.453096,329.8274863
Ashton (Golborne),41.1470902,52.29107311,64.43932816,78.07341943,92.70520307,93.1866411,99.49048309,126.2361981,152.9386632,179.4113166,205.2039458,231.7733788,260.0274051,291.8453251,324.5506369,356.2549604,394.7474858,458.5063811,523.5476537,589.3767856,657.5694236,726.7756467,773.0763588,819.362986,865.6355923,911.8940453,958.1373235,1004.365416
Ashton (Ribble),33.08985773,43.37513592,55.02602443,68.39017432,82.73104878,82.99598633,92.34010282,132.2990123,172.3258497,211.7735516,249.7567172,288.1287911,328.9955955,374.496234,420.589057,464.1922573,508.3555753,567.5895966,627.389642,687.9041455,753.2966886,819.078915,853.0359086,886.9884151,920.9363954,954.879449,988.8153974,1022.744223
Ashton On Mersey,105.2370616,145.4214881,188.8163558,236.3040674,286.9620077,289.490258,298.1042537,335.3756434,373.6806747,412.549951,451.2265002,491.3929623,534.5261518,583.2299563,630.757823,677.1761117,727.6363037,798.8598577,872.07131,947.5051052,1030.601453,1111.275608,1160.340768,1209.217581,1257.906874,1306.407892,1354.712226,1402.819704
Ashton Under Lyne T11 & T12,71.45272384,96.18356906,123.8754902,155.5348124,189.8731628,191.5896464,203.978432,256.3205315,310.7948131,365.9891108,421.408689,478.9864908,541.0298501,612.450426,684.1147459,754.9593697,830.136474,923.8298175,1021.10892,1120.369368,1225.037821,1328.126743,1384.538135,1440.753833,1496.774586,1552.599527,1608.219941,1663.63547
Ashton Under Lyne T13,20.40191676,28.30408921,37.2698117,47.57546143,58.78987315,59.4074582,62.59708733,75.82509307,89.63730338,103.65466,117.7573497,132.4338434,148.244579,166.5203447,184.5440467,202.4806546,221.5440226,244.7041107,268.8661936,293.5981865,319.9679129,345.3074334,359.5082436,373.7058107,387.900407,402.09164,416.2758594,430.4528639
Ashwood Dale,95.66484162,140.0950153,189.6513998,245.7751561,306.7343288,309.4456579,325.0728259,391.2778176,458.6728083,526.25873,591.4601988,658.8492942,730.1737355,809.9444891,889.9343551,966.5441656,1046.619139,1148.495126,1252.597731,1357.461618,1470.018139,1581.822786,1640.29954,1698.590581,1756.696107,1814.615467,1872.343616,1929.880436
Askam & Dalton,32.49576062,53.99087439,83.56617297,120.4085334,160.4117242,160.46985,165.6845638,189.4552276,211.6177439,232.1106695,250.772153,268.8424124,287.2586949,307.2287526,327.0004791,345.0737093,361.0082546,419.6228479,475.0734604,527.3936124,610.3083739,694.4724337,763.6530734,832.6952457,901.5978779,970.3597871,1038.97832,1107.45493
Askerton Castle,2.639003311,4.891645584,8.198353882,12.42224254,17.05479071,17.17255805,17.24567581,17.56377773,17.86755684,18.15578203,18.42016478,18.67991642,18.94264978,19.23519787,19.51926655,19.74829716,19.81602083,25.85778132,31.47824954,36.64218917,46.01715721,55.63842567,65.04369369,74.44576027,83.84447712,93.23968688,102.631061,112.018797
Aspatria,21.77933879,36.94048487,58.17323209,84.80319489,113.8839083,114.2288371,119.7775031,143.8672073,166.7775235,188.0833595,208.4122359,228.3139125,248.9648427,272.0725626,295.1368827,316.683312,336.3128368,388.3635953,438.5077851,486.5154939,557.6274151,630.8843497,687.4227456,743.9437496,800.4465292,856.9300749,913.3918166,969.8327962
Atherton Town Centre,117.7186655,160.1767145,207.2095649,260.3282915,317.697531,319.7124159,349.4560345,475.7053574,601.8695291,727.4085468,849.8351531,976.0989556,1110.624249,1262.34682,1419.184162,1571.747058,1730.435707,1927.853276,2131.535999,2339.318348,2557.095617,2779.024991,2892.590546,3006.138347,3119.668668,3233.180844,3346.669609,3460.13476
Athletic St,47.09123774,69.65096164,94.8046628,123.0535291,153.4046706,154.7770329,161.001694,187.6838853,214.5453842,241.1246245,267.6236899,294.1535496,322.2795398,354.3078044,385.9686098,416.5693905,450.0181868,502.7279772,556.3595262,610.0720684,669.1438523,728.6086121,766.359871,804.0825827,841.7767777,879.4421852,917.0769046,954.6809953
Avenham,62.13598703,78.3671067,97.35577487,119.4060007,143.3624441,143.518713,149.5190927,177.4756364,205.4599342,232.7839091,258.7150893,284.7248579,312.1356704,342.9119486,371.1679215,397.8512902,425.3340339,457.7105899,490.4447542,523.673765,559.3004537,590.503884,604.6519947,618.7622521,632.8347305,646.8673191,660.8472638,674.7736915
Baguley,141.1252457,187.5561464,237.1042243,290.6648425,347.0333688,348.444758,357.2515704,398.5990866,439.2520049,479.0771963,516.9549357,554.913628,595.1826343,640.1040253,683.231608,722.2378678,764.6944271,834.8482687,905.4434245,976.3335226,1054.190699,1131.361957,1178.624068,1225.665892,1272.487913,1319.090062,1365.469651,1411.627128
Bamber Bridge,50.78006076,68.85519349,88.6553026,110.9524083,135.1339662,135.5547525,153.7997308,231.034612,307.9924755,384.5197805,458.5776715,534.865712,614.9668369,705.4247106,795.9030417,884.3373713,975.9960568,1084.851469,1199.086549,1313.946744,1434.080649,1556.468889,1614.369441,1672.244272,1730.093501,1787.916823,1845.711903,1903.478646
Barbara St,61.22179834,81.07559479,102.7217193,126.803019,152.6506976,153.5636711,157.3929395,174.4572555,191.5976414,209.0951537,226.0939063,243.7720488,262.7296145,284.2350427,305.8223395,325.9357354,351.1011807,395.6673974,441.0954963,487.2629585,536.1670431,584.9982927,619.3788816,653.6369556,687.7727123,721.7860117,755.6750858,789.439996
Barrow,43.67819569,64.27974739,87.28276483,113.1538033,140.872933,141.1978341,143.7935995,156.0131664,167.2004727,177.393445,186.3971605,195.0513858,203.711181,212.9736804,221.6718478,228.8354373,239.8879932,274.474295,308.4740775,342.0649185,380.9104322,420.1131866,452.3560065,484.5497084,516.694159,548.789211,580.8344705,612.8301695
Barton Dock Rd,24.5442321,31.74515248,39.71050383,48.74260531,58.57739244,59.53096098,70.15134701,114.4863879,160.2030496,206.7824093,253.417052,302.0155405,354.4996418,413.6989226,474.7854606,535.80582,597.6287559,665.3647102,735.7952786,809.1046229,887.2402744,965.7673835,1002.04687,1038.317496,1074.579562,1110.832668,1147.073107,1183.300629
Bedford,95.89326079,124.6895036,157.917012,196.3800885,238.147202,239.4479818,272.0842155,411.2080267,550.0944092,687.7672702,821.9369489,960.0898863,1106.916652,1272.576516,1441.622443,1607.736157,1776.091891,1967.319044,2165.015412,2366.451662,2580.269344,2793.58022,2892.712267,2991.836895,3090.95448,3190.06351,3289.153217,3388.223094
Belgrave,51.46074335,67.33493044,84.88511779,104.6724983,126.0756561,127.5977976,138.3297016,183.3197364,230.1794739,278.2313533,326.6596629,377.3714156,432.437221,494.2751942,558.6963364,622.3782813,691.3007973,784.5432635,879.2522038,976.0036079,1077.822537,1181.569327,1241.07849,1300.392829,1359.512516,1418.437389,1477.165697,1535.697422
Benchill,30.61022242,39.22815852,48.5060097,58.59995531,69.17782138,69.38492501,71.39290259,80.79230022,90.03495874,99.09179419,107.7082204,116.3433321,125.4996902,135.7038424,145.5417361,154.5650717,164.7689746,181.5832684,198.4956487,215.4659176,233.7327084,251.6592763,262.8825099,274.0530532,285.1710238,296.2363636,307.2481772,318.2065383
Bentham,11.67500292,18.77318108,28.46404622,40.56173568,53.74837829,54.0845936,58.26188026,76.07837801,93.80419705,111.0792918,127.6309688,144.2912293,161.8979826,181.2957485,200.7244571,219.5081775,237.2244152,268.8378364,299.5596277,329.6786325,369.8225518,410.9078918,438.1104024,465.3082119,492.5010105,519.6882689,546.8681142,574.0409006
Bispham,127.5203434,179.6348481,237.1187829,301.5441091,371.2742875,373.8163951,378.2065569,397.9466035,417.889261,438.3774242,459.1257701,480.8821678,504.8886252,532.2067418,559.158925,584.6993175,617.8201277,688.4486687,759.8170517,832.3482507,912.1635964,992.9515664,1055.811459,1118.573509,1181.238155,1243.805266,1306.271767,1368.637923
Blackbull,52.9768142,70.72604264,90.38851649,112.7484004,136.6943825,136.9082757,153.43463,224.1815607,294.896996,364.3514211,430.974374,498.1386268,569.7179381,649.3892332,730.3601325,806.2515736,881.3363164,979.5536423,1078.714297,1179.0688,1286.908499,1396.512791,1449.454701,1502.388763,1555.314903,1608.232829,1661.141161,1714.040032
Blackburn,18.36078156,26.74401809,36.69531326,48.32686815,60.92705614,61.53639297,66.39774894,86.59715526,107.306092,128.6152927,150.1293317,172.3118022,196.3320655,223.4881378,252.9336914,282.4800629,311.6281273,351.6484536,391.7018442,433.2208,480.1883762,527.9735935,555.9881875,583.9989168,612.0057437,640.0084541,668.0058579,695.9980872
