Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,45.24163823,81.6778897,140.2322138,209.6855067,322.1106944,424.5683503,494.793996,540.6583923,569.1185565,592.134037,609.156439,713.9294865,1090.162134,1439.172043,1761.521108,2048.278853,2291.000543,2492.573611,2660.77034,2780.685271,2867.144467,2945.118223,3007.079356,3048.416813,3063.744907,3051.581426,3009.456921,2779.708633
Alderley & Chelford,66.6953486,122.3670319,213.9388762,320.8501847,467.4136435,615.1502591,744.2522463,858.4549343,958.0749021,1049.585107,1138.357798,1317.93968,1793.439689,2285.308254,2779.559461,3262.528323,3711.035754,4119.239437,4523.626932,4900.585399,5264.739403,5651.648719,6053.524854,6471.450251,6897.677497,7327.50881,7750.48083,7797.435623
Alston,5.566181893,10.37640149,16.49038381,24.40583935,44.66034937,66.47682382,83.72251474,96.66416987,104.11202,108.7384767,112.4576704,132.7876932,209.1620792,285.9502119,362.5977613,436.7762425,508.9118789,580.4279962,650.5313958,710.6637315,765.9260646,825.966947,890.0988599,959.6708479,1032.26558,1105.753504,1179.302927,1180.176536
Ambleside,25.20028983,42.82764747,72.73620899,108.5175879,171.9565727,237.3838082,290.326426,334.0896293,367.9051195,396.5831036,423.548157,494.8477255,710.0700421,930.1030012,1151.127999,1366.271036,1573.326737,1769.099188,1962.46839,2135.16057,2296.406399,2472.622073,2657.310331,2851.128899,3049.943655,3250.258686,3450.546949,3462.053591
Ancoats North T11 & T12,376.9912957,409.8044186,504.6070412,602.8212172,707.8977842,807.1584596,893.127085,963.4050001,1019.518105,1066.893697,1104.659277,1155.325835,1262.024832,1371.133009,1465.248946,1539.275544,1584.730598,1595.599606,1596.767939,1583.079728,1558.495025,1532.4036,1504.273314,1473.850651,1440.176993,1400.015928,1350.349366,1259.229715
Ancoats North T14,97.68927521,102.9057768,122.5883427,143.6800314,166.1557796,188.7535668,210.4327714,230.3572269,248.8282144,266.7685928,283.6474849,303.9580405,336.7831083,373.6345822,408.2001334,440.5324811,468.1846014,488.5240533,508.1550129,526.032832,542.6097122,560.6981784,580.4360286,601.9921289,626.0299977,650.9849519,675.427002,684.7605559
Annie Pit,59.28535657,106.8644075,178.5456598,277.4817087,451.4160701,631.3133085,775.4971329,865.4515349,919.3538456,960.0467623,998.682063,1176.796764,1815.94814,2455.231194,3102.050505,3737.021456,4348.182414,4938.271749,5508.448071,6011.020182,6485.318435,6994.8544,7553.327508,8150.381014,8759.06175,9371.709759,9975.68631,9987.294404
Ansdell,98.9633505,151.7401621,219.903215,301.5192226,413.9794597,526.6516756,626.2708685,703.9171017,753.4068417,790.4551555,824.1983449,941.3096488,1342.329654,1747.495126,2152.345857,2542.986365,2900.938324,3243.359069,3576.784156,3887.396336,4187.818044,4503.825067,4840.481592,5205.525532,5586.225133,5975.511722,6349.700664,6374.868649
Ardwick,85.66774925,128.8388029,208.7521728,294.4020242,395.6426395,492.4492136,574.2484732,637.1854674,683.6616604,721.4631883,752.1004257,811.6859663,973.8402193,1129.433743,1271.252933,1390.609942,1478.86588,1535.323519,1577.351699,1597.845075,1603.126397,1604.630889,1602.500424,1595.811405,1580.226632,1553.894935,1513.915708,1403.540449
Arnside,9.375095396,15.54193198,23.13418024,34.18916783,65.16814193,97.33126481,119.6817792,135.5338665,144.8353525,150.7400644,155.48502,199.31688,368.7763694,538.9853705,709.0451096,875.7983609,1039.761256,1203.016942,1363.676231,1508.086007,1645.656565,1793.812848,1948.510508,2110.067464,2275.347923,2441.742999,2608.089612,2609.914767
