Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,45.24163823,72.52217705,132.0901834,194.2655674,260.9390037,315.3962916,363.3665625,418.4015554,473.9889124,533.4554899,592.5126839,655.3852698,731.3523325,810.2307033,888.7088476,961.8234322,1022.670857,1058.966014,1093.414952,1125.83789,1154.565341,1185.902551,1199.000634,1209.517138,1217.412372,1222.744228,1223.43983,1209.056853
Alderley & Chelford,66.6953486,110.0857966,201.3823508,303.9220701,418.2116542,520.3101483,612.6836428,718.1425779,828.8690878,941.7244013,1055.851111,1178.361409,1326.225751,1490.890745,1658.300163,1822.759454,1970.865187,2066.486516,2163.706392,2258.436108,2353.876124,2458.350977,2538.172814,2617.100224,2695.144319,2772.328098,2847.77457,2892.773099
Alston,5.566181893,10.39814206,19.20183783,30.69947295,45.08877581,52.48703023,58.5741945,72.18132233,87.64673327,104.2963807,121.5059014,142.6023705,177.2127331,212.1566262,246.9330812,280.5282541,311.5025101,338.7072041,363.5049003,385.6276918,412.5880841,444.9408608,463.5819695,481.9646879,500.1592315,518.2333885,535.4131704,536.2648219
Ambleside,25.20028983,40.01763209,73.70999745,113.5007712,160.1205913,195.3311978,232.560813,296.8389859,367.4041429,441.9505304,518.6019164,602.1190212,706.6701804,815.6762133,925.5017383,1032.188721,1132.099661,1213.072197,1290.957312,1364.730096,1443.533234,1534.967652,1575.892826,1615.831929,1655.106001,1693.966817,1731.274447,1742.421058
Ancoats North T11 & T12,376.9912957,405.0599955,507.1384414,611.6382708,714.7448179,809.431607,894.1935236,981.7497796,1069.529894,1156.849355,1239.312643,1320.596265,1402.683091,1499.556396,1589.733392,1669.40868,1730.008697,1747.722223,1763.908891,1777.226726,1786.257324,1799.565774,1801.386133,1801.45498,1799.726194,1796.168156,1790.441841,1779.290316
Ancoats North T14,97.68927521,102.225531,121.8210469,142.470267,163.3036088,182.3101409,199.5254789,217.1995287,235.2326277,253.6748051,271.3508745,289.0689112,306.9405451,328.8389614,348.996899,367.7960709,383.028521,390.8070514,398.5349892,405.9830353,412.9138239,421.0327646,428.152215,435.255957,442.3343402,449.3692887,456.2555652,462.3920403
Annie Pit,59.28535657,95.49799684,166.2567421,241.8987205,324.7430925,387.7031141,438.7455121,505.6993854,579.3848107,658.0741303,744.8535352,842.0449171,959.4910606,1083.942889,1207.866665,1327.110438,1436.759598,1519.137836,1601.249532,1682.156084,1759.637552,1848.217687,1894.177485,1936.956918,1976.319966,2012.201024,2040.463444,2040.273369
Ansdell,98.9633505,144.9975595,211.5763704,285.9970472,368.848986,431.8210394,467.86356,504.3721619,541.5804046,580.2586102,620.2525725,665.3929177,722.5555114,784.9689392,847.4560476,906.7491023,955.8598706,988.0308033,1020.008164,1051.804388,1083.804149,1122.977587,1157.751656,1191.818111,1224.914184,1256.84271,1287.495128,1302.951969
Ardwick,85.66774925,119.9894109,203.5030881,289.8904267,377.7006403,455.1668916,523.315378,599.5227939,678.1963195,759.1218352,839.5202672,922.0507214,1010.80033,1107.476487,1200.757518,1284.916747,1352.638008,1385.043746,1415.279368,1442.096062,1464.961133,1492.571613,1499.126095,1502.987075,1504.093401,1502.480631,1496.852662,1482.073043
Arnside,9.375095396,15.45101284,26.02920515,40.09846134,58.06300921,67.21566372,82.28893518,135.0014259,197.7290793,266.6534097,338.7965839,416.8396885,510.9399532,605.3673241,699.3110388,791.4208179,880.1406887,964.1107861,1044.929226,1122.195953,1204.521722,1297.805358,1322.598434,1346.032672,1368.579403,1390.58905,1411.31879,1412.470996
Ashton (Golborne),41.1470902,59.09788987,92.77309088,130.0560796,172.0497382,205.9694354,234.0374187,267.4463071,304.0363216,343.8912218,386.6551707,440.4409717,519.347971,602.8294371,687.703917,770.9440307,849.289162,912.2669314,975.6143172,1038.281569,1099.376962,1165.072107,1216.487167,1266.62859,1315.317458,1362.458759,1406.566989,1417.381383
Ashton (Ribble),33.08985773,52.68945025,94.85668351,140.997955,191.4308973,235.3977878,276.6649815,327.3844517,381.9392485,438.3945773,495.5341076,558.1798634,636.4273026,721.024772,807.0464329,889.4818116,963.575093,1016.266241,1068.361633,1119.312481,1170.028935,1226.152917,1262.865183,1298.862189,1334.159878,1368.785595,1402.601388,1417.272168
Ashton On Mersey,105.2370616,151.6002658,219.3974409,293.610728,374.8378251,435.0661015,468.800683,506.2911064,546.1680669,588.6777169,633.5421239,686.1396432,755.3459965,828.0646068,897.8402449,963.3504396,1017.314245,1052.331254,1086.012907,1118.120692,1148.54839,1183.263469,1205.543546,1225.177596,1241.973848,1255.83769,1266.429061,1257.703488
Ashton Under Lyne T11 & T12,71.45272384,106.1290745,169.5926264,240.5688429,319.3596515,380.4045842,430.1157328,492.8146403,563.5003609,639.6849587,721.412189,811.169696,914.3799404,1023.87495,1130.174331,1230.29755,1316.579704,1374.641318,1430.699893,1482.555493,1529.345698,1581.465778,1604.115559,1622.643709,1636.960388,1647.135338,1650.290264,1635.814613
Ashton Under Lyne T13,20.40191676,31.14730321,50.14640154,71.9714085,96.86234667,115.7009861,131.1984118,152.9297969,178.6544054,207.884552,240.7269335,277.4050191,318.2828662,361.925188,405.2144103,447.5610744,486.1618441,517.1656243,548.1540107,578.4526333,607.8343626,640.9198059,658.9056572,675.5068712,690.5769094,704.0558104,714.2647791,718.8604833
Ashwood Dale,95.66484162,153.3742326,249.5895481,356.4543439,474.3273502,561.7323737,621.5530372,684.8644314,751.6769756,820.7218589,889.1296102,965.5598385,1057.784318,1156.340976,1253.302547,1342.452468,1415.892688,1457.72319,1497.526066,1533.241815,1565.58657,1604.777629,1627.646592,1647.428573,1663.976666,1677.241894,1686.164701,1674.667377
Askam & Dalton,32.49576062,58.83905464,107.9833411,167.5045267,238.6673196,277.0869426,325.5679786,468.7075046,635.4989039,816.6249367,1004.875431,1210.67029,1468.250005,1727.527748,1985.576729,2236.313878,2475.170947,2695.218471,2905.586903,3104.625496,3318.884385,3565.132131,3638.309675,3707.934695,3775.152616,3840.826518,3902.380009,3900.08102
Askerton Castle,2.639003311,4.617464706,7.719651087,12.14926902,17.97918713,20.13893708,20.87041643,22.55208958,24.49909304,26.61788676,28.81771334,33.10324615,44.7014893,56.33785249,67.87420722,78.8518633,88.7062032,97.5333456,105.1008698,111.2738224,120.1806356,131.4808664,140.9553319,150.4022179,159.8191639,169.2154333,178.1474209,178.1622707
Aspatria,21.77933879,41.64225428,81.08221207,128.3524873,184.1699862,218.1654319,250.218766,315.690823,389.5355604,467.4939848,548.7337488,641.9072035,775.4369805,912.4801189,1049.156421,1181.120214,1303.832076,1408.629034,1506.650862,1596.64246,1699.397088,1821.287551,1880.096554,1937.682326,1994.418648,2050.623147,2104.030744,2108.044713
Atherton Town Centre,117.7186655,190.1083553,334.3941385,493.2550768,668.5126952,818.7304426,948.218198,1094.672076,1251.066621,1417.955299,1592.822326,1789.08241,2023.833844,2281.190649,2546.73053,2805.396939,3041.767427,3205.480442,3371.422123,3534.765125,3690.774071,3863.64012,3991.17305,4114.889164,4234.293967,4349.132838,4455.977807,4513.427548
