Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,45.24163823,81.67907843,145.0894189,233.2833069,363.2096644,482.0852837,666.1841006,1126.509215,1554.473208,1953.075686,2318.968695,2653.389338,2959.399693,3238.247804,3490.407528,3707.615448,3880.060557,4011.729255,4099.744419,4142.692578,4148.12743,4145.136113,3919.671232,3693.24392,3466.002029,3238.217076,3009.464721,2779.712934
Alderley & Chelford,66.6953486,122.3742001,221.3036155,357.4959038,527.8588017,697.9874488,930.2322292,1406.507538,1883.691376,2359.474747,2833.827943,3307.253797,3781.830989,4272.779069,4766.196955,5249.859926,5697.053781,6104.621272,6479.70044,6834.128254,7172.514062,7527.108179,7570.417435,7613.795165,7657.873465,7703.953021,7750.494271,7797.443663
Alston,5.566181893,10.38124238,20.13413232,42.48348127,68.96508605,94.92312741,130.84058,207.7078947,284.4146999,361.0161655,437.4481882,513.6855316,590.0342362,666.7928523,743.4444086,818.2315091,889.8708648,961.3608724,1016.925654,1069.579209,1120.234765,1174.93839,1175.810558,1176.682938,1177.556007,1178.429426,1179.302927,1180.176536
Ambleside,25.20028983,42.84495787,78.6238392,137.5737916,211.1349755,283.3512655,383.7682536,601.9060457,818.9689541,1035.355831,1251.26248,1466.874105,1682.075836,1902.081498,2123.136605,2339.342119,2545.606779,2741.350948,2911.578085,3072.89602,3226.010047,3393.137707,3404.595372,3416.056539,3427.54457,3439.044355,3450.546949,3462.053591
Ancoats North T11 & T12,376.9912957,409.8048475,506.1255438,610.1911437,720.4853818,824.585538,932.9314043,1085.819494,1227.746158,1358.10307,1473.275002,1576.046158,1667.167434,1760.748115,1839.355296,1898.320537,1928.255905,1923.768635,1906.502402,1875.116574,1832.350497,1786.205987,1700.63831,1613.365724,1526.868815,1439.568191,1350.367469,1259.239687
Ancoats North T14,97.68927521,102.905964,122.7634772,144.5501836,167.6145445,190.7725307,215.9070825,250.0031387,284.3092462,318.664974,352.0639476,385.2155147,417.9583648,454.7282842,489.2191917,521.6418072,549.1787824,569.481019,588.4121772,605.754842,621.6204604,638.1249143,644.0670663,650.0684287,657.8886876,666.497554,675.4295332,684.7620691
Annie Pit,59.28535657,106.8685417,185.2453518,310.8970061,510.431256,715.6687866,1005.363291,1652.406159,2297.62163,2939.090549,3580.57199,4219.956143,4858.725795,5497.790847,6144.1229,6780.497403,7390.736762,7981.116863,8527.493954,9010.412924,9456.009298,9927.150245,9935.894721,9944.686272,9953.947366,9964.646145,9975.771748,9987.345525
Ansdell,98.9633505,151.7400438,223.6607788,320.309561,447.7222879,575.3373201,760.75098,1163.675444,1565.963303,1967.903473,2368.996878,2769.513932,3170.255038,3575.15097,3979.878709,4372.749977,4730.306514,5072.95418,5392.077477,5690.262203,5973.481671,6256.199773,6271.098434,6286.179717,6303.142328,6325.778867,6349.747543,6374.896698
Ardwick,85.66774925,128.8399552,211.5748397,308.0931606,418.908012,524.5591837,647.6873215,858.8940218,1055.190326,1236.345468,1400.3996,1548.85204,1683.699926,1812.066116,1926.694837,2019.477542,2080.533146,2110.054294,2119.288913,2108.4176,2081.668624,2049.081591,1944.191965,1838.048627,1730.922066,1623.056791,1513.944414,1403.556261
Arnside,9.375095396,15.56508679,27.59998527,56.06446928,94.78310038,132.1956495,195.9077053,365.5005283,535.2041671,704.852785,874.264121,1043.585414,1213.02845,1383.215921,1553.297561,1720.853388,1884.219432,2047.40943,2190.714925,2326.506558,2457.782001,2598.966544,2600.790577,2602.614812,2604.43953,2606.264541,2608.089612,2609.914767
Ashton (Golborne),41.1470902,64.77029285,108.5717503,194.7358041,332.6783191,470.6533357,719.2213545,1377.220854,2035.062033,2692.510481,3349.246954,4006.0505,4662.813791,5319.873773,5982.285614,6639.77965,7282.731238,7913.471064,8501.242701,9047.468683,9569.476071,10115.33971,10126.96411,10138.65605,10151.03403,10165.50395,10180.48842,10195.94734
Ashton (Ribble),33.08985773,59.31519347,106.4608247,178.782716,279.7271543,380.0285048,518.1608858,808.6463682,1099.703651,1389.942362,1678.731944,1966.905013,2255.720627,2548.653869,2845.183436,3135.36298,3408.920697,3667.066685,3900.88038,4111.969742,4310.594685,4521.204309,4535.374916,4549.585319,4564.19389,4579.998336,4596.099807,4612.477782
Ashton On Mersey,105.2370616,155.9444683,228.0086977,334.3925015,478.2918187,617.320877,823.1236428,1284.441243,1715.144982,2115.045917,2483.823115,2821.829163,3129.327473,3408.15811,3657.302789,3868.631565,4027.715835,4147.506654,4218.824201,4245.570886,4238.017482,4208.9169,3980.664545,3751.399018,3521.692224,3292.537694,3062.357037,2831.032239
Ashton Under Lyne T11 & T12,71.45272384,112.5196464,179.3110701,278.8002363,419.1000146,555.1807752,753.7706814,1201.315487,1621.446452,2011.613918,2372.40777,2703.63862,3005.848125,3284.034393,3534.590359,3748.992497,3914.661765,4037.907493,4115.84709,4147.972824,4143.6721,4125.08889,3907.564851,3688.279535,3467.557345,3245.888781,3022.465877,2797.233576
Ashton Under Lyne T13,20.40191676,33.07328703,53.56007954,83.48851184,128.6914216,174.9387916,249.6550298,434.4781604,619.9900842,805.3907262,990.8652285,1176.332165,1361.978444,1550.087366,1738.586196,1924.322818,2100.789254,2271.124119,2433.456462,2584.819522,2727.15094,2876.309074,2884.619628,2892.94673,2901.497091,2910.567038,2919.813869,2929.26142
Ashwood Dale,95.66484162,162.0832118,261.1191666,397.084015,571.5825702,740.3572513,962.3340795,1408.566868,1826.348126,2214.174186,2569.695359,2896.223475,3192.912568,3465.607476,3710.590871,3914.909486,4061.180538,4163.76261,4217.990145,4228.207214,4204.131507,4163.199519,3943.732208,3722.484963,3499.808168,3276.30107,3051.010631,2823.866423
Askam & Dalton,32.49576062,62.25792606,116.8057728,227.6105458,384.2003871,532.5582516,775.6045743,1430.845468,2083.022528,2732.172761,3378.176863,4021.662927,4663.071968,5307.830023,5952.225696,6583.816681,7198.870433,7809.534943,8353.901577,8863.448805,9345.62563,9875.474919,9868.450644,9861.428257,9854.412583,9847.411562,9840.414101,9833.419929
Askerton Castle,2.639003311,4.305716459,7.840104031,17.85617439,28.60208194,39.24540379,51.56541877,70.93582358,90.28870121,109.6263881,128.9344138,148.2263557,167.4985069,186.8163786,206.0397492,224.3950525,241.599123,259.5243466,268.9861186,277.9060081,286.4542569,295.7469854,295.7511135,295.7553638,295.7597739,295.7643006,295.7688608,295.773458
Aspatria,21.77933879,44.38437778,86.85053174,167.7349154,263.5034659,356.8629321,482.4989856,747.8761207,1012.391137,1275.125468,1537.876855,1799.721438,2061.354363,2326.902888,2592.367769,2850.738235,3096.866308,3337.731764,3530.573676,3712.579197,3886.049758,4075.318936,4079.549192,4083.781055,4088.015049,4092.250549,4096.486197,4100.72205
Atherton Town Centre,117.7186655,212.4389961,372.9512892,613.4069838,971.2012111,1331.781563,1867.977896,3102.151457,4336.376906,5570.399638,6801.911755,8034.87473,9268.940786,10517.63173,11782.52154,13028.84108,14216.3675,15347.8732,16409.74391,17380.444,18292.44271,19254.89291,19317.3659,19379.97675,19443.99292,19512.26602,19581.66393,19652.15892
Athletic St,47.09123774,80.97102442,134.1741862,224.2281967,360.8848684,502.0224967,722.8177067,1251.945868,1780.444825,2307.816197,2835.197368,3360.723009,3885.716938,4411.815513,4940.48868,5461.571999,5959.080722,6444.11676,6893.174186,7304.131065,7691.033889,8091.614886,8099.806173,8108.036625,8116.658753,8126.453164,8136.628982,8147.226245
Avenham,62.13598703,86.66070597,128.2603259,178.3204582,236.7649489,293.2933812,359.2802507,473.1026011,579.7093437,677.8568424,767.1115819,848.1369167,921.5191989,990.0892958,1049.566377,1096.771681,1124.57527,1140.334874,1144.152453,1137.468591,1121.954297,1101.350986,1043.310825,984.804965,926.0455925,867.1612632,807.8170151,747.9954314
