Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,9.828703793,15.96854218,18.81384067,22.84887356,28.25261712,33.32234479,41.78906629,63.27436748,83.25710579,101.7486104,118.790225,134.6212308,146.1275858,156.6877265,167.914184,177.1606348,184.8828192,189.4932918,191.1597442,192.1054736,192.8489747,188.2990046,177.2909341,167.2008706,157.101223,147.0305007,136.7821641,125.8812391
Alderley & Chelford,15.82699883,26.60998276,32.48952733,40.87876477,52.37124364,64.02937863,83.29217416,130.8617664,178.7837533,227.036077,275.6739207,325.1942479,367.7818443,411.3884318,460.473163,508.2055455,555.6705646,597.7351675,634.1014633,671.6134931,712.3533507,737.0785651,737.6657828,742.0770209,746.7280696,751.8756606,756.5036803,757.6198294
Alston,4.575031735,7.643708278,9.266181109,11.58778707,14.76437574,17.95547932,23.23048992,36.31326659,49.37635776,62.3903505,75.38170007,88.50977803,99.65176275,110.9672564,123.676932,135.9102282,147.9737017,158.5080699,167.4627138,176.6484988,186.6139918,192.3446318,191.7600122,192.1791332,192.6654865,193.2839466,193.7724678,193.368401
Ambleside,18.54485017,31.06771432,37.78366333,47.37669589,60.51646648,73.76800999,95.67468479,149.8974764,204.2416001,258.6448895,313.1731495,368.4439667,415.6329671,463.6993669,517.7635689,570.02343,621.7523242,667.2179873,706.1511549,746.2153771,789.6728846,815.2705219,814.1329343,817.2350711,820.6098328,824.5362343,827.8981205,827.4302867
Ancoats North T11 & T12,12.88843891,21.03291812,24.90337769,30.39601775,37.77767439,44.77578467,56.42247736,85.84788441,113.5245624,139.367743,163.3657252,185.8213442,202.4402531,217.8023691,234.0639029,247.4956901,258.8141658,265.7902562,268.6175048,270.3989094,271.8642233,265.9629098,250.8468096,236.9741924,223.0357017,209.0868651,194.8344704,179.6003428
Ancoats North T14,18.2172046,30.47668259,37.01838288,46.38611765,59.23223134,72.18997303,93.74596202,147.130304,200.893469,254.918621,309.2109613,364.3932421,411.8292144,460.2950326,514.6566294,567.1140322,619.1298593,665.0655418,704.5492013,745.1513254,789.1693042,815.5607341,815.1607265,819.0074963,823.1331345,827.8183786,831.9429974,832.2212341
Annie Pit,22.10174768,36.95824361,44.86043788,56.14277627,71.56742358,87.0660948,112.6837396,176.1900072,239.6376456,302.9866678,366.2995616,430.2971988,484.7659123,540.159977,602.3357556,662.2229003,721.2916983,772.9621567,816.9071839,862.0538688,911.0130692,939.2215443,936.6105563,938.8783077,941.4532765,944.6538549,947.200467,945.3652114
Ansdell,6.723795021,11.30227095,13.78468537,17.33527728,22.2057337,27.1430386,35.29110528,55.42513761,75.70033255,96.09743691,116.6249615,137.5276427,155.4936681,173.8680896,194.5566043,214.6399741,234.5709782,252.2120269,267.4333139,283.1236655,300.1419899,310.4890224,310.6454667,312.423328,314.3121329,316.4193388,318.3168139,318.7452995
Ardwick,11.4598494,18.70038643,22.1401348,27.021411,33.58103775,39.79859438,50.15011955,76.30349232,100.9018958,123.8699804,145.1973412,165.1531245,179.9206696,193.5705267,208.0189544,219.9516649,230.0053954,236.1992516,238.705397,240.2814039,241.5756881,236.3233299,222.8828174,210.5471263,198.1528087,185.7491825,173.0757551,159.5301651
Arnside,4.432825513,7.427594195,9.035133907,11.33375389,14.48448577,17.66365255,22.91687715,35.91764334,48.95827409,62.01166982,75.08543668,88.32962493,99.64270203,111.1632085,124.0997974,136.5795503,148.9362219,159.8041727,169.1123014,178.6898372,189.0843968,195.1843658,194.8927427,195.6170928,196.4075791,197.3309108,198.1199109,197.9932493
Ashton (Golborne),11.20116281,18.73459049,22.73437249,28.45955569,36.29806975,44.18749505,57.23739139,89.58805192,121.9777667,154.4058199,186.9156277,219.8837099,248.0727362,276.8372776,309.1971152,340.5304027,371.5969457,398.9880802,422.5102663,446.7324753,473.0246033,488.655743,488.2790904,490.4539595,492.802392,495.4919449,497.8517008,497.9157167
Ashton (Ribble),4.045102347,6.777551026,8.242501913,10.33873245,13.21226788,16.1132244,20.90574165,32.76940871,44.67853627,56.61519882,68.58441247,80.72112391,91.10284798,101.6882541,113.5708593,125.0396687,136.3925074,146.3955103,154.9828591,163.8266074,173.4315952,179.089396,178.8926794,179.6294443,180.4281967,181.3502681,182.1501227,182.1089195
Ashton On Mersey,9.444201338,15.41640985,18.24756895,22.25953936,27.6379824,32.72866517,41.20041176,62.59882082,82.64585701,101.3484752,118.7003781,134.9503505,146.9193527,158.0079474,169.8546366,179.7587905,188.1554595,193.4047235,195.6621748,197.1976349,198.5273263,194.3897326,183.5392553,173.576003,163.5427117,153.479896,143.1719986,132.1193631
Ashton Under Lyne T11 & T12,27.3887635,44.51561143,52.40668425,63.65552748,78.76493557,92.96959383,116.6806409,176.803885,232.8461647,284.8290407,332.8658583,377.6063594,410.3280472,440.486758,472.5955149,499.1853473,521.5359497,535.1323977,540.4208799,543.6855822,546.373102,534.2077811,503.6267225,475.5959147,447.4788752,419.3809481,390.7084963,360.0968859
