Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,9.828703793,16.18272194,19.02429535,22.32398932,27.47159098,32.62821619,36.53557352,40.28501935,43.80983692,47.20158222,50.43170441,58.73700273,80.31220574,100.91808,121.8100133,141.3403604,159.7018266,175.7052459,189.6524194,202.6467523,215.8604586,226.6183753,237.2825732,248.8311945,260.0791756,270.9937325,277.4286349,271.802508
Alderley & Chelford,15.82699883,26.60947428,31.97071625,38.30956319,48.11503654,58.314726,66.62930755,74.93419416,83.1049487,91.30657287,99.47789785,118.1256038,164.6522974,210.9256842,259.5394593,307.0405562,353.7349753,396.8322211,436.7997126,476.0391601,517.2999766,554.2527555,592.3661106,634.2399143,677.013829,720.6418932,753.8959216,755.0082232
Alston,4.575031735,7.643495174,9.118053547,10.85921704,13.56400008,16.35222699,18.58261252,20.79343463,22.95186001,25.09138266,27.20174996,32.15084843,44.61310946,56.89475608,69.70882701,82.11235083,94.19875203,105.2324054,115.3564051,125.2083287,135.5161922,144.6352495,153.9886155,164.2520568,174.678312,185.2547123,193.1045109,192.701837
Ambleside,18.54485017,31.06684817,37.17966026,44.39793555,55.59634695,67.18123321,76.53241934,85.83318632,94.93864729,104.0186158,113.0096256,133.8359037,186.0747722,237.7463697,291.8304203,344.3888256,395.80204,442.9613821,486.4310198,528.9169217,573.4482253,613.04989,653.7713569,698.4761512,743.9980197,790.2840643,825.0442566,824.5780355
Ancoats North T11 & T12,12.88843891,21.31502436,25.18195092,29.69776054,36.73333393,43.84307262,49.32935221,54.65694597,59.73655362,64.65324637,69.35597573,81.07628146,111.2618344,140.2802721,169.7970144,197.454305,223.5637428,246.4506363,266.4994132,285.2363329,304.3041116,320.087101,335.728258,352.669045,369.2329081,385.3705845,395.1733146,387.7926844
Ancoats North T14,18.2172046,30.49087486,36.46261899,43.5341747,54.52438224,65.90720512,75.11361722,84.31833967,93.3823187,102.520031,111.5798562,132.364493,184.3718697,236.000911,290.079236,342.6310662,394.132602,441.5323884,485.3275169,528.1627227,573.082533,613.2681177,654.5967026,699.9910112,746.2857469,793.4298646,829.0751903,829.3524679
Annie Pit,22.10174768,36.95721323,44.14330671,52.61285777,65.74883734,79.29192641,90.13836034,100.8886212,111.3919686,121.851446,132.1804772,156.3038607,217.0249087,276.9489949,339.4983875,400.0926189,459.1679268,513.1642008,562.7251217,611.0231612,661.5635892,706.2559591,752.1242889,802.4424428,853.5595666,905.4118628,943.9353537,942.1064244
Ansdell,6.723795021,11.30195584,13.56432578,16.2453398,20.40035955,24.71942522,28.230181,31.73713312,35.18816523,38.64728348,42.08452502,49.95640589,69.61297866,89.14505834,109.6591939,129.6781934,149.3258136,167.4418108,184.2209826,200.6778502,217.9584672,233.4749705,249.4569372,267.0226125,284.9680751,303.2749207,317.2195378,317.6465463
Ardwick,11.4598494,18.95166802,22.38894091,26.40280002,32.65639648,38.97535003,43.85055165,48.58420216,53.09692575,57.46685154,61.64654545,72.06367508,98.89320646,124.6850628,150.9195112,175.5009132,198.706236,219.0470124,236.8649618,253.5166517,270.4621194,284.4878189,298.3871834,313.4413282,328.1601522,342.4998631,351.2090595,344.6464641
Arnside,4.432825513,7.427387116,8.890699826,10.62115594,13.30686577,16.08645755,18.33174633,20.56689577,22.75752008,24.93908953,27.09484228,32.08540849,44.60905306,56.99522397,69.94716935,82.51673259,94.81148386,106.092879,116.4927207,126.6552279,137.3101621,146.7706127,156.5042851,167.1904192,178.0710443,189.133561,197.4369679,197.3107428
