Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,9.828703793,15.52096215,18.45884398,21.53499688,24.7179744,27.7403293,30.83844222,33.95733287,37.14618951,40.34672423,43.48709917,46.8300353,49.75876315,53.03510235,56.82216957,60.41323137,63.74336275,66.08285745,68.083482,70.31142612,72.86668893,74.69873455,76.70778492,79.08548671,81.50147544,83.97794398,86.38679859,86.96608669
Alderley & Chelford,15.82699883,25.23454325,30.32224408,35.70600148,41.33746864,46.77636495,52.41897849,58.15033418,64.0624343,70.05626397,76.00589401,82.35787466,88.02270614,94.35315956,101.6399753,108.6372405,115.2138454,120.029311,124.2519906,128.9171626,134.2156568,138.2382952,142.6047493,147.68931,152.8814933,158.224007,163.4758955,165.2866971
Alston,4.575031735,7.248528986,8.647858443,10.12112346,11.6532151,13.11652489,14.61915954,16.13576335,17.69229934,19.2514943,20.78344405,22.41576305,23.85005667,25.45067008,27.29913777,29.05303231,30.68116305,31.82950486,32.81426828,33.90792989,35.16024659,36.07402963,37.07083763,38.24778665,39.44539985,40.67449198,41.87306488,42.18636194
Ambleside,18.54485017,29.46151522,35.26239862,41.38023813,47.76438999,53.88772538,60.20895324,66.60679234,73.18286911,79.80882584,86.34478425,93.31118932,99.47510756,106.350828,114.2856535,121.8518235,128.9153695,133.9819366,138.3701059,143.2371,148.7835563,152.903113,157.3872961,162.6473807,168.0076882,173.5146298,178.9038046,180.5169478
Ancoats North T11 & T12,12.88843891,20.44338941,24.43347807,28.64815832,33.05136599,37.27513833,41.63723821,46.07181871,50.65039036,55.26396741,59.80543845,64.64077067,68.93412048,73.72096841,79.20723824,84.39806282,89.23319824,92.69024484,95.67084912,98.96715896,102.7220695,105.50822,108.532922,112.0880488,115.7071754,119.4220584,123.0505912,124.0783702
Ancoats North T14,18.2172046,28.92005937,34.59371632,40.5952363,46.87432321,52.90940626,59.15130967,65.50695812,72.07842759,78.71106781,85.25237169,92.28531302,98.56474015,105.5700338,113.5998606,121.2298922,128.3716224,133.5497108,138.0562036,143.0328538,148.6886759,152.957542,157.5859878,163.0001315,168.5242968,174.2053212,179.7778782,181.5621684
Annie Pit,22.10174768,35.04750447,41.86694733,49.03679769,56.48668089,63.60201132,70.91290683,78.28985183,85.8658101,93.49115788,100.992236,108.9759828,116.0209731,123.8872962,132.9532235,141.560967,149.5540623,155.2160892,160.0727164,165.4724628,171.6454584,176.1499944,181.0645372,186.8570047,192.7485903,198.792069,204.6843242,206.2463089
Ansdell,6.723795021,10.71794417,12.86484759,15.14115513,17.52652437,19.82806111,22.20901498,24.62810395,27.12457955,29.65232995,32.15459933,34.82990377,37.21492418,39.87716312,42.94436689,45.88280212,48.63641542,50.64590049,52.40347722,54.34598915,56.5502419,58.23188351,60.05364479,62.17897123,64.35074588,66.58698813,68.78634904,69.53930685
Ardwick,11.4598494,18.17682634,21.72385887,25.47034753,29.38420987,33.13830324,37.01512988,40.9561416,45.02489938,49.12451174,53.15976548,57.45776066,61.27399564,65.52888607,70.40547218,75.0194392,79.31723812,82.39008343,85.03942795,87.96939239,91.30699217,93.78348312,96.47201362,99.63202146,102.8489137,106.1509178,109.3761641,110.2896723
Arnside,4.432825513,7.043587988,8.432228781,9.899243206,11.43230376,12.90334466,14.42180016,15.95996856,17.54249361,19.1346466,20.70176144,22.37013793,23.84788813,25.49561227,27.3924766,29.19611087,30.88073391,32.08977116,33.13750448,34.29976769,35.62569962,36.6066187,37.6764537,38.93201466,40.21153779,41.52613131,42.81252119,43.19534542
Ashton (Golborne),11.20116281,17.76606636,21.21745832,24.85765924,28.64965537,32.27956429,36.02044442,39.80871776,43.70674901,47.64441348,51.53439743,55.68719354,59.37224444,63.49345243,68.24890066,72.79393854,77.04765338,80.11953615,82.79075929,85.75093224,89.12333708,91.6468611,94.39358432,97.6109013,100.8939782,104.270859,107.5827583,108.628155
Ashton (Ribble),4.045102347,6.427152016,7.692488299,9.030161405,10.4281686,11.77075281,13.15617422,14.56105368,16.00899851,17.46948316,18.90936789,20.44322816,21.80401056,23.32250332,25.06843018,26.72927258,28.27989509,29.39722002,30.36884451,31.44674965,32.67652974,33.58802435,34.58333881,35.75012827,36.93999633,38.1631799,39.36154602,39.72992873
Ashton On Mersey,9.444201338,14.98430545,17.90325719,20.97955111,24.18023571,27.24610033,30.40404178,33.59478855,36.87347329,40.18805724,43.45420771,46.94452456,50.02837232,53.48196599,57.47881884,61.29922378,64.87169419,67.44690881,69.68706831,72.17517895,75.0122159,77.11494315,79.41122199,82.10090428,84.84321156,87.66158076,90.42239307,91.27574581
Ashton Under Lyne T11 & T12,27.3887635,43.26788959,51.41782719,59.99514952,68.91077215,77.39572843,86.10503949,94.88500027,103.8872019,112.9442329,121.8565803,131.3560947,139.7232151,149.0943854,159.9263495,170.2263029,179.8136537,186.6191548,192.4763783,198.9912517,206.4434043,211.9217004,217.9022324,224.955374,232.1445235,239.5336315,246.7577289,248.7758877
Ashton Under Lyne T13,6.032750771,9.544092874,11.35803682,13.27189621,15.26636959,17.17115106,19.13139518,21.11313378,23.15026202,25.20571013,27.23497597,29.40173644,31.32113663,33.47172562,35.95722856,38.33042731,40.55011307,42.14824745,43.53676704,45.07852701,46.83767062,48.15365027,49.58799296,51.27121988,52.99068015,54.76116231,56.49933738,57.04907664
Ashwood Dale,20.23999731,32.12375582,38.41138857,45.0384873,51.94606726,58.56936291,65.39005911,72.29866769,79.40095645,86.56317377,93.63118048,101.1558894,107.8057712,115.2269798,123.7773125,131.9232437,139.521797,144.9638714,149.6675949,154.884524,160.8299679,165.2289615,170.0184044,175.6414755,181.3678021,187.2472382,192.9942706,194.6639544
