Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,9.828703793,15.96809698,18.51308588,21.41227447,25.95561828,30.34697854,33.42805208,36.23170118,38.70081804,40.92000284,42.86586792,48.90066256,65.4198762,80.33640075,94.64255473,107.0344477,117.6947703,125.8032787,131.6800641,136.1642213,140.0439403,141.5931043,142.3695439,142.903584,142.4343142,140.922687,136.3106596,125.4473114
Alderley & Chelford,15.82699883,26.60924088,31.97015539,38.30855508,48.11334833,58.31216835,66.62735931,74.9330986,83.1049487,91.30657287,99.47789785,118.1256038,164.6522974,210.9256842,259.5394593,307.0405562,353.7349753,396.8322211,436.7997126,476.0391601,517.2999766,554.2527555,592.3661106,634.2399143,677.013829,720.6418932,753.8959216,755.0082232
Alston,4.575031735,7.643495174,9.118053547,10.85921704,13.56400008,16.35222699,18.58261252,20.79343463,22.95186001,25.09138266,27.20174996,32.15084843,44.61310946,56.89475608,69.70882701,82.11235083,94.19875203,105.2324054,115.3564051,125.2083287,135.5161922,144.6352495,153.9886155,164.2520568,174.678312,185.2547123,193.1045109,192.701837
Ambleside,18.54485017,31.06684817,37.17966026,44.39793555,55.59634695,67.18123321,76.53241934,85.83318632,94.93864729,104.0186158,113.0096256,133.8359037,186.0747722,237.7463697,291.8304203,344.3888256,395.80204,442.9613821,486.4310198,528.9169217,573.4482253,613.04989,653.7713569,698.4761512,743.9980197,790.2840643,825.0442566,824.5780355
Ancoats North T11 & T12,12.88843891,21.03233173,24.50527662,28.48489984,34.70626781,40.77773594,45.13366004,49.1575818,52.77019168,56.04920218,58.95109296,67.49891375,90.63050089,111.6708934,131.9269475,149.5285028,164.7588128,176.4563028,185.0367105,191.6585522,197.4235907,199.9931657,201.4369548,202.5375901,202.2131758,200.4011597,194.1628527,178.9812389
Ancoats North T14,18.2172046,30.47583291,36.42661344,43.46963889,54.4165229,65.74409983,74.98958887,84.24866851,93.3823187,102.520031,111.5798562,132.364493,184.3718697,236.000911,290.079236,342.6310662,394.132602,441.5323884,485.3275169,528.1627227,573.082533,613.2681177,654.5967026,699.9910112,746.2857469,793.4298646,829.0751903,829.3524679
Annie Pit,22.10174768,36.95721323,44.14330671,52.61285777,65.74883734,79.29192641,90.13836034,100.8886212,111.3919686,121.851446,132.1804772,156.3038607,217.0249087,276.9489949,339.4983875,400.0926189,459.1679268,513.1642008,562.7251217,611.0231612,661.5635892,706.2559591,752.1242889,802.4424428,853.5595666,905.4118628,943.9353537,942.1064244
Ansdell,6.723795021,11.30195584,13.56432578,16.2453398,20.40035955,24.71942522,28.230181,31.73713312,35.18816523,38.64728348,42.08452502,49.95640589,69.61297866,89.14505834,109.6591939,129.6781934,149.3258136,167.4418108,184.2209826,200.6778502,217.9584672,233.4749705,249.4569372,267.0226125,284.9680751,303.2749207,317.2195378,317.6465463
Ardwick,11.4598494,18.69986507,21.78620645,25.32246797,30.8508268,36.24496107,40.11625424,43.69234246,46.90273426,49.81650293,52.3949681,59.99125963,80.54870588,99.24682522,117.2470652,132.8873369,146.4194039,156.8110407,164.431806,170.311286,175.4285253,177.7054211,178.9810925,179.9508509,179.65334,178.0329509,172.4791423,158.9802455
Arnside,4.432825513,7.427387116,8.890699826,10.62115594,13.30686577,16.08645755,18.33174633,20.56689577,22.75752008,24.93908953,27.09484228,32.08540849,44.60905306,56.99522397,69.94716935,82.51673259,94.81148386,106.092879,116.4927207,126.6552279,137.3101621,146.7706127,156.5042851,167.1904192,178.0710443,189.133561,197.4369679,197.3107428
Ashton (Golborne),11.20116281,18.73406818,22.37094476,26.67019081,33.34695822,40.24197495,45.78552885,51.2992489,56.69953705,62.09703074,67.4491576,79.8719417,111.0597126,141.9390718,174.2747646,205.7369212,236.5553347,264.8854119,291.045477,316.6436567,343.5031449,367.4490141,392.1016705,419.1821987,446.7945534,474.9086478,496.1355464,496.1993416
Ashton (Ribble),4.045102347,6.77736207,8.110738709,9.688695429,12.13808194,14.67446778,16.72299198,18.76417689,20.76814809,22.76880329,24.74892497,29.32164872,40.78584479,52.13725743,64.01267606,75.54472743,86.82626601,97.19096126,106.7596784,116.1201813,125.9433399,134.6678576,143.6557899,153.5260629,163.5834908,173.8167724,181.5222295,181.4811683
Ashton On Mersey,9.444201338,15.41598004,17.95586648,20.85999404,25.39095469,29.80630883,32.95717354,35.84487464,38.4166882,40.75908138,42.83344633,49.02021404,65.77434238,81.01329991,95.73626454,108.6041652,119.7781042,128.400051,134.7815557,139.7735415,144.1674713,146.1730812,147.3871194,148.3522952,148.2744281,147.1041671,142.6784676,131.6639318
Ashton Under Lyne T11 & T12,27.3887635,44.51437035,51.5689201,59.65325259,72.36117605,84.66829951,93.33557525,101.2401354,108.2350505,114.5490351,120.1158085,137.1641088,183.699812,225.8448795,266.3720587,301.5908583,332.0051808,355.2706776,372.2680023,385.363949,396.7676893,401.7022726,404.4262452,406.4832944,405.7024224,401.9593881,389.3616773,358.8555889
Ashton Under Lyne T13,6.032750771,10.06414239,11.97558778,14.23976321,17.76960577,21.40708474,24.31817661,27.20754869,30.03236396,32.85179364,35.6456324,42.17080497,58.58825899,74.82575739,91.81741365,108.3329775,124.4988672,139.3474853,153.0506453,166.4568449,180.5238413,193.0672923,205.9836483,220.1801479,234.6616487,249.4134008,260.555967,260.5927926
Ashwood Dale,20.23999731,33.04919137,38.52426165,44.78182455,54.54703816,64.07289474,70.88108686,77.14103265,82.72401578,87.79313276,92.29362023,105.6285775,141.7366461,174.543282,206.1625094,233.729122,257.6109126,275.970668,289.4716591,299.9474164,309.1023177,313.1951529,315.5539259,317.3755057,316.9635688,314.2180279,304.5277376,280.7999145
Askam & Dalton,17.49579582,29.21669451,34.87395898,41.52105516,51.82311292,62.42433781,70.88689962,79.26243226,87.40869385,95.50042456,103.4733267,122.2094014,169.4658576,215.9987759,264.4981169,311.3802728,357.0139263,398.6448709,436.7949751,473.8878213,512.6443305,546.6903245,581.6044823,619.8642571,658.6392664,697.8760538,726.7426286,724.4913139
Askerton Castle,1.699653964,2.840260774,3.390927215,4.039900446,5.046176934,6.082758095,6.912024312,7.733278108,8.533549317,9.329780812,10.11383748,11.95093544,16.58072583,21.14303363,25.90036373,30.50182199,34.98368646,39.07593608,42.82909346,46.48149453,50.30065717,53.66766866,57.12202564,60.91017077,64.75455781,68.6502289,71.53130589,71.35276642
