Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Albion St,9.828703793,15.59559676,18.33784382,21.16667333,24.11875344,26.79600051,29.7127551,33.75988589,38.07883749,42.56539613,47.10782259,52.11826001,57.07101063,62.08432014,67.52607508,72.45841524,76.75205707,79.35655959,81.38196952,83.62267472,86.42460625,88.78420627,90.30368711,90.61361437,90.70654893,90.71467423,90.41836816,88.58472465
Alderley & Chelford,15.82699883,25.6440562,30.81712047,36.32352612,42.24271918,47.89110808,54.18664898,62.7967886,72.23354522,82.33835096,92.92145126,104.8146934,117.004295,129.7604721,143.8771784,157.4049483,170.0036098,179.2276585,187.435631,196.4387161,207.1127203,217.144311,225.4394126,230.9628868,236.1188198,241.2336034,245.7065724,246.0690891
Alston,4.575031735,7.366181599,8.789047839,10.29625558,11.9085485,13.42930549,15.11241133,17.42543485,19.94940426,22.62688223,25.40892135,28.52795002,31.70271842,35.00138182,38.64348553,42.09505903,45.27154225,47.52778782,49.5007207,51.66752107,54.25696595,56.66498054,58.60413416,59.81353167,60.92170516,62.01368838,62.93580605,62.80456826
Ambleside,18.54485017,29.93971215,35.83811072,42.09626625,48.81095476,55.17274831,62.24040884,71.93042532,82.51921431,93.80180443,105.5613221,118.7546879,132.2274143,146.2604295,161.7778567,176.5516125,190.2208723,200.0617063,208.7329788,218.2588529,229.5929388,240.1797639,248.808681,254.3549603,259.4805702,264.5461974,268.8949371,268.7429883
Ancoats North T11 & T12,12.88843891,20.54169417,24.2733134,28.1581749,32.25012431,36.00622816,40.11736563,45.80393131,51.92209507,58.30294056,64.78482213,71.94025097,79.06426273,86.29975244,94.12794261,101.2253399,107.4438377,111.3084274,114.3578721,117.7034658,121.8350187,125.4032431,127.7696004,128.4268916,128.7755652,129.0021238,128.7932165,126.3877527
Ancoats North T14,18.2172046,29.38463572,35.14694238,41.27728432,47.86982061,54.1264497,61.08656025,70.66094473,81.1664774,92.45041214,104.2257867,117.4490822,131.0173073,145.1866317,160.8070776,175.6504936,189.4185471,199.4163072,208.2594534,217.9476309,229.4465257,240.2652608,249.1227865,254.9066071,260.2784497,265.5992485,270.208682,270.2990511
Annie Pit,22.10174768,35.61636893,42.5504887,49.88531204,57.72435962,65.11868404,73.30551481,84.54726827,96.82018854,109.8830764,123.4686501,138.6908571,154.2210272,170.3776971,188.2028659,205.1082722,220.6742632,231.7685239,241.4716293,252.1401922,264.8719134,276.6958975,286.239295,292.2150103,297.691818,303.085025,307.643421,307.0473441
Ansdell,6.723795021,10.89190969,13.07488573,15.40315199,17.91054775,20.30088703,22.95834918,26.59653662,30.58501286,34.85130906,39.3107939,44.32709928,49.4679857,54.84161352,60.79019909,66.4797823,71.76538686,75.62441274,79.05127939,82.81020248,87.26459131,91.4704728,94.93693913,97.23814605,99.38692934,101.5207451,103.386851,103.5260199
Ardwick,11.4598494,18.26408274,21.58108325,25.0340311,28.67076667,32.00859935,35.66170109,40.71481526,46.15103248,51.82240054,57.58350942,63.94322455,70.27493748,76.70565427,83.66309113,89.9708902,95.49741972,98.93169212,101.6413984,104.6142623,108.2856134,111.4562099,113.5585412,114.141845,114.45082,114.6512254,114.4645723,112.3257189
Arnside,4.432825513,7.157914155,8.569897696,10.070536,11.68279678,13.21104171,14.90839302,17.23558944,19.78048698,22.48954749,25.3090598,28.46988413,31.69983588,35.06318918,38.77561196,42.30236614,45.56601871,47.91641723,49.98832642,52.26458754,54.97522227,57.5015699,59.56153376,60.88355682,62.10497191,63.31212613,64.34782211,64.30668338
Ashton (Golborne),11.20116281,18.05441814,21.56383323,25.2877301,29.2773099,33.0491889,37.23561041,42.99025529,49.2823669,55.99779895,63.00367967,70.87162149,78.92063207,87.32023811,96.61020897,105.4714395,113.6875447,119.6344188,124.890862,130.6637743,137.5292364,143.9586221,149.2238814,152.6481202,155.826363,158.9748326,161.6984004,161.7191922
Ashton (Ribble),4.045102347,6.531472662,7.81807983,9.18641593,10.65666003,12.05144173,13.60006475,15.7248645,18.05135539,20.53242891,23.11775856,26.01755692,28.983009,32.0745914,35.48579178,38.7281539,41.72835505,43.8959023,45.81176936,47.91727497,50.42425846,52.7599707,54.67172465,55.9075862,57.05221835,58.18485813,59.16095783,59.14757534
Ashton On Mersey,9.444201338,15.05635948,17.78589898,20.62072762,23.59405078,26.31859595,29.29421146,33.3994496,37.79927405,42.39800402,47.0721926,52.24567782,57.38023994,62.60743075,68.30642099,73.52105672,78.11065749,80.9946005,83.29877825,85.83927031,88.96934001,91.65602417,93.48628892,94.06858311,94.4257129,94.69381322,94.64229905,92.97459639
Ashton Under Lyne T11 & T12,27.3887635,43.47594901,51.08077655,58.96902322,67.2402154,74.76104398,82.96197107,94.33328565,106.4955499,119.1550518,132.0023242,146.1893217,160.2560954,174.5339058,190.0525581,204.1660057,216.5098799,224.1043238,230.072057,236.6639625,244.8552308,251.8824458,256.523833,257.7466532,258.3637715,258.7490753,258.2736198,253.4061765
Ashton Under Lyne T13,6.032750771,9.699005335,11.54347398,13.50154812,15.60087076,17.5806195,19.77689021,22.80062797,26.10366957,29.62505798,33.29627953,37.41881397,41.63366104,46.03244806,50.89950653,55.53711512,59.83365604,62.93572492,65.67573981,68.68882152,72.27679401,75.63961341,78.39211568,80.18013596,81.84180171,83.49069624,84.91929953,84.93130158
Ashwood Dale,20.23999731,32.27822718,38.15959685,44.2681721,50.68677426,56.5755605,63.00314389,71.87828268,81.39451602,91.32329457,101.4268857,112.578795,123.6482566,134.887808,147.0939276,158.2260865,167.9952934,174.0819714,178.9015968,184.2070185,190.7547448,196.3851501,200.1529415,201.2443697,201.8521422,202.2682553,202.0010846,198.2870963
Askam & Dalton,17.49579582,28.1566839,33.61560581,39.36852854,45.49823431,51.2661366,57.64915903,66.42396384,75.97429442,86.12027839,96.65354708,108.4383108,120.4248803,132.8814139,146.6260385,159.6297126,171.5794605,180.0463343,187.4335981,195.5509609,205.2487273,214.1815132,221.3438117,225.727891,229.710413,233.6127787,236.856886,236.123147
Askerton Castle,1.699653964,2.737213301,3.268572767,3.830464698,4.430303924,4.995479621,5.621241597,6.480686634,7.417230022,8.413400512,9.447248856,10.60425169,11.78250269,13.00709316,14.35801424,15.63681936,16.81301934,17.64848758,18.37844194,19.18070166,20.13900331,21.02583852,21.73918405,22.18086336,22.58413213,22.9805431,23.31318089,23.25499206
